F' U2 D F' R B'
F' U2 D F' B' R
F' U2 D B' F' R
B2 U2 F2 D' B R'
F' U2 B' D F' R
F' D U2 F' R B'
F' D U2 F' B' R
F' D U2 B' F' R
U2 F' D F' R B'
U2 F' D F' B' R
U2 F' D B' F' R
U2 F' B' D F' R
U2 F2 D' B R' B2
U2 F2 B2 D' B R'
U2 B' F' D F' R
D2 B2 U2 D B R'
D2 B2 D U2 B R'
U2 B2 F2 D' B R'
B2 L U B' U F2 B2
B2 L U B' U B2 F2
B L U B' U F2 B'
B L U B' U B' F2
B2 L U2 F2 B D' R2
B2 L U2 B F2 D' R2
U L B' L' U F2 B'
U L B' L' U B' F2
B2 L' U' F U' F B
B2 L' U' F U' B F
B L' U' F U' F B2
B L' U' F U' B2 F
U2 L' F U' F L B'
U2 L2 U L2 F2 B' R'
U2 L2 U L2 B' R' F2
U2 L2 U L2 B' F2 R'
U' L2 U F U2 F R
U L2 U' F U2 R F
D L2 F L' U R2 U
D L2 F L' U2 D' F2
D L2 F L' D B2 U2
D L2 F L' D' U2 F2
D L2 F U2 D' F2 R
D L2 F D L' B2 U2
D L2 F D B2 L' U2
D L2 F D' L' U2 F2
D L2 F D' U2 F2 R
D2 L2 B2 D' F L' U2
L U B L B2 U F2
L U B' U2 R' U' F2
L U' L2 F R U' F
U2 R F' D F' R B'
U2 R F' D F' B' R
U2 R F' D B' F' R
U2 R F' B' D F' R
U2 R F2 D' B R' B2
U2 R F2 B2 D' B R'
U2 R B' F' D F' R
F2 R B2 L B D' R2
F2 R B2 D' L B R'
L U' D' L2 F R U'
U2 R B2 F2 D' B R'
B' R' F' D F' L' R
B' R' F' D F' R L'
U2 R' F' D F' R B'
U2 R' F' D F' B' R
U2 R' F' D B' F' R
B' R' F2 L' U F U'
U2 R' F' B' D F' R
U2 R' F2 D' B R' B2
L U2 R F2 B D' R2
L U2 R B F2 D' R2
U2 R' F2 B2 D' B R'
U2 R' B' F' D F' R
U2 R' B2 F2 D' B R'
L2 U2 F2 R2 D B R'
L U2 F2 R B D' R2
U2 R2 F' D F' R B'
U2 R2 F' D F' B' R
U2 R2 F' D B' F' R
U2 R2 F' B' D F' R
U2 R2 F2 D' B R' B2
U2 R2 F2 B2 D' B R'
U2 R2 B' F' D F' R
U2 R2 B2 F2 D' B R'
B2 U L B' U F2 B2
B2 U L B' U B2 F2
B U L B' U F2 B'
B U L B' U B' F2
U2 D F D' F2 R B'
U2 D F D' F2 B' R
U2 D F D' B' F2 R
U2 D F B' D' F2 R
U2 D F' D' R F2 B'
U2 D F' D' R B' F2
U2 D F' D' B' R F2
U2 D F' B' D' R F2
U2 D B' F D' F2 R
B2 U F2 D' L2 B R'
U2 D B' F' D' R F2
B2 U F2 D' B L2 R'
B2 U F2 D' B R' L2
L D' U' L2 F R U'
B2 U' L' F U' F B
B2 U' L' F U' B F
B U' L' F U' F B2
B U' L' F U' B2 F
B2 U' D' L2 U' B R'
U2 D' B R' B2 D F2
D U2 F D' F2 R B'
D U2 F D' F2 B' R
D U2 F D' B' F2 R
D U2 F B' D' F2 R
D U2 F' D' R F2 B'
D U2 F' D' R B' F2
D U2 F' D' B' R F2
D U2 F' B' D' R F2
D' U2 B R' B2 D F2
F' U2 D F' R D B'
F' U2 D F' R D' B'
F' U2 D F' R D2 B'
F' U2 D F' R B' D
F' U2 D F' R B' D'
F' U2 D F' R B' D2
F' U2 D F' R' B' R2
F' U2 D F' D R B'
F' U2 D F' D B' R
F' U2 D F' D' R B'
F' U2 D F' D' B' R
F' U2 D F' D2 R B'
F' U2 D F' D2 B' R
F' U2 D F' B R B2
F' U2 D F' B' R D
F' U2 D F' B' R D'
F' U2 D F' B' R D2
F' U2 D F' B' D R
F' U2 D F' B' D' R
F' U2 D F' B' D2 R
F' U2 D B F' R B2
F' U2 D B' F' R D
F' U2 D B' F' R D'
F' U2 D B' F' R D2
F' U2 D B' F' D R
F' U2 D B' F' D' R
F' U2 D B' F' D2 R
D U2 B' F D' F2 R
D U2 B' F' D' R F2
F2 U2 D B' R2 F' R
F' U2 D' F' B R' B2
F' U2 D' B F' R' B2
B2 U2 D' B R' D F2
B2 U2 D' B D R' F2
B2 U2 D' B D F2 R'
F U2 D F' R F2 B'
F U2 D F' R B' F2
F U2 D F' B' R F2
L D2 B2 U B L U
F U2 D B' F' R F2
F' U2 D2 B' D' F' R
L2 F L' U B' R' U
F U2 D' F B R' B2
F U2 D' B R' F B2
F U2 D' B R' B2 F
F U2 D' B F R' B2
B2 U2 F D' F B R'
B2 U2 F D' B R' F
B2 U2 F D' B F R'
L2 F L2 D' B' L U2
F' U2 F' D' B R' B2
B2 U2 F' D F' B R
B2 U2 F' D B F' R
B2 U2 F' D' F' B R'
B2 U2 F' D' B F' R'
B2 U2 F' B D F' R
F' U2 F' B2 D' B R'
F U2 F D' B R' B2
F U2 F B2 D' B R'
B2 U2 F2 D' B R' D
B2 U2 F2 D' B R' D'
B2 U2 F2 D' B R' D2
B2 U2 F2 D' B D R'
B2 U2 F2 D' B D' R'
B2 U2 F2 D' B D2 R'
B U2 F' B2 D F' R
B U2 F2 B D' B R'
B2 U2 B F' D F' R
F U2 F2 D F' R B'
F U2 F2 D F' B' R
F U2 F2 D B' F' R
F U2 F2 B' D F' R
F2 U2 B' R2 D F' R
F' U2 B' D F' R D
F' U2 B' D F' R D'
F' U2 B' D F' R D2
F' U2 B' D F' D R
F' U2 B' D F' D' R
F' U2 B' D F' D2 R
F2 U2 B' D R2 F' R
B U2 B F2 D' B R'
F' U2 B2 D F' B R
F' U2 B2 D B F' R
F' U2 B2 D' F' B R'
F' U2 B2 D' B F' R'
L2 F U B' U R' F
L2 F U B' U F R'
F' U2 B2 F' D' B R'
F U2 B' D F' R F2
F' D L U2 F' R B
F U2 B' F2 D F' R
L2 F U' F' U' F2 R
L2 F U' F2 U' F' R
B U2 B2 F' D F' R
F U2 B2 D' F B R'
F U2 B2 D' B R' F
F U2 B2 D' B F R'
F U2 B2 F D' B R'
L2 F U2 R' F D R2
D F U2 D' F2 R B'
D F U2 D' F2 B' R
D F U2 D' B' F2 R
D F U2 B' D' F2 R
F' D L2 F L' U2 F2
F' D L2 F U2 F2 R
U2 F D F' R F2 B'
U2 F D F' R B' F2
U2 F D F' B' R F2
F2 D L2 F L' U2 F'
U2 F D B' F' R F2
D F D B2 L' U2 B
U2 F D' F B R' B2
U2 F D' B R' F B2
U2 F D' B R' B2 F
U2 F D' B F R' B2
F D L2 F B' L' U2
D F D' U2 F2 R B'
D F D' U2 F2 B' R
D F D' U2 B' F2 R
F D L2 B' F L' U2
D2 F B2 U2 D B R'
U2 F B' D F' R F2
D2 F B2 D U2 B R'
U2 F B2 D' F B R'
U2 F B2 D' B R' F
U2 F B2 D' B F R'
F' D U2 F' R D B'
F' D U2 F' R D' B'
F' D U2 F' R D2 B'
F' D U2 F' R B' D
F' D U2 F' R B' D'
F' D U2 F' R B' D2
F' D U2 F' R' B' R2
F' D U2 F' D R B'
F' D U2 F' D B' R
F' D U2 F' D' R B'
F' D U2 F' D' B' R
F' D U2 F' D2 R B'
F' D U2 F' D2 B' R
F' D U2 F' B R B2
F' D U2 F' B' R D
F' D U2 F' B' R D'
F' D U2 F' B' R D2
F' D U2 F' B' D R
F' D U2 F' B' D' R
F' D U2 F' B' D2 R
F' D U2 B F' R B2
F' D U2 B' F' R D
F' D U2 B' F' R D'
F' D U2 B' F' R D2
F' D U2 B' F' D R
F' D U2 B' F' D' R
F' D U2 B' F' D2 R
F2 D U2 B' R2 F' R
F' D F U2 F2 R B'
F' D F U2 F2 B' R
F' D F U2 B' F2 R
F D U2 F' R F2 B'
F D U2 F' R B' F2
F D U2 F' B' R F2
F' D F' R B2 L B
F D U2 B' F' R F2
F' D F' B R B2 L
F2 D F' U2 R F B'
F2 D F' U2 R B' F
F2 D F' U2 B' R F
F' D F2 U2 F B' R'
F' D F2 U2 B' R' F
F' D F2 U2 B' F R'
F2 D F2 U2 F2 B' R'
F2 D F2 U2 B' R' F2
F2 D F2 U2 B' F2 R'
F D F' U2 R F2 B'
F D F' U2 R B' F2
F D F' U2 B' R F2
F' D B U2 F' R B2
F' D B U2 F' B2 R
F' D B U2 B2 F' R
F' D B F' R B2 L
F D F2 U2 F' B' R'
F D F2 U2 B' F' R'
U' F' U' D F' R B'
U' F' U' D F' B' R
U' F' U' D B' F' R
F' D B2 U2 F' B R
F' D B2 U2 B F' R
U' F' U' B' D F' R
D F' U R2 U R' B'
U' F' D U' F' R B'
U' F' D U' F' B' R
U' F' D U' B' F' R
