D R U R2 U2 R' F'
B2 R F' L' F' U' L2
U' R F2 U R2 U2 F'
U' R F2 U B R2 U2
R' U' R' F2 R' U' F
R2 U' F2 R' U' L' F'
U' R' U' F2 R2 U' F
D R' U' R2 U' R F'
U' R' U2 D F' R2 B2
U' R' U2 D F' B2 R2
U' R' U2 D B2 F' R2
U' R' D U2 F' R2 B2
U' R' D U2 F' B2 R2
U' R' D U2 B2 F' R2
U' R' D' L2 F2 U2 F
U' R' D' F2 L2 B' U2
R D F' L' B2 U' R2
R D F' B2 L' U' R2
R D B2 U' R' F' R'
R D B2 F' L' U' R2
B2 U2 R F2 U' L F
R2 F' L' F' R' U' L'
R F' L' D F' B2 U'
R F' L' D B2 F' U'
R F' L' D2 F' U' L2
R F' L' F' U R2 U2
R F' L' F' U' D2 L2
R F' L' F' D B2 U'
R F' L' F' D2 U' L2
R' F' U' L' F' R2 U'
R F' D L' F' B2 U'
R F' D L' B2 F' U'
R F' D B2 L' F' U'
R2 F2 R' U' D' L' F
R2 F2 R' D' U' L' F
R2 F2 D' R' U' L' F
R F2 D2 B' L U' L
D2 B2 U2 R U' L F
