F' L' U R U L'
L2 R D F R F' B
L2 R D F R B F'
L' R D' L' F R B
F' L' R' U R2 U L'
F' L' R' U2 L' D' F2
F' L' R' U2 D' L' F2
F' L' R' D B2 U2 L'
F' L' R' D' U2 L' F2
F' L' R2 U R' U L'
R2 L' D' L' F B R
R2 L' D' L' B F R
R L' D' L' F R B
R2 L' D' B L' F R
F' L' U R U L' D
F' L' U R U L' D'
F' L' U R U L' D2
F' L' U R U D L'
F' L' U R U D' L'
F' L' U R U D2 L'
F' L' U R D U L'
F' L' U R D' U L'
F' L' U R D2 U L'
F' L' U D R U L'
F' L' U D' R U L'
F' L' U D2 R U L'
F L' U F2 L' R U2
F L' U F2 R L' U2
F L' U' L' R D2 B2
F L' U' L' D2 R B2
F L' U' L' D2 B2 R
F L' U' R L' D2 B2
F L' U' R D2 L' B2
F L' U' R D2 B2 L'
F L' U' D2 L' R B2
F L' U' D2 L' B2 R
F L' U' D2 R L' B2
F L' U' D2 R B2 L'
F L' U' D2 B2 L' R
F L' U' D2 B2 R L'
F' L' U2 L' U' R U
F' L' D U R U L'
F L' D R2 U' L' R'
F L' D R2 U' R' L'
F' L' D' U R U L'
R2 L' B D' L' F R
F' L' D2 U R U L'
F L' D2 U' L' R B2
F L' D2 U' L' B2 R
F L' D2 U' R L' B2
F L' D2 U' R B2 L'
F L' D2 U' B2 L' R
F L' D2 U' B2 R L'
F' L' B U R U L'
F' L' B' U R U L'
L2 R2 D F B R F'
R2 L2 D F B R F'
L' R2 D' L' F B R
L' R2 D' L' B F R
R L2 D F R F' B
R L2 D F R B F'
L2 R2 D B F R F'
R2 L2 D B F R F'
F' L' B2 U R U L'
L' R2 D' B L' F R
L' R2 B D' L' F R
L2 R2 B D F R F'
R2 L2 B D F R F'
U L2 D R F' R B
F L2 D2 B2 R D' F2
F' R U L2 D' B2 R'
F' R' L' U R2 U L'
F' R' L' U2 L' D' F2
F' R' L' U2 D' L' F2
F' R' L' D B2 U2 L'
F' R' L' D' U2 L' F2
F' R2 L' U R' U L'
L2 U2 F' U R B U
L2 D R F R F2 B
L2 D R F R B F2
L2 D F R D2 F' B2
L2 D F R D2 B2 F'
F' U R U' L' U2 L'
F' U R D F2 U R
F' U R F2 U L2 R
F' U R F2 U R L2
F' U D R F2 U R
L' D' L' R F R B
L' D' L' R2 F B R
L' D' L' R2 B F R
L' D' L' F R D2 B2
L' D' L' F D2 R B2
L' D' L' F D2 B2 R
F2 U F L' B' U2 L'
L' D' R L' F R B
L' D' R2 L' F B R
L' D' R2 L' B F R
L' D' R2 B L' F R
L' D' F' L' U2 F L'
L2 D' F D2 R F' B2
L2 D' F D2 R B2 F'
L2 D' F D2 B2 R F'
F2 U' L2 R' F' R B'
F2 U' L2 R' F' B' R
F2 U' L2 R' B' F' R
L2 D' F' L' U2 F L
F2 U' L2 B' R' F' R
L D' F' L' U2 F L2
F2 U' R' L2 F' R B'
F2 U' R' L2 F' B' R
F2 U' R' L2 B' F' R
F' U' F2 L' U' L' R
F' U' F2 L' U' R L'
R2 F L' U' L' B R
R2 F L' U' B L' R
R2 F L' U' B R L'
R2 F L2 B D' R F'
F' D L' U R F2 U
F' D U R F2 U R
D' F' L' U' B2 U' F
D' F' L' U2 D F L2
D' F' L' U2 F D L2
D' F' L' D U2 F L2
D' F' L' D' R2 U2 F
L2 F' L' U R U L
L F' L' U R U L2
D2 F' R2 D L' U2 F
U2 F' U R B U L2
U' F2 U' L2 B' R' F'
F' D2 L' R2 U R' U
F' D2 R2 L' U R' U
R2 B L' D' L' F R
R2 B L2 D F R F'
F' B L' U R U L'
B' F' L' U R U L'
F' B' L' U R U L'
B2 F' L' U R U L'
B F' L' U R U L'
F' B2 L' U R U L'
