F' R2 B U' F'
F' L R2 B U' F'
F' L' R2 B U' F'
F' L2 R2 B U' F'
F' R2 L B U' F'
F' R2 L' B U' F'
F' R2 L2 B U' F'
R2 U2 F2 B U F
R2 U2 B F2 U F
F' R2 D B U' F'
F' R2 D' B U' F'
F' R2 D2 B U' F'
F' R2 B L U' F'
F' R2 B L' U' F'
F' R2 B L2 U' F'
F' R2 B U' D F'
F' R2 B U' D' F'
F' R2 B U' D2 F'
F' R2 B U' F' D
F' R2 B U' F' D'
F' R2 B U' F' D2
F' R2 B D U' F'
F' R2 B D' U' F'
F' R2 B D2 U' F'
B U' F' R2 B U'
F2 U2 R2 F U' F2
F2 U2 F R2 U' F'
L' F' R2 B U' F'
U' F' R2 B U' F'
U2 F' R2 B U' F'
L2 F' R2 B U' F'
L F' R2 B U' F'
U F' R2 B U' F'
F' L R2 D B U' F'
F' L R2 D' B U' F'
F' L R2 D2 B U' F'
F' L R2 B L U' F'
F' L R2 B L' U' F'
F' L R2 B L2 U' F'
F' L R2 B U' D F'
F' L R2 B U' D' F'
F' L R2 B U' D2 F'
F' L R2 B U' F' D
F' L R2 B U' F' D'
F' L R2 B U' F' D2
F' L R2 B D U' F'
F' L R2 B D' U' F'
F' L R2 B D2 U' F'
R2 L U2 F2 B U F
R2 L U2 B F2 U F
B L U' F' R2 B U'
U2 L F' R2 B U' F'
U' L F' R2 B U' F'
U L F' R2 B U' F'
R2 L' U2 F2 B U F
R2 L' U2 B F2 U F
F' L' R2 D B U' F'
F' L' R2 D' B U' F'
F' L' R2 D2 B U' F'
F' L' R2 B L U' F'
F' L' R2 B L' U' F'
F' L' R2 B L2 U' F'
F' L' R2 B U' D F'
F' L' R2 B U' D' F'
F' L' R2 B U' D2 F'
F' L' R2 B U' F' D
F' L' R2 B U' F' D'
F' L' R2 B U' F' D2
F' L' R2 B D U' F'
F' L' R2 B D' U' F'
F' L' R2 B D2 U' F'
B L' U' F' R2 B U'
U' L' F' R2 B U' F'
U2 L' F' R2 B U' F'
U L' F' R2 B U' F'
F L' F2 R2 U' F' L'
L' R2 U2 F2 B U F
L' R2 U2 B F2 U F
L2 R2 U2 F2 B U F
R2 L2 U2 F2 B U F
L R2 U2 F2 B U F
L2 R2 U2 B F2 U F
R2 L2 U2 B F2 U F
L R2 U2 B F2 U F
F' L2 R2 D B U' F'
F' L2 R2 D' B U' F'
F' L2 R2 D2 B U' F'
F' L2 R2 B L U' F'
F' L2 R2 B L' U' F'
F' L2 R2 B L2 U' F'
F' L2 R2 B U' D F'
F' L2 R2 B U' D' F'
F' L2 R2 B U' D2 F'
F' L2 R2 B U' F' D
F' L2 R2 B U' F' D'
F' L2 R2 B U' F' D2
F' L2 R2 B D U' F'
F' L2 R2 B D' U' F'
F' L2 R2 B D2 U' F'
F L2 R2 F2 B' U' F
F L2 R2 B' F2 U' F
B L2 U' F' R2 B U'
U' L2 F' R2 B U' F'
B2 L2 F' R2 B U' F2
U2 L2 F' R2 B U' F'
U L2 F' R2 B U' F'
F L2 F2 R2 B' U' F'
F2 L2 B' D2 L2 U F2
