D' F2 U F' R B
L2 R2 B' U' R' F' U'
R2 L2 B' U' R' F' U'
F' R U F2 L' R B
F' R U F2 R L' B
F' R U F2 R B L'
F' R U' F2 L' R B'
F' R U' F2 L' B' R
F' R U' F2 R L' B'
D' R F2 U F' R B
D' R' F2 U F' R B
F R' B2 R2 D L B'
R2 U2 F B' R' D B2
R2 U2 B' F R' D B2
D' R2 F2 U F' R B
F' U R F2 L' B R
F' U R F2 B L' R
F' U R F2 B R L'
F' U R B F2 L' R
F' U R B F2 R L'
F2 U F' D2 L2 R B
F2 U F' D2 R L2 B
F2 U F' D2 R B L2
F' U F2 D2 L2 R B
F' U F2 D2 R L2 B
F' U F2 D2 R B L2
F' U' L' R2 U2 F2 B'
F' U' L' R2 U2 B' F2
F' U' R F2 L' R B'
F' U' R F2 L' B' R
F' U' R F2 R L' B'
F' U' R2 L' U2 F2 B'
F' U' R2 L' U2 B' F2
F' U' R2 U2 F2 R B
D2 F L2 B' R D B2
R2 F R B2 D L B'
D2 F B' L2 R D B2
D2 F B' R L2 D B2
R' F B2 R D L B'
U2 F B' R' D B2 L
R2 F B' R D B2 L
R' F B2 D L R B'
R' F B2 D L B' R
R' F B2 D R L B'
B' D F R D L2 B2
B' D F R D B2 L2
D2 F' U F2 L2 R B
D2 F' U F2 R L2 B
D2 F' U F2 R B L2
D' F2 L U F' R B
D' F2 L' U F' R B
D' F2 L2 U F' R B
B D' F2 L U F' R
F D' F2 U F2 R B
D2 F2 U L2 F' R B
D2 F2 U F' L2 R B
D2 F2 U F' R L2 B
D2 F2 U F' R B L2
D' F2 U F' R D B
D' F2 U F' R D' B
D' F2 U F' R D2 B
D' F2 U F' R B D
D' F2 U F' R B D'
D' F2 U F' R B D2
D' F2 U F' D R B
D' F2 U F' D' R B
D' F2 U F' D2 R B
D' F2 U F' B R B
D' F2 U F' B' R B
D' F2 U F' B2 R B
D' F2 U B F' R B
D' F2 U B' F' R B
D' F2 U B2 F' R B
R F2 U L' F' R B
R F2 U' L' F' R B'
R F2 U' L' F' B' R
R F2 U' L' B' F' R
D' F2 B L U F' R
F D2 L2 B' R D B2
B' D2 F L2 R D B2
B' D2 F R L2 D B2
F D2 B' L2 R D B2
F D2 B' R L2 D B2
D' B F2 L U F' R
B' F D R D L2 B2
B' F D R D B2 L2
B' F D2 L2 R D B2
B' F D2 R L2 D B2
R2 B' U' R' F' U' F2
D2 B' F L2 R D B2
D2 B' F R L2 D B2
U2 B' F R' D B2 L
R2 B' F R D B2 L
F B' D R D L2 B2
F B' D R D B2 L2
F B' D2 L2 R D B2
F B' D2 R L2 D B2
R' B2 D F L R B'
R' B2 D F L B' R
R' B2 D F R L B'
R' B2 F R D L B'
R' B2 F D L R B'
R' B2 F D L B' R
R' B2 F D R L B'
