F2 L D B' L2 U'
F2 L D2 B' U' F2
F2 L B' L2 U' F
F2 L B' U B' U2
F2 L' D L2 B' U'
D L2 F U' L' R2
D L2 F U' R2 L'
D L2 F U' R2 L'
B' L2 F2 U' F' L'
L' D L2 B' U' R2
L D B' L2 U' R2
D F L2 U' L R2
D F L2 U' R2 L
F D F L2 U' L
L F2 D B' L2 U'
L F2 D2 B' U' F2
L F2 B' L2 U' F
L F2 B' U B' U2
L B' L2 F2 U' F'
L B' F2 L2 U' F
L B' F2 U B' U2
F2 L U B2 U' B U'
B2 L U' F2 B' U' B
B2 L U' B' F2 U' B
F2 L D L2 U2 F U
F' L D F' B' L2 U'
F' L D B' L2 F' U'
F2 L D B L2 B2 U'
F' L D B' F' L2 U'
F2 L D B' L2 U' D
F2 L D B' L2 U' D'
F2 L D B' L2 U' D2
F2 L D B' L2 D U'
F2 L D B' L2 D' U'
F2 L D B' L2 D2 U'
F2 L D B' U' D F2
B2 L D B' U' R2 F'
F2 L D B' D U' F2
F2 L D B2 L2 B U'
D L D' L F2 B' U'
D L D' L B' F2 U'
D L D' F2 L B' U'
F2 L D' B' U' D' F2
F2 L D' B' U2 R2 U
F2 L D' B' D' U' F2
F2 L D' B' D2 L2 U'
F' L D2 F' B' U' F'
F' L D2 B' F' U' F'
F2 L D2 B' L U' F2
F2 L D2 B' L' U' F2
F2 L D2 B' L2 U' F2
F2 L D2 B' U' F2 D
F2 L D2 B' U' F2 D'
F2 L D2 B' U' F2 D2
F2 L D2 B' D' L2 U'
D L F L U' L2 R2
D L F L U' R2 L2
F' L F' D B' L2 U'
F' L F' D2 B' U' F2
F' L F' B' L2 U' F
F' L F' B' U B' U2
B' L F2 B' L U' F
B2 L F2 B' U B U2
B L F2 B' U B2 U2
B L F2 B' U' D2 F2
B L F2 B' D L2 U'
B L F2 B' D2 U' F2
B' L B' L F2 U' F'
F' L B' L2 F' U' F2
F2 L B' L2 U' D F
F2 L B' L2 U' D' F
F2 L B' L2 U' D2 F
F2 L B' L2 U' F D
F2 L B' L2 U' F D'
F2 L B' L2 U' F D2
F2 L B' L2 D U' F
F2 L B' L2 D' U' F
F2 L B' L2 D2 U' F
F L B' L2 U' F R
F2 L B' U D B' U2
F2 L B' U D' B' U2
F2 L B' U D2 B' U2
F2 L B' U B' U2 D
F2 L B' U B' U2 D'
F2 L B' U B' U2 D2
F2 L B' U B' D U2
F2 L B' U B' D' U2
F2 L B' U B' D2 U2
F2 L B' U' L2 F L2
B2 L B' U' D R2 F'
F2 L B' D L2 U' F
F2 L B' D U B' U2
F2 L B' D' L2 U' F
F2 L B' D' U B' U2
B2 L B' D U' R2 F'
F2 L B' D2 L2 U' F
F2 L B' D2 U B' U2
F' L B' F' L2 U' F
B L B' D L2 U' R2
F' L B' F' U B' U2
B' L B' F2 L U' F
B2 L B' F2 U B U2
B L B' F2 U B2 U2
B L B' F2 U' D2 F2
B L B' F2 D L2 U'
B L B' F2 D2 U' F2
U L B2 U' F2 B U'
U L B2 U' B F2 U'
F2 L' U B2 U F U
F2 L' U2 D' R2 F U
F2 L' U2 D' F R2 U
F2 L' U2 D2 F U F
F2 L' U2 F U D2 F2
F2 L' U2 F U' B2 U2
F2 L' U2 F D' R2 U
F2 L' U2 F D2 U F2
F' L' D L2 F' B' U'
F' L' D L2 B' F' U'
F2 L' D L2 D B' U'
F2 L' D L2 D' B' U'
F2 L' D L2 D2 B' U'
F2 L' D L2 B' U' D
F2 L' D L2 B' U' D'
F2 L' D L2 B' U' D2
F2 L' D L2 B' D U'
F2 L' D L2 B' D' U'
F2 L' D L2 B' D2 U'
F2 L' D B L2 B' U'
F2 L' D B' L2 B' U'
F2 L' D B2 L2 B' U'
F2 L' D' U2 R2 F U
F2 L' D' U2 F R2 U
F2 L' D2 L2 B' U' F2
F2 L' D2 U2 F U F
F' L' F' D2 B2 U' F2
B2 L' F2 U2 F' U F
F2 L' B' L2 B' U' F
F2 L' B2 U2 F U F'
F2 L2 U B' R' B' U2
D L2 U' R2 F L' F'
F2 L2 U' D2 F' L' F'
F2 L2 U' F D2 F2 L'
F2 L2 U' F' L' D2 F2
B L2 U' D R2 F' L'
F2 L2 U' F' D2 L' F2
D L2 U' F L' F' R2
D L2 U2 F U L' R2
D L2 U2 F U R2 L'
F2 L2 D L' B' L' U'
B L2 D U' R2 F' L'
F2 L2 D2 L' B' U' F2
F2 L2 D2 U' F' L' F'
F' L2 D2 F' U' F' L'
D L2 F U' L' R2 D
D L2 F U' L' R2 D'
D L2 F U' L' R2 D2
D L2 F U' R2 L' D
D L2 F U' R2 L' D'
D L2 F U' R2 L' D2
D L2 F U' R2 D L'
D L2 F U' R2 D' L'
D L2 F U' R2 D2 L'
D L2 F B U' L' R2
D L2 F B U' R2 L'
D L2 F B' U' L' R2
D L2 F B' U' R2 L'
D L2 F B2 U' L' R2
D L2 F B2 U' R2 L'
D L2 F' U R U2 R
D L2 F' D' F2 U' L'
B' L2 F2 L' B' U' F'
B' L2 F2 U' L F' L'
B' L2 F2 U' L' F' L'
B' L2 F2 U' L2 F' L'
B' L2 F2 U' D F' L'
B' L2 F2 U' D' F' L'
B' L2 F2 U' D2 F' L'
B' L2 F2 U' F' L' D
B' L2 F2 U' F' L' D'
B' L2 F2 U' F' L' D2
B' L2 F2 U' F' D L'
B' L2 F2 U' F' D' L'
B' L2 F2 U' F' D2 L'
B' L2 F2 D U' F' L'
B' L2 F2 D' U' F' L'
B' L2 F2 D2 U' F' L'
B' L2 F2 B U' F' L'
B L2 F2 U B U2 L
B' L2 F2 B' U' F' L'
B' L2 F2 B2 U' F' L'
F2 L2 B U B U2 L
B' L2 B F2 U' F' L'
D L2 B F U' L' R2
D L2 B F U' R2 L'
F2 L2 B' U B' R' U2
B' L2 B' F2 U' F' L'
D L2 B' F U' L' R2
D L2 B' F U' R2 L'
B' L2 B2 F2 U' F' L'
D L2 B2 F U' L' R2
D L2 B2 F U' R2 L'
L U B2 U' F2 B U'
L U B2 U' B F2 U'
F2 R D2 R' B U' F2
D2 R F' B2 L U F'
D2 R B2 L F' U F'
D2 R B2 F' L U F'
L' U2 D2 F B2 U F
L' U2 D2 B2 F U F
B R2 D F' R2 B2 L
L2 D L' B' L' U' R2
L' D L2 D' F2 B' U'
L' D L2 D' B' F2 U'
L' D L2 F B' U' R2
L' D L2 F' B' U' R2
L' D L2 F2 B' U' R2
D R2 F D L' F2 B2
D R2 F D L' B2 F2
L' D L2 B' U' R2 D
L' D L2 B' U' R2 D'
L' D L2 B' U' R2 D2
D R2 F D B2 L' F2
L' D L2 B' D' F2 U'
L' D L2 B' F U' R2
L' D L2 B' F' U' R2
L' D L2 B' F2 U' R2
L D L2 U2 F U R2
D R2 F' D F2 L' B2
D R2 F' D F2 B2 L'
D R2 F' D B2 F2 L'
L D F B' L2 U' R2
L D F' B' L2 U' R2
L' D B L2 B' U' R2
L D F2 B' L2 U' R2
L' D B' L2 B' U' R2
L D B L2 B2 U' R2
U' D R2 F D L' F2
U' D R2 F' D F2 L'
L' D B2 L2 B' U' R2
U' D F R2 D L' F2
L D B' L2 U' R2 D
L D B' L2 U' R2 D'
L D B' L2 U' R2 D2
L D B' L2 D' F2 U'
L D B' L2 F U' R2
L D B' L2 F' U' R2
L D B' L2 F2 U' R2
L D B' U' R2 D F2
L D B' F L2 U' R2
L D B' F' L2 U' R2
L D B' F2 L2 U' R2
B' U D' B' L2 U2 L'
L D B2 L2 B U' R2
B U D' L2 B R' U2
B U D' B L2 R' U2
B U D' B R' L2 U2
F2 U B D' B R' U2
F2 U B' D' B' U2 L
D U' R2 F D L' F2
D2 U' F D' R2 F L'
D2 U' F D' F L' R2
D2 U' F D' F R2 L'
D U' R2 F' D F2 L'
D U' F R2 D L' F2
B' U' D L2 R2 F L'
B' U' D L2 F L' R2
B' U' D L2 F R2 L'
B' U' D R2 L2 F L'
F2 U' D F D L' F2
F2 U' D F' D F2 L'
L D' B' D2 L2 U' R2
B U' D R2 F L' F2
B U' D F L' R2 F'
B U' D F R2 L' F'
B U' D F2 R2 F' L'
F2 U' D2 F D' F L'
D2 U2 R F' B2 U F'
D2 U2 R B2 F' U F'
U2 D2 R F' B2 U F'
U2 D2 R B2 F' U F'
L' D2 U2 F B2 U F
L' D2 U2 B2 F U F
U' D2 F D' R2 F L'
U' D2 F D' F L' R2
U' D2 F D' F R2 L'
D2 U2 B2 R F' U F'
U2 D2 B2 R F' U F'
L D2 B' L2 F U' F
L D2 B' U2 B' U F2
L D2 B' D' L2 F U'
F2 U2 D2 R F' U F'
D F L2 U' L R2 D
D F L2 U' L R2 D'
D F L2 U' L R2 D2
D F L2 U' R2 L D
D F L2 U' R2 L D'
D F L2 U' R2 L D2
D F L2 U' R2 D L
D F L2 U' R2 D' L
D F L2 U' R2 D2 L
D F L2 D' F2 U' L
D F L2 F U' L R2
D F L2 F U' R2 L
D F L2 F' U' L R2
D F L2 F' U' R2 L
D F L2 F2 U' L R2
D F L2 F2 U' R2 L
D F R2 D L' F2 B2
D F R2 D L' B2 F2
D F R2 D B2 L' F2
D2 F U' D' R2 F L'
D2 F U' D' F L' R2
D2 F U' D' F R2 L'
F2 D L D' L B' U'
D F U' R2 D L' F2
B' D L2 U' R2 F L'
B' D L2 U' F L' R2
B' D L2 U' F R2 L'
F2 D L2 U' F L' F'
F2 D L2 U2 F U L'
F' D L2 F' U R U2
D2 F D' U' R2 F L'
D2 F D' U' F L' R2
D2 F D' U' F R2 L'
F2 D L2 D2 B' U' L
L F D F B' L2 U'
L F D B' F L2 U'
D F B L2 U' L R2
D F B L2 U' R2 L
L F D2 F B' U' F
L F D2 B' F U' F
D F B' L2 U' L R2
D F B' L2 U' R2 L
B' D U' L2 R2 F L'
B' D U' L2 F L' R2
B' D U' L2 F R2 L'
B' D U' R2 L2 F L'
D F B2 L2 U' L R2
D F B2 L2 U' R2 L
F2 D U' F D L' F2
F2 D U' F' D F2 L'
B D U' R2 F L' F2
B D U' F L' R2 F'
B D U' F R2 L' F'
B D U' F2 R2 F' L'
F' D F L2 F2 U' L
F2 D F L2 F' U' L
F' D F' L2 U R U2
F' D F' U' D F2 L'
B D F U' L' R2 F'
B D F U' R2 L' F'
F' D F' D U' F2 L'
F D F L2 U' L D
F D F L2 U' L D'
F D F L2 U' L D2
F D F L2 U' D L
F D F L2 U' D' L
F D F L2 U' D2 L
F D F L2 D U' L
F D F L2 D' U' L
F D F L2 D2 U' L
D F' L2 U R U2 R
F D F U' D L' F2
D F' L2 D' F2 U' L'
F D F D U' L' F2
F D F B L2 U' L
D F' L2 F2 U' L' R2
D F' L2 F2 U' R2 L'
F D F B' L2 U' L
F D F B2 L2 U' L
F D F' L2 F2 U' L'
F D F2 L2 F' U' L'
D F' R2 D F2 B2 L
D F' R2 D B2 L F2
D F' R2 D B2 F2 L
F D B F L2 U' L
F D B' F L2 U' L
F D B2 F L2 U' L
L F' D F' B' L2 U'
L F' D B' L2 F' U'
L' F' D2 F' B2 U' F'
L F' D B' F' L2 U'
L' F' D2 B2 F' U' F'
L2 F' D2 F' U' F' L'
L F' D2 F' B' U' F'
L F' D2 B' F' U' F'
B' D' U B' L2 U2 L'
L F' B' L2 F' U' F2
B D' U L2 B R' U2
B D' U B L2 R' U2
B D' U B R' L2 U2
L2 F2 L D L2 B' U'
L2 F2 L' D B' L2 U'
L2 F2 L' D2 B' U' F2
L2 F2 L' B' L2 U' F
L2 F2 L' B' U B' U2
D F2 L2 F' U' L' R2
D F2 L2 F' U' R2 L'
L F2 L2 D L2 B' U'
L' F2 R2 B R2 U' F'
F2 D' B' U' L D' F2
F2 D' B' U' D' L F2
F2 D' B' U' D' F2 L
F2 D' B' U2 R2 U L
F2 D' B' D' U' L F2
F2 D' B' D' U' F2 L
F2 D' B' D2 L2 U' L'
L' F2 U B2 U F' U
L2 F2 U B' R' B' U2
L2 F2 U' D2 F' L' F'
L2 F2 U' F D2 F2 L'
L2 F2 U' F' L' D2 F2
L2 F2 U' F' D2 L' F2
L' F2 U2 D' F' R2 U
L' F2 U2 D2 F' U F'
L' F2 U2 F' U D2 F2
L' F2 U2 F' U' B2 U2
L' F2 U2 F' D' R2 U
L' F2 U2 F' D2 U F2
L F2 U B2 U' B U'
L' F2 D L2 U2 F' U
L2 F2 D L' B' L' U'
L' F2 D' U2 F' R2 U
L F2 D L2 U2 F U
L' F2 D2 U2 F' U F'
L F2 D B L2 B2 U'
L F2 D B' L2 U' D
L F2 D B' L2 U' D'
L F2 D B' L2 U' D2
L F2 D B' L2 D U'
L F2 D B' L2 D' U'
L F2 D B' L2 D2 U'
L2 F2 D2 L' B' U' F2
L F2 D B' U' D F2
L F2 D B' D U' F2
L F2 D B2 L2 B U'
L2 F2 D2 U' F' L' F'
F2 D2 R' B R U' F2
L F2 D' B' U' D' F2
L F2 D' B' U2 R2 U
L F2 D' B' D' U' F2
L F2 D' B' D2 L2 U'
L2 F2 B U B U2 L
R F2 D2 R' B U' F2
L F2 D2 B' L U' F2
L F2 D2 B' L' U' F2
L F2 D2 B' L2 U' F2
L F2 D2 B' U' F2 D
L F2 D2 B' U' F2 D'
L F2 D2 B' U' F2 D2
L F2 D2 B' D' L2 U'
L2 F2 B' U B' R' U2
L' F2 B2 U2 F' U F
L F2 B' L2 U' D F
L F2 B' L2 U' D' F
L F2 B' L2 U' D2 F
L F2 B' L2 U' F D
L F2 B' L2 U' F D'
L F2 B' L2 U' F D2
L F2 B' L2 D U' F
L F2 B' L2 D' U' F
L F2 B' L2 D2 U' F
L F2 B' U D B' U2
L F2 B' U D' B' U2
L F2 B' U D2 B' U2
