L' R F' R D' L2
L' R F' D' L2 R
L' R F' D' R L2
F' L' R F' D' L2
R L' F' R D' L2
R L' F' D' L2 R
R L' F' D' R L2
F' R L' F' D' L2
F' R D F L' F2
F' R F2 D F L'
L' F' R D' L2 F'
L' F' R D' F' L2
R F2 D F L' R
R F2 D F R L'
F' L R U B' U' F'
F' L R F' U B' U'
L R U B' U' F' R
R L U B' U' F' R
L' R U' F U F2 R
F' L U B' U' R F'
L' R F' L R D' L2
L' R F' L D' L2 R
L' R F' L D' R L2
L' R F' L' R D' L2
L' R F' L' D' L2 R
L' R F' L' D' R L2
L' R F' L2 R D' L2
L' R F' L2 D' L2 R
L' R F' L2 D' R L2
L' R F' R L D' L2
L' R F' R L' D' L2
L' R F' R L2 D' L2
L' R F' R U' F2 U
L' R F' R D' L2 D
L' R F' R D' L2 D'
L' R F' R D' L2 D2
L' R F' R2 D' L2 R'
L' R F' R2 D' R' L2
L R F' R U B' U'
R L F' R U B' U'
L R F' U B' U' R
L' R F' D' L2 R D
L' R F' D' L2 R D'
L' R F' D' L2 R D2
L' R F' D' L2 D R
L' R F' D' L2 D' R
L' R F' D' L2 D2 R
L' R F' D' R L2 D
L' R F' D' R L2 D'
L' R F' D' R L2 D2
L' R F' D2 R D L2
R L F' U B' U' R
L R B' U' F' B R
L R B' U' B F' R
R L B' U' F' B R
R L B' U' B F' R
U L F' B' U' R F'
F' L B' U' B R F'
U L B' U' R F' R
U L B' U' F' R F'
U L B' F' U' R F'
R L' U' F U F2 R
F' L' R U' F U F2
F' L' R D F' D' L2
F' L' R D' F' D' L2
F' L' R D2 F' D' L2
F' L' R F' L D' L2
F' L' R F' L' D' L2
F' L' R F' L2 D' L2
F' L' R F' U' F2 U
F' L' R F' D' L2 D
F' L' R F' D' L2 D'
F' L' R F' D' L2 D2
R L' F' L R D' L2
R L' F' L D' L2 R
R L' F' L D' R L2
R L' F' L' R D' L2
R L' F' L' D' L2 R
R L' F' L' D' R L2
R L' F' L2 R D' L2
R L' F' L2 D' L2 R
R L' F' L2 D' R L2
R L' F' R L D' L2
R L' F' R L' D' L2
R L' F' R L2 D' L2
R L' F' R U' F2 U
R L' F' R D' L2 D
R L' F' R D' L2 D'
R L' F' R D' L2 D2
R L' F' R2 D' L2 R'
R L' F' R2 D' R' L2
R L' F' D' L2 R D
R L' F' D' L2 R D'
R L' F' D' L2 R D2
R L' F' D' L2 D R
R L' F' D' L2 D' R
R L' F' D' L2 D2 R
R L' F' D' R L2 D
R L' F' D' R L2 D'
R L' F' D' R L2 D2
R L' F' D2 R D L2
U L2 U' R F' L' R
U L2 U' R F' R L'
U L2 U' F' L' R F'
U L2 U' F' R L' F'
R U L B' U' F' R
R U L2 U' F' L' R
R U L2 U' F' R L'
U L2 F' U' R F' L'
F' R L U B' U' F'
F' R L F' U B' U'
F' R L' U' F U F2
F' R L' D F' D' L2
F' R L' D' F' D' L2
F' R L' D2 F' D' L2
F' R L' F' L D' L2
F' R L' F' L' D' L2
F' R L' F' L2 D' L2
F' R L' F' U' F2 U
F' R L' F' D' L2 D
F' R L' F' D' L2 D'
F' R L' F' D' L2 D2
F' R U L B' U' F'
F' R U L2 U' F' L'
L U F' B' U' R F'
F' R D L F L' F2
F' R D L' F L' F2
F' R D L2 F L' F2
F' R D F L F2 L2
F' R D F L' F2 D
F' R D F L' F2 D'
F' R D F L' F2 D2
F' R D F L2 F2 L
L U B' U' R F' R
L U B' U' F' R F'
F' R D F' U2 R U2
F2 R D F L' R F2
F2 R D F R L' F2
L U B' F' U' R F'
F' R D' F' B' L B
F' R D' F2 D2 F L'
F' R D' B' L F' B
F' R D' B' L B F'
F' R D' B' F' L B
F' R D2 F2 D' F L'
D R F D L' R2 F
D R F D L' F R2
D R F D R2 L' F
F' R F' L U B' U'
F' R F' L' U' F U
F' R F' D F L' F'
B R F' R D' B' L
F' R F' D' B' L B
F' R F' B D' B' L
L' U' R F U F2 R
B R F' D' R B' L
B R F' D' B' L R
B R F' D' B' R L
F' R F2 D F L' D
F' R F2 D F L' D'
F' R F2 D F L' D2
F' R F2 D F D L'
F' R F2 D F D' L'
F' R F2 D F D2 L'
F R F2 R D F L'
F R F2 D R F L'
F' R B D' F' B' L
F' R B D' B' L F'
F' R B D' B' F' L
F' R B F' D' B' L
L' U' F U F2 R F'
L2 U' F' U L' R F'
L2 U' F' U R L' F'
F' R2 D R' F L' F2
F' R2 D F L' R' F'
F' R2 D F R' L' F'
F' R2 D F2 R' F' L'
F' U L B' U' R F'
F' U L2 U' R F' L'
D F L' D' R F' R
D F L' D' F' R F'
F' D R F D L' F
D F D' L' R F' R
D F D' L' F' R F'
D F D' R L' F' R
L' F' L R D' L2 F'
L' F' L R D' F' L2
L2 F' L R F' D' L2
L' F' L' R D' L2 F'
L' F' L' R D' F' L2
F2 D F L' D' R F'
R F' L R U B' U'
L' F' L2 R D' L2 F'
L' F' L2 R D' F' L2
F2 D F R D L' F
R F' L U B' U' R
F2 D F D L' R F
F2 D F D R L' F
F2 D F D' L' R F'
F2 D F D' R L' F'
