D L U B' U2 R' B
D' L U' F R F' B'
D' L U' F R B' F'
D' L U' F B' R F'
D' L U' B' F R F'
F' L2 R D2 F L' U'
B L2 R' F L' B2 U
B L2 R' F B2 L' U
B L2 R' B2 F L' U
F' L2 D' R F U' F2
D' L2 D' F L' U' B'
F2 L2 D' F R U' F'
F' L2 D2 R F L' U'
F2 L2 D2 F L' R U'
F2 L2 D2 F R L' U'
B L2 F L' R' B2 U
B L2 F R' L' B2 U
B L2 F R' B2 L' U
F2 L2 F D' R U' F'
F' R L2 D2 F L' U'
F' R U2 B R' B2 U
F' R U2 B' U2 L U'
F' R D2 L2 F L' U'
B R' L2 F L' B2 U
B R' L2 F B2 L' U
B R' L2 B2 F L' U
B' R2 F' U2 L R U'
B' R2 F' U2 R L U'
B' U2 L D2 B R' U'
B' U2 D' L B U' B2
B' U2 D2 L B R' U'
F U2 D B' L' U F
F2 U2 B L R' B2 U
F2 U2 B R' L B2 U
F U2 B L' R' B2 U
F' U2 B' U2 L R U'
F' U2 B' U2 R L U'
F U2 B R' L' B2 U
F U2 B R' B2 L' U
F2 U2 B' U2 L R' U'
F2 U2 B' U2 R' L U'
F U2 B' L' U D F2
F U2 B' L' U2 L2 U'
F U2 B' L' D U F2
F U2 B' L' D2 R2 U
L2 F U2 D L' U F
L2 F D U2 L' U F
F D U2 B' L' U F
D2 F' U2 R B' L U
D2 F' U2 B' L R U
D2 F' U2 B' R L U
F' D' L2 R F U' F2
F2 D' L2 F R U' F'
F' D' R L2 F U' F2
F' D' R U2 B' U F'
B' D' U2 L B U' B2
D2 F2 U2 B' L R' U
D2 F2 U2 B' R' L U
F' D2 L2 R F L' U'
F2 D2 L2 F L' R U'
F2 D2 L2 F R L' U'
F' D2 R L2 F L' U'
B' D2 U2 L B R' U'
B' F L' U2 L2 B U'
B' F L' U2 B L2 U'
B' F L' D2 R2 F' U
D2 B' L R2 F' R U
D2 B' R2 L F' R U
D2 B' R2 F' L R U
D2 B' R2 F' R L U
F B' L' U2 L2 B U'
F B' L' U2 B L2 U'
F B' L' D2 R2 F' U
U2 B' U2 D' L U' B'
U2 B' D' U2 L U' B'
B' F' U2 L B R U'
F' B' U2 L B R U'
