B2 R' B' U' F'
B2 L R' U' F' L'
U2 L R2 F' U F2
U2 L U2 B U' F
B2 R' L U' F' L'
R' U2 L F U F2
B2 R' D B' U' F'
B2 R' D' B' U' F'
B2 R' D2 B' U' F'
B2 R' B' L U' F'
B2 R' B' L' U' F'
B2 R' B' L2 U' F'
B2 R' B' U' D F'
B2 R' B' U' D' F'
B2 R' B' U' D2 F'
B2 R' B' U' F' D
B2 R' B' U' F' D'
B2 R' B' U' F' D2
B2 R' B' D U' F'
B2 R' B' D' U' F'
B2 R' B' D2 U' F'
U2 R2 L F' U F2
U2 R2 F' L U F
B2 R2 B' R U' F'
B2 D R' B' U' F'
B2 D' R' B' U' F'
B D' R' U' F' B
B D' R' U' B F'
B2 D2 R' B' U' F'
D2 B2 R' B' U' F'
D' B2 R' B' U' F'
D B2 R' B' U' F'
U2 L R U D' F L'
U2 L R D' U F L'
U2 L R' U F' L' F2
B2 L R' U' L F' L'
B2 L R' U' L' F' L'
B2 L R' U' L2 F' L'
B2 L R' U' D F' L'
B2 L R' U' D' F' L'
B2 L R' U' D2 F' L'
B2 L R' U' F' L' D
B2 L R' U' F' L' D'
B2 L R' U' F' L' D2
B2 L R' U' F' D L'
B2 L R' U' F' D' L'
B2 L R' U' F' D2 L'
B2 L R' D U' F' L'
B2 L R' D' U' F' L'
B2 L R' D2 U' F' L'
U2 L R' F2 U F' L'
B2 L R' B U' F' L'
B2 L R' B' U' F' L'
B2 L R' B2 U' F' L'
U2 L R2 U F D' L2
U2 L R2 D F' U F2
U2 L R2 D' F' U F2
U2 L R2 D2 F' U F2
U2 L R2 F' R U F2
U2 L R2 F' R' U F2
U2 L R2 F' R2 U F2
U2 L R2 F' U F2 D
U2 L R2 F' U F2 D'
U2 L R2 F' U F2 D2
U2 L R2 F' D R2 U
U2 L U F U B U'
U2 L U2 D B U' F
U2 L U2 D' B U' F
U2 L U2 D2 B U' F
U2 L U2 B U' D F
U2 L U2 B U' D' F
U2 L U2 B U' D2 F
U2 L U2 B U' F D
U2 L U2 B U' F D'
U2 L U2 B U' F D2
U2 L U2 B D U' F
U2 L U2 B D' U' F
U2 L U2 B D2 U' F
B2 L D R' U' F' L'
U2 L D R2 F' U F2
U2 L D U2 B U' F
B2 L D' R' U' F' L'
U2 L D' R2 F' U F2
B L D' R' U' F' B
B L D' R' U' B F'
U2 L D' U2 B U' F
B2 L D2 R' U' F' L'
U2 L D2 R2 F' U F2
U2 L D2 U2 B U' F
U2 L F R2 F' U F
U2 L F' R2 F' U F'
U2 L F' U2 B U' F2
U2 L F' D R2 F' U
U2 L F2 U2 B U' F'
B L B R' B' U' F'
B' L B' R' B' U' F'
U2 L' R2 F' L2 U F
B L' D' R' U' F' B
B L' D' R' U' B F'
B2 L' D2 R' B U' F'
B L' B R' B' U' F'
B' L' B' R' B' U' F'
B2 L2 R' U' F' D' L2
B2 L2 R' U2 F U F2
B L2 D' R' U' F' B
B L2 D' R' U' B F'
B L2 B R' B' U' F'
B' L2 B' R' B' U' F'
U2 R L U D' F L'
U2 R L D' U F L'
R' U F' L' D' B2 R'
B R U B U' R' U'
U2 R D' L U F L'
B2 R B' R2 U B2 U2
B2 R B' R2 U' D2 F2
B2 R B' R2 D L2 U'
B2 R B' R2 D2 U' F2
B2 R B' D L2 U' B2
B2 R' L U' L F' L'
B2 R' L U' L' F' L'
B2 R' L U' L2 F' L'
B2 R' L U' D F' L'
B2 R' L U' D' F' L'
B2 R' L U' D2 F' L'
B2 R' L U' F' L' D
B2 R' L U' F' L' D'
B2 R' L U' F' L' D2
B2 R' L U' F' D L'
B2 R' L U' F' D' L'
B2 R' L U' F' D2 L'
U2 R' L U F' L' F2
B2 R' L D U' F' L'
B2 R' L D' U' F' L'
B2 R' L D2 U' F' L'
B2 R' L B U' F' L'
U2 R' L F2 U F' L'
B2 R' L B' U' F' L'
B2 R' L B2 U' F' L'
B2 R' L2 U' F' D' L2
B2 R' L2 U2 F U F2
R' U' F' U' L F U
R' U' F' B D L B'
B2 R' U' L2 F' D' L2
R' U' B D L F' B'
R' U' B D L B' F'
B2 R' U' F' U B' U'
R' U' B D F' L B'
D2 R' U2 L F U F2
D' R' U2 L F U F2
R' U' B F' D L B'
