F L D' L2 B R' F'
F L D' B L2 R' F'
F L D' B R' L2 F'
F L D' B R' F' L2
F2 L2 B' R' U' F' B2
F2 L2 B' R' U' B2 F'
B2 R' D F' R2 B' L
B2 R' D F' B' L R2
B2 R' D F' B' R2 L
B2 R' D B' L F' R2
B2 R' D B' F' L R2
B2 R' D B' F' R2 L
B R' D' F L' F2 R
F' U F' L' U' L B
R' D' F L' F2 R B
B U' F' U2 F' L' U'
F' U2 L F' U' F2 B
F' U2 L F' U' B F2
F2 U2 F L U F B
F2 U2 F L U B F
F' U2 F' L U' F B
F' U2 F' L U' B F
U' F' U2 F' L' U' B
U F' U2 L' F' U' B
D2 F' B2 R' U F' B'
D2 F' B2 R' U B' F'
F' B U F' L' U' L
B F' U F' L' U' L
D2 B2 F' R' U F' B'
D2 B2 F' R' U B' F'
