D' L' F L2 R B2
D' L' F L2 B2 R
D' L' F R L2 B2
D' L' F R B2 L2
D' L' F B2 L2 R
D' L' F B2 R L2
D' L' B2 F L2 R
D' L' B2 F R L2
D' L U2 B' U2 R' B'
D' L F R' B2 R2 F'
D L F R F' D2 B2
D' L F B2 R2 F' R'
D' L F2 B2 R2 F' R
D' L B2 R F R F'
D' L B2 R2 F R F2
F L B2 R D F2 B2
F L B2 R D B2 F2
D' L B2 U2 B L U2
D' L B2 F R2 F' R'
D' L B2 F2 R2 F' R
D' L' R F L2 R B2
D' L' R F L2 B2 R
D' L' R F R L2 B2
D' L' R F R B2 L2
D' L' R F B2 L2 R
D' L' R F B2 R L2
D' L' R B2 F L2 R
D' L' R B2 F R L2
D' L' R' F L2 R B2
D' L' R' F L2 B2 R
D' L' R' F R L2 B2
D' L' R' F R B2 L2
D' L' R' F B2 L2 R
D' L' R' F B2 R L2
D' L' R' B2 F L2 R
D' L' R' B2 F R L2
D' L' R2 F L2 R B2
D' L' R2 F L2 B2 R
D' L' R2 F R L2 B2
D' L' R2 F R B2 L2
D' L' R2 F B2 L2 R
D' L' R2 F B2 R L2
D' L' R2 B2 F L2 R
D' L' R2 B2 F R L2
F' L' U L' R U L'
F' L' U R L' U L'
F L' U2 L' U L' R
F L' U2 L' U R L'
D' L' F L' R B2 L'
D' L' F L' B2 L' R
D' L' F L' B2 R L'
D' L' F L2 R B2 D
D' L' F L2 R B2 D'
D' L' F L2 R B2 D2
D' L' F L2 R' B2 R2
D' L' F L2 B' R B'
D' L' F L2 B2 R D
D' L' F L2 B2 R D'
D' L' F L2 B2 R D2
D' L' F L2 B2 D R
D' L' F L2 B2 D' R
D' L' F L2 B2 D2 R
D' L' F R L' B2 L'
D' L' F R L2 B2 D
D' L' F R L2 B2 D'
D' L' F R L2 B2 D2
D' L' F R B L2 B
D' L' F R B2 L2 D
D' L' F R B2 L2 D'
D' L' F R B2 L2 D2
D' L' F R' L2 B2 R2
D' L' F R' B2 L2 R2
D' L' F R' B2 R2 L2
D L' F L2 R F' B'
D L' F L2 R B' F'
D L' F L2 B' R F'
D L' F R L2 F' B'
D L' F R L2 B' F'
D' L' F B L2 B R
D' L' F B' R B' L2
D' L' F B2 L2 R D
D' L' F B2 L2 R D'
D' L' F B2 L2 R D2
D' L' F B2 L2 D R
D' L' F B2 L2 D' R
D' L' F B2 L2 D2 R
D' L' F B2 R L2 D
D' L' F B2 R L2 D'
D' L' F B2 R L2 D2
D' L' F' L2 F2 B2 R'
D' L' F' L2 B2 R' F2
D' L' F' L2 B2 F2 R'
D' L' F2 L2 F' R B2
D' L' F2 L2 F' B2 R
D' L' F2 L2 B2 F' R
D' L' F2 B2 L2 F' R
D' L' B F L2 B R
D' L' B' F R B' L2
D' L' B2 R F L2 R
D' L' B2 R F R L2
D' L' B2 R' F L2 R
D' L' B2 R' F R L2
D' L' B2 R2 F L2 R
D' L' B2 R2 F R L2
D' L' B2 F L2 R D
D' L' B2 F L2 R D'
D' L' B2 F L2 R D2
D' L' B2 F L2 D R
D' L' B2 F L2 D' R
D' L' B2 F L2 D2 R
D' L' B2 F R L2 D
D' L' B2 F R L2 D'
D' L' B2 F R L2 D2
D' L' B2 F2 L2 F' R
F' L2 R U L' D2 R2
F' L2 R U' L U2 L2
F' L2 R B2 U L' R'
F' L2 R B2 U R' L'
F L2 U L' R D F2
U' L2 U D' L' F R
F L2 U L' D R F2
F L2 U R L' D F2
F L2 U2 L U' L2 R
F L2 U2 L U' R L2
D2 L2 D L' F R B2
D2 L2 D L' F B2 R
D2 L2 D L' B2 F R
D2 L2 D B2 L' F R
U' L2 D' U L' F R
D L2 D2 L' F R B2
D L2 D2 L' F B2 R
D L2 D2 L' B2 F R
D L2 D2 B2 L' F R
D L2 F2 R U2 F' R
D' L2 B2 L F L2 R
D' L2 B2 L F R L2
F' L2 B2 R U L' R2
F' L2 B2 R U R2 L'
F L2 B2 R' U L' R2
F L2 B2 R' U R2 L'
D' R L' F L2 R B2
D' R L' F L2 B2 R
D' R L' F R L2 B2
D' R L' F R B2 L2
D' R L' F B2 L2 R
D' R L' F B2 R L2
D' R L' B2 F L2 R
D' R L' B2 F R L2
F' R L2 U L' D2 R2
F' R L2 U' L U2 L2
F' R L2 B2 U L' R'
F' R L2 B2 U R' L'
F R D' L B2 D F2
F R D2 L D F2 B2
F R D2 L D B2 F2
D R F' L D2 R2 B
F' R F2 L2 U L' R
F' R F2 L2 U R L'
D' R' L' F L2 R B2
D' R' L' F L2 B2 R
D' R' L' F R L2 B2
D' R' L' F R B2 L2
D' R' L' F B2 L2 R
D' R' L' F B2 R L2
D' R' L' B2 F L2 R
D' R' L' B2 F R L2
F' R' D' F2 L R B2
F' R' D' F2 L B2 R
F' R' D' F2 R L B2
D' R2 L' F L2 R B2
D' R2 L' F L2 B2 R
D' R2 L' F R L2 B2
D' R2 L' F R B2 L2
D' R2 L' F B2 L2 R
D' R2 L' F B2 R L2
D' R2 L' B2 F L2 R
D' R2 L' B2 F R L2
R' D' L' F L2 R B2
R' D' L' F L2 B2 R
R' D' L' F R L2 B2
R' D' L' F R B2 L2
R' D' L' F B2 L2 R
R' D' L' F B2 R L2
R' D' L' B2 F L2 R
R' D' L' B2 F R L2
R2 D' L' F L2 R B2
R2 D' L' F L2 B2 R
R2 D' L' F R L2 B2
R2 D' L' F R B2 L2
R2 D' L' F B2 L2 R
R2 D' L' F B2 R L2
R2 D' L' B2 F L2 R
R2 D' L' B2 F R L2
R D' L' F L2 R B2
R D' L' F L2 B2 R
R D' L' F R L2 B2
R D' L' F R B2 L2
R D' L' F B2 L2 R
R D' L' F B2 R L2
R D' L' B2 F L2 R
R D' L' B2 F R L2
D' F L R' B2 R2 F'
D' F L B2 R2 F' R'
D' F L' R F L2 B2
D' F L' R F B2 L2
D' F L' R B2 F L2
L' F L' U' L' R B
L' F L' U' R L' B
L' F L' U' R B L'
D' F L' B2 R F L2
D' F R L' F L2 B2
D' F R L' F B2 L2
D' F R L' B2 F L2
D F L2 R B' L' F'
D' F R' L B2 R2 F'
D F L2 B' L' R F'
D F L2 B' R L' F'
D F R L2 B' L' F'
D F R F' L D2 B2
D F R F' D2 L B2
D' F' L B2 D2 R2 F'
D' F' L' U2 F L2 B2
D' F' L' U2 F B2 L2
D' F' L' U2 B2 F L2
U' F' L2 R B U L'
U' F' R L2 B U L'
F D' L R B2 D F2
B2 D' L' F B2 L R
B2 D' L' F B2 R L
B2 D' L' B2 F L R
B2 D' L' B2 F R L
F D' L B2 R D F2
F D' L B2 D R F2
F D' L' U' L2 R B2
F D' L' U' L2 B2 R
F D' L' U' R L2 B2
F D' L' U' R B2 L2
F D' L' U' B2 L2 R
F D' L' U' B2 R L2
B2 D' L2 B2 L F R
F D' R L B2 D F2
D' F2 L B2 R2 F' R
D' F2 L' F L2 B2 R'
D F2 R U2 L F' R
D F2 R U2 F' L R
D F2 R U2 F' R L
B2 D' B2 L' F L2 R
B2 D' B2 L' F R L2
D F2 U2 L R F' R
D F2 U2 L F' R F'
D F2 U2 R L F' R
D F2 U2 R F' L R
D F2 U2 R F' R L
F D2 L D R F2 B2
F D2 L D R B2 F2
F D2 L D B2 R F2
D F2 U2 F' L R F'
D F2 U2 F' R L F'
D F2 U2 F' R F' L
F D2 L' R2 U' L2 R'
F D2 L' R2 U' R' L2
F D2 R2 L' U' L2 R'
F D2 R2 L' U' R' L2
D' B2 L' F R D2 L2
