L F2 R B U
D2 B2 R' F' U'
L R F2 B R U
R L F2 B R U
L R B F2 R U
R L B F2 R U
U2 L F2 U2 F' U'
U2 L' F2 B' L2 U
U2 L' B' L2 F2 U
U2 L' B' F2 L2 U
B2 R' D' F' U' L2
B2 R' D2 F' B2 U'
B2 R' D2 B2 F' U'
R U2 L F2 B U
R U2 L B F2 U
B2 R' F' U2 F' U
D2 R' F' B2 R' U'
D2 R' B2 F' R' U'
R U2 F2 L B U
R' D2 F' B2 R' U'
R' D2 B2 F' R' U'
D2 F B2 R' F' U'
R' F' U2 L F' U
R' F' U2 F' L U
B2 D' R' F' U' L2
D2 F' B2 R' F' U'
U2 F2 L U2 F U'
U2 F2 L' B' L2 U
L F2 R D B U
L F2 R D' B U
L F2 R D2 B U
L F2 R B U D
L F2 R B U D'
L F2 R B U D2
L F2 R B D U
L F2 R B D' U
L F2 R B D2 U
L F2 D R B U
L F2 D' R B U
L F2 D2 R B U
B2 D2 R' F' B2 U'
B2 D2 R' B2 F' U'
L F2 B R B U
L F2 B' R B U
D2 F2 B2 R' F' U'
L F2 B2 R B U
L B F2 R B U
L B' F2 R B U
D2 B2 R' D F' U'
D2 B2 R' D F' U'
D2 B2 R' D' F' U'
D2 B2 R' D2 F' U'
D2 B2 R' F' U' D
D2 B2 R' F' U' D'
D2 B2 R' F' U' D2
D2 B2 R' F' D U'
D2 B2 R' F' D' U'
D2 B2 R' F' D2 U'
D' B2 R' F' U' L2
D2 B2 D R' F' U'
D2 B2 D' R' F' U'
D2 B2 D2 R' F' U'
D2 B2 D2 R' F' U'
D2 B2 F R' F' U'
D2 B2 F' R' F' U'
D2 B2 F2 R' F' U'
L B2 F2 R B U
F2 L R B U2 L' U'
F2 L R' U2 L' F' U'
U2 L R2 F2 R2 B U
F2 L U2 L F L2 U'
F2 L U2 L' U2 B' U
U2 L U2 D' F U' L2
U2 L U2 D2 F B2 U'
U2 L U2 D2 B2 F U'
U2 L U2 F U2 F U
U2 L D' U2 F U' L2
D L D' F2 R B U
R' L F2 R U2 F U'
U2 L D2 U2 F B2 U'
U2 L D2 U2 B2 F U'
D2 L D2 F2 R B U
R2 L F2 R U2 F' U'
R2 L F2 R' B R2 U
L R F2 D B R U
L R F2 D' B R U
R L F2 D B R U
L R F2 D2 B R U
D' L F U L F R
R L F2 D' B R U
L R F2 B R U D
L R F2 B R U D'
L R F2 B R U D2
L R F2 B R D U
L R F2 B R D' U
L R F2 B R D2 U
L R F2 B D R U
L R F2 B D' R U
L R F2 B D2 R U
L R F2 B' R B2 U
R L F2 D2 B R U
R L F2 B R U D
R L F2 B R U D'
R L F2 B R U D2
R L F2 B R D U
R L F2 B R D' U
R L F2 B R D2 U
L R F2 B2 R B' U
R L F2 B D R U
R L F2 B D' R U
R L F2 B D2 R U
R L F2 B' R B2 U
R L F2 B2 R B' U
L2 R B L' F2 R U
L R B R F2 R U
L R B R' F2 R U
R L B R F2 R U
L R B R2 F2 R U
R L B R' F2 R U
R L B R2 F2 R U
L R B F2 R U D
L R B F2 R U D'
L R B F2 R U D2
L R B F2 R D U
L R B F2 R D' U
L R B F2 R D2 U
L R B F2 D R U
L R B F2 D' R U
L R B F2 D2 R U
R L B F2 R U D
R L B F2 R U D'
R L B F2 R U D2
R L B F2 R D U
R L B F2 R D' U
R L B F2 R D2 U
R L B F2 D R U
R L B F2 D' R U
R L B F2 D2 R U
U2 L F' D F' U R2
U2 L F' D2 F' B2 U
U2 L F' D2 B2 F' U
F' L F2 R F B U
F' L F2 R B F U
B' L F2 R B L U
F2 L F2 R F2 B U
F2 L F2 R B F2 U
U2 L F2 R2 B R2 U
L R B' F2 R B2 U
R L B' F2 R B2 U
U2 L F2 U2 D F' U'
U2 L F2 U2 D' F' U'
U2 L F2 U2 D2 F' U'
U2 L F2 U2 F' U' D
U2 L F2 U2 F' U' D'
U2 L F2 U2 F' U' D2
U2 L F2 U2 F' D U'
U2 L F2 U2 F' D' U'
U2 L F2 U2 F' D2 U'
U2 L F2 D U2 F' U'
U2 L F2 D' U2 F' U'
U2 L F2 D2 U2 F' U'
U2 L F2 B U2 F' U'
U' L F2 B' U R' F2
U' L F2 B' U F2 R'
U2 L F2 B' U2 F' U'
U2 L F2 B2 U2 F' U'
L R B2 F2 R B' U
R L B2 F2 R B' U
U2 L B F2 U2 F' U'
U' L B' F2 U R' F2
U' L B' F2 U F2 R'
U2 L B' F2 U2 F' U'
U2 L B2 F2 U2 F' U'
L R' F2 R U2 F U'
U' L' D' L2 B' R' B'
U' L' D' B' R' B' L2
U2 L' D' B' U B' L2
