L' F2 U' L' B2
L' F2 U' B2 L'
B2 L D F2 L' R2
B2 L D F2 R2 L'
R2 L' F2 U' B2 L
U' L' F2 U' L' B2
U' L' F2 U' B2 L'
U2 L' F2 U' L' B2
U2 L' F2 U' B2 L'
U L' F2 U' L' B2
U L' F2 U' B2 L'
B L' F2 U' L' B
B L' F2 U' B L'
B L' F2 U' B L'
L' R2 F2 U' B2 L
F2 R U L' B2 R'
R U' L' F2 U' B2
B2 U L' F2 U' L'
F2 U2 R U L' B2
F2 U2 R U B2 L'
L2 F2 L U' L2 B2
L' F2 R U' L' B2
L2 F2 L U' B2 L2
L' F2 R U' B2 L'
L' F2 R' U' L' B2
L' F2 R' U' B2 L'
L' F2 R2 U' L' B2
L' F2 R2 U' B2 L'
L F2 L2 U' L B2
L' F2 U' L B2 L2
L' F2 U' L' B2 D
L' F2 U' L' B2 D'
L' F2 U' L' B2 D2
L' F2 U' B L' B
L' F2 U' B2 L' D
L' F2 U' B2 L' D'
L' F2 U' B2 L' D2
L' F2 U' B2 D L'
L' F2 U' B2 D' L'
L' F2 U' B2 D2 L'
L' F2 D' R2 U' L'
L' F2 B U' L' B
L' F2 B U' B L'
L' F2 B' U' B' L'
L' B F2 U' L' B
L' B F2 U' B L'
L' B' F2 U' B' L'
R2 B2 L D R2 F2
R2 B2 L D F2 R2
L B2 D F2 L' R2
L B2 D F2 R2 L'
L2 R U' L F2 U' B2
L R U' L2 F2 U' B2
R L U' L2 F2 U' B2
L' R U' F2 U' F2 B2
L' R U' F2 U' B2 F2
L2 R U' F2 L U' B2
L' R U' B2 D L2 R2
L' R U' B2 D R2 L2
L R U' F2 L2 U' B2
B2 L R2 D R2 F2 L'
R L U' F2 L2 U' B2
B2 L U L2 F2 U' L'
L R U2 B2 D R2 F2
L R U2 B2 D F2 R2
R L U2 B2 D R2 F2
R L U2 B2 D F2 R2
B2 L U F2 L2 U' L
F2 L U2 R U L2 B2
F2 L U2 R U B2 L2
B2 L D L F2 L' R2
B2 L D L F2 R2 L'
B2 L D L' F2 L' R2
B2 L D L' F2 R2 L'
B2 L D L2 F2 L' R2
B2 L D L2 F2 R2 L'
B2 L D F R2 F L'
B' L D F2 L' R2 B'
B' L D F2 L' B' R2
B' L D F2 R2 L' B'
D' L D F2 B2 L' R'
D' L D F2 B2 R' L'
B2 L D F2 L' R2 D
B2 L D F2 L' R2 D'
B2 L D F2 L' R2 D2
B2 L D F2 R2 L' D
B2 L D F2 R2 L' D'
B2 L D F2 R2 L' D2
B2 L D F2 R2 D L'
B2 L D F2 R2 D' L'
B2 L D F2 R2 D2 L'
B L D F2 L' B R2
B L D F2 B L' R2
B L D F2 B R2 L'
D' L D B2 F2 L' R'
D' L D B2 F2 R' L'
B L D B F2 L' R2
B L D B F2 R2 L'
F2 L D' R2 B2 L U'
L' R F2 R U' B2 L
R2 L F2 L2 U' B2 L
L' R F2 U' B2 D L2
B' L F2 L2 U' L B'
U2 L F2 L2 U' L B2
U' L F2 L2 U' L B2
B L F2 L2 U' L B
U L F2 L2 U' L B2
R2 L B2 D L R2 F2
R2 L B2 D L F2 R2
R2 L B2 D R2 L F2
R2 L B2 D R2 F2 L
R2 L B2 D F2 L R2
R2 L B2 D F2 R2 L
B L B D F2 L' R2
B L B D F2 R2 L'
R L' U' F2 U' F2 B2
R L' U' F2 U' B2 F2
R2 L' U' B2 L D R2
R2 L' U' B2 D L R2
R2 L' U' B2 D R2 L
R L' U' B2 D L2 R2
R L' U' B2 D R2 L2
U' L B2 D F2 L' R2
U' L B2 D F2 R2 L'
U2 L B2 D F2 L' R2
U2 L B2 D F2 R2 L'
U L B2 D F2 L' R2
U L B2 D F2 R2 L'
D' L' R2 U L' R' U2
D' L' R2 U R' L' U2
U' L' R2 F2 U' B2 L
U2 L' R2 F2 U' B2 L
U L' R2 F2 U' B2 L
F2 L' U' R U R' B2
F2 L' U2 R U B2 L
R' L' F2 R' U' B2 L
L' R' F2 R' U' B2 L
R' L' F2 U R2 U2 B2
L' R' F2 U R2 U2 B2
R' L' F2 U' B2 D2 L2
L' R' F2 U' B2 D2 L2
R L' F2 R U' B2 L
R2 L' F2 U R' U2 B2
R2 L' F2 U' L B2 L
R2 L' F2 U' L' B2 L
R2 L' F2 U' L2 B2 L
R2 L' F2 U' B2 L D
R2 L' F2 U' B2 L D'
R2 L' F2 U' B2 L D2
R2 L' F2 U' B2 D L
R2 L' F2 U' B2 D' L
R2 L' F2 U' B2 D2 L
R L' F2 U' B2 D L2
R2 L' F2 B' U' B' L
D L' D' F2 R U' L'
D2 L' D2 F2 U' L' B2
D2 L' D2 F2 U' B2 L'
R2 L' B' F2 U' B' L
U' L' F2 R U' L' B2
U' L' F2 R U' B2 L'
D' L' F2 R2 U' L' R'
D' L' F2 R2 U' R' L'
U' L' F2 R' U' L' B2
U' L' F2 R' U' B2 L'
U2 L' F2 R U' L' B2
U2 L' F2 R U' B2 L'
U' L' F2 R2 U' L' B2
R L2 U' L F2 U' B2
U' L' F2 R2 U' B2 L'
U2 L' F2 R' U' L' B2
U2 L' F2 R' U' B2 L'
D L' F2 R U' L' R
D L' F2 R U' R L'
B' L' F2 U' L B' L2
U2 L' F2 R2 U' L' B2
U2 L' F2 R2 U' B2 L'
U' L' F2 U' L B2 L2
U' L' F2 U' L' B2 D
U' L' F2 U' L' B2 D'
U' L' F2 U' L' B2 D2
U' L' F2 U' B L' B
U' L' F2 U' B2 L' D
U' L' F2 U' B2 L' D'
U' L' F2 U' B2 L' D2
U' L' F2 U' B2 D L'
U' L' F2 U' B2 D' L'
U' L' F2 U' B2 D2 L'
U2 L' F2 U' L B2 L2
U2 L' F2 U' L' B2 D
U2 L' F2 U' L' B2 D'
U2 L' F2 U' L' B2 D2
U2 L' F2 U' B L' B
U2 L' F2 U' B2 L' D
U2 L' F2 U' B2 L' D'
U2 L' F2 U' B2 L' D2
U2 L' F2 U' B2 D L'
U2 L' F2 U' B2 D' L'
U2 L' F2 U' B2 D2 L'
U L' F2 R U' L' B2
U L' F2 R U' B2 L'
B L' F2 U' L B L2
U' L' F2 D' R2 U' L'
B L' F2 U' L' D B
B L' F2 U' L' D' B
B L' F2 U' L' D2 B
B L' F2 U' L' B D
B L' F2 U' L' B D'
B L' F2 U' L' B D2
U L' F2 R' U' L' B2
L' R2 U' B2 L D R2
U L' F2 R' U' B2 L'
B L' F2 U' D L' B
B L' F2 U' D B L'
B L' F2 U' D' L' B
B L' F2 U' D' B L'
B L' F2 U' D2 L' B
B L' F2 U' D2 B L'
B L' F2 U' B L' D
B L' F2 U' B L' D'
B L' F2 U' B L' D2
B L' F2 U' B L' D
B L' F2 U' B L' D'
B L' F2 U' B L' D2
L' R2 U' B2 D L R2
B L' F2 U' B D L'
L' R2 U' B2 D R2 L
B L' F2 U' B D' L'
B L' F2 U' B D2 L'
B L' F2 U' B' L' B2
U L' F2 R2 U' L' B2
U L' F2 R2 U' B2 L'
U2 L' F2 D' R2 U' L'
U' L' F2 B U' L' B
U' L' F2 B U' B L'
B L' F2 D U' L' B
B L' F2 D U' B L'
U L' F2 U' L B2 L2
U L' F2 U' L' B2 D
U L' F2 U' L' B2 D'
U L' F2 U' L' B2 D2
U' L' F2 B' U' B' L'
B L' F2 D' U' L' B
B L' F2 D' U' B L'
U2 L' F2 B U' L' B
U2 L' F2 B U' B L'
U L' F2 U' B L' B
U L' F2 U' B2 L' D
U L' F2 U' B2 L' D'
U L' F2 U' B2 L' D2
B2 L' F2 B U' B' L'
U L' F2 U' B2 D L'
U L' F2 U' B2 D' L'
U L' F2 U' B2 D2 L'
B L' F2 D2 U' L' B
B L' F2 D2 U' B L'
U2 L' F2 B' U' B' L'
B2 L' F2 B' U' L' B
B2 L' F2 B' U' B L'
R L2 U' F2 L U' B2
B2 L' F2 B2 U' L' B2
B2 L' F2 B2 U' B2 L'
B L' F2 B' U' L' B2
B L' F2 B' U' B2 L'
U L' F2 D' R2 U' L'
B L' F2 B2 U' B' L'
U L' F2 B U' L' B
U L' F2 B U' B L'
U L' F2 B' U' B' L'
U' L' B F2 U' L' B
U' L' B F2 U' B L'
U2 L' B F2 U' L' B
B2 L' B F2 U' B' L'
U2 L' B F2 U' B L'
U L' B F2 U' L' B
U L' B F2 U' B L'
U' L' B' F2 U' B' L'
B2 L' B' F2 U' L' B
B2 L' B' F2 U' B L'
U2 L' B' F2 U' B' L'
B L' B' F2 U' L' B2
B L' B' F2 U' B2 L'
U L' B' F2 U' B' L'
F2 L' B2 U' R U R'
D' L2 R U' L R U'
D' L2 R U' R L U'
B2 L' B2 F2 U' L' B2
B2 L' B2 F2 U' B2 L'
B L' B2 F2 U' B' L'
B2 L2 U L F2 U' L'
L2 R2 F2 L U' B2 L
R2 L2 F2 L U' B2 L
L' R2 F2 U R' U2 B2
L' R2 F2 U' L B2 L
L' R2 F2 U' L' B2 L
L' R2 F2 U' L2 B2 L
B2 L2 U F2 L U' L2
L' R2 F2 U' B2 L D
L' R2 F2 U' B2 L D'
L' R2 F2 U' B2 L D2
L' R2 F2 U' B2 D L
L' R2 F2 U' B2 D' L
L' R2 F2 U' B2 D2 L
L R2 F2 L2 U' B2 L
L' R2 F2 B' U' B' L
F2 L2 U2 R U L B2
L' R2 B' F2 U' B' L
L R2 B2 D L R2 F2
L R2 B2 D L F2 R2
L R2 B2 D R2 L F2
L R2 B2 D R2 F2 L
L R2 B2 D F2 L R2
L R2 B2 D F2 R2 L
L2 U L F2 U' L' B2
L2 U L F2 U' B2 L'
R2 U L' F2 U' B2 L
L' U R U' F2 U' B2
L U L2 F2 U' L' B2
L U L2 F2 U' B2 L'
L' U R U2 B2 D R2
U' L2 F2 L U' L2 B2
U' L2 F2 L U' B2 L2
U2 L2 F2 L U' L2 B2
U2 L2 F2 L U' B2 L2
B L2 F2 L U' L2 B
B L2 F2 L U' B L2
U L2 F2 L U' L2 B2
U L2 F2 L U' B2 L2
D' R L2 U' L R U'
D' R L2 U' R L U'
F2 R U L' R B2 R'
F2 R U L' R' B2 R'
F2 R U L' R2 B2 R'
F2 R U L' B2 R' D
F2 R U L' B2 R' D'
F2 R U L' B2 R' D2
F2 R U L' B2 D R'
F2 R U L' B2 D' R'
F2 R U L' B2 D2 R'
F2 R U R L' B2 R'
F2 R U R' L' B2 R'
F2 R U R2 L' B2 R'
L2 U F2 L U' L2 B2
L2 U F2 L U' B2 L2
U' R U' L' F2 U' B2
L U F2 L2 U' L B2
F2 R U' L' B2 D2 F2
U2 R U' L' F2 U' B2
U R U' L' F2 U' B2
F2 R U' B2 L' D2 F2
F2 R U' B2 D2 L' F2
R2 U B2 L D R2 F2
R2 U B2 L D F2 R2
