B2 R' F' U B' U
D2 L R F2 D B R'
L R D B R' D F2
L R D B D R' F2
L R D B D F2 R'
R L D B R' D F2
R L D B D R' F2
R L D B D F2 R'
D' L U' B L R2 U
D2 L U' B L U F2
D' L U' B R2 L U
L R D2 F2 D' B R'
R L D2 F2 D' B R'
L R B D' R2 F' R
R L B D' R2 F' R
D2 L F2 R D B R'
D2 L F2 U' B L U
B2 L' R' D F' U2 R
B2 L' D R' F' U2 R
U2 L' B U B2 L2 F
U2 L' B' L2 D' R2 F
U2 L' B' L2 D' F R2
U2 L' B' L2 F D' R2
B2 L2 R' F' U' F2 U'
B2 L2 R' F' U2 D R2
B2 L2 R' F' D U2 R2
B2 L2 R' F' D' L2 U2
D2 R L F2 D B R'
R' U F' L' B2 U2 L2
R' U F' B2 L' R' U2
R' U F' B2 R' L' U2
D R D L F2 B R'
D R D L B R' F2
D R D L B F2 R'
D R D F2 L B R'
R' U B2 F' L' R' U2
R' U B2 F' R' L' U2
D2 R F2 L D B R'
D2 R F2 D L B R'
L U' D' B L R2 U
L U' D' B R2 L U
B2 R' L' D F' U2 R
L U' D2 B L U F2
B2 R' L2 F' U' F2 U'
B2 R' L2 F' U2 D R2
B2 R' L2 F' D U2 R2
B2 R' L2 F' D' L2 U2
B2 R' U B' U' F' U2
L U' B L R2 U F'
L U' B L U' B U2
L U' B R2 L U F'
B2 R' U2 R2 B D' R2
B2 R' U2 B D' R2 B
B2 R' D F' U B' U
B2 R' D' F' U B' U
B2 R' D2 F' U B' U
B2 R' F' L2 U' F U'
B2 R' F' U D B' U
B2 R' F' U D' B' U
B2 R' F' U D2 B' U
B2 R' F' U B' U D
B2 R' F' U B' U D'
B2 R' F' U B' U D2
B2 R' F' U B' D U
B2 R' F' U B' D' U
B2 R' F' U B' D2 U
B2 R' F' D U B' U
B2 R' F' D' U B' U
B2 R' F' D2 U B' U
R D L2 U' L' B R'
R D L2 U' B L' R'
R D L2 U' B R' L'
L D R D F2 B R'
L D R D B R' F2
L D R D B F2 R'
B2 U B' U L' B' L
L D' U' B L R2 U
L D' U' B R2 L U
R D2 L F2 B D' R2
R D2 L B F2 D' R2
L D2 R F2 D B R'
B U' B R' U L U
L D2 U' B L U F2
R2 D2 F' U' L F' B'
R2 D2 F' U' L B' F'
R2 D2 F' U' F' L B'
R D2 F2 L B D' R2
L D2 F2 R D B R'
L D2 F2 U' B L U
R D2 F2 D' L B R'
B2 D R' F' U B' U
B' D B' L2 R' F' U2
B' D B' R' L2 F' U2
B' D B' R' F' L2 U2
R2 F' U B2 R' U2 B
R2 F' U' D2 L F2 B'
R2 F' U' D2 L B' F2
R2 F' U' D2 F2 L B'
B2 D' R' F' U B' U
R2 F' D2 U' L F2 B'
R2 F' D2 U' L B' F2
R2 F' D2 U' F2 L B'
R' F' B2 R' U' F' U'
D2 F2 L R D B R'
D2 F2 L U' B L U
D2 F2 R L D B R'
D2 F2 R D L B R'
B' D' B' R' F' U2 R'
B2 D2 R' F' U B' U
U' B L U' B R' U2
U B U' B R' F' U2
B2 F R' F' U B' U
B2 F' R' F' U B' U
U' B2 R' U B' L U
R2 B2 R' U2 D B R'
R2 B2 R' D U2 B R'
R B2 R' U B U B2
R B2 R' U2 B' D' R2
F' B2 R' F' U B' U
B2 F2 R' F' U B' U
L2 B2 U B' U L' B'
F2 B2 R' F' U B' U
F B2 R' F' U B' U
R' B2 F' R' U' F' U'
