R F' U F2 R B
F R U R U' B L
F R U' L' F' U B'
F R U' F' L' U B'
F' R F' U F' R B
F R B U' L F' U
F R B U' F' L U
B' R' F' B U' F2 R
B' R' F2 B U' F' R
B' R' B F' U' F2 R
B' R' B F2 U' F' R
R D F' U F2 R B
B' U R' B U' F R
F U R' B U' R2 B
F U R2 U' R' B L
R D' F' U F2 R B
B' U' R' F' B U' F2
B' U' R' B F' U' F2
R D2 F' U F2 R B
D' F L' B' R D B2
D' F R B L' D' B2
D' F B L' R D' B2
D' F B L' D' R B2
D' F B L' D' B2 R
D' F B R L' D' B2
D' F B' L' R D B2
R' F B' R D L2 B2
R' F B' R D B2 L2
D' F B' R L' D B2
D' F B' R D L' B2
D' F B' R D B2 L'
D F B' L R D B2
D F B' R L D B2
D F B' R D L B2
B2 D F L R B' L
B2 D F L B' L R
B2 D F L B' R L
B2 D F R L B' L
B2 D F R B' L B'
B2 D F B' L R B'
B2 D F B' L B' R
B2 D F B' R L B'
R F' R U F2 R B
R F' R' U F2 R B
D' F' U F2 L' R B
D' F' U F2 R L' B
D' F' U F2 R B L'
B2 D B' F L R B'
B2 D B' F L B' R
B2 D B' F R L B'
F D B' L R D B2
R F' R2 U F2 R B
F D B' R L D B2
F D B' R D L B2
D' F' U' F2 L' R B'
D' F' U' F2 L' B' R
D' F' U' F2 R L' B'
R F' U R F2 B R
R F' U R B F2 R
R F' U F2 R D B
R F' U F2 R D' B
R F' U F2 R D2 B
R F' U F2 R B D
R F' U F2 R B D'
R F' U F2 R B D2
R F' U F2 D R B
R F' U F2 D' R B
R F' U F2 D2 R B
R F' U F2 B R B
R F' U F2 B' R B
R F' U F2 B2 R B
R F' U B F2 R B
R F' U B' F2 R B
R F' U B2 F2 R B
R F' U' L' U2 F2 B'
R F' U' L' U2 B' F2
B2 D' R' F L' B R
B2 D' R' F B L' R
B2 D' R' F B R L'
B2 D' R' B F L' R
B2 D' R' B F R L'
B2 D' R2 F L' R B
B2 D' R2 F R L' B
B2 D' R2 F R B L'
B' D' F L' R D B2
B' D' F R L' D B2
B' D' F R D L' B2
B' D' F R D B2 L'
B2 D' F L' R' B R2
B2 D' F R' L' B R2
B2 D' F R' B L' R2
B2 D' F R' B R2 L'
B D' F L' R D' B2
B D' F L' D' R B2
B D' F L' D' B2 R
B D' F R L' D' B2
R2 F2 U F' L' R B
R2 F2 U F' R L' B
R2 F2 U F' R B L'
B' F R U R2 B U'
D' B F L' R D' B2
D' B F L' D' R B2
B F R U' L F' U
D' B F L' D' B2 R
B F R U' F' L U
D' B F R L' D' B2
F B R U' L F' U
F B R U' F' L U
B' F U R' B U' R2
B2 F D L R B' L
B2 F D L B' L R
B2 F D L B' R L
B2 F D R L B' L
B2 F D R B' L B'
B2 F D B' L R B'
B2 F D B' L B' R
B2 F D B' R L B'
L2 B' U' R' F' B U'
L2 B' U' R' B F' U'
B' F' R' B U' F2 R
F' B' R' B U' F2 R
F B' R U R2 B U'
R' B' F R D L2 B2
R' B' F R D B2 L2
D' B' F L' R D B2
D' B' F R L' D B2
D' B' F R D L' B2
D' B' F R D B2 L'
F B' U R' B U' R2
D B' F L R D B2
D B' F R L D B2
D B' F R D L B2
F B2 D L R B' L
F B2 D L B' L R
F B2 D L B' R L
F B2 D R L B' L
F B2 D R B' L B'
F B2 D B' L R B'
F B2 D B' L B' R
F B2 D B' R L B'
