B' L' D F' U2 L2
B' L' D' R2 U2 B
B' L' D' F' R2 U2
B' L' F' U' B2 U'
B' L' F' U2 D L2
B' L' F' D U2 L2
B' L' F' D' R2 U2
B U L' F' B2 U2
B U L' B2 F' U2
B U B2 L' F' U2
B' D' L' R2 U2 B
B' D' L' F' R2 U2
B' D' R2 L' U2 B
B L U L2 F' B2 U2
B L U L2 B2 F' U2
B L U F' L2 B2 U2
B L U F' B2 L2 U2
B L U B2 L2 F' U2
B L U B2 F' L2 U2
B L U' D2 R2 F2 B
B L U' D2 R2 B F2
B L D F2 L2 U' B'
B L D2 U' R2 F2 B
B L D2 U' R2 B F2
B' L F' L2 U' B2 U'
B' L F' L2 U2 D L2
B' L F' L2 D U2 L2
B' L F' L2 D' R2 U2
B' L' R2 U' B2 U' B'
B' L' R2 U2 D L2 B
B' L' R2 U2 D B L2
B' L' R2 D U2 L2 B
B' L' R2 D U2 B L2
B' L' R2 D' R2 F' U2
B' L' U' R2 B2 U' B'
B' L' U' B2 R2 U' B
B' L' U' B2 U F' U2
B' L' D R2 U2 L2 B
B' L' D R2 U2 B L2
B' L' D F' R U2 L2
B' L' D F' R' U2 L2
B' L' D F' R2 U2 L2
B' L' D F' U2 L2 D
B' L' D F' U2 L2 D'
B' L' D F' U2 L2 D2
B' L' D F' D2 R2 U2
B' L' D F2 U2 L2 B'
B2 L' D F' B R U2
B2 L' D B F' R U2
B' L' D' R2 U2 D B
B' L' D' R2 U2 D' B
B' L' D' R2 U2 D2 B
B' L' D' R2 U2 B D
B' L' D' R2 U2 B D'
B' L' D' R2 U2 B D2
B' L' D' R2 D U2 B
B' L' D' R2 D' U2 B
B' L' D' R2 D2 U2 B
B' L' D' R2 F U2 B
B' L' D' R2 F' U2 B
B' L' D' R2 F2 U2 B
B' L' D' F R2 F2 U2
B' L' D' F' R2 U2 D
B' L' D' F' R2 U2 D'
B' L' D' F' R2 U2 D2
B' L' D' F' R2 D U2
B' L' D' F' R2 D' U2
B' L' D' F' R2 D2 U2
B' L' D' F' U2 D2 L2
B' L' D' F' D2 U2 L2
B' L' D' F2 R2 F U2
B2 L' D' F' B R' U2
B2 L' D' B F' R' U2
B' L' D2 F' U F' U
B' L' F' R U' B2 U'
B' L' F' R U2 D L2
B' L' F' R D U2 L2
B' L' F' R D' R2 U2
B' L' F' R' U' B2 U'
B' L' F' R' U2 D L2
B' L' F' R' D U2 L2
B' L' F' R' D' R2 U2
B' L' F' R2 U' B2 U'
B' L' F' R2 U2 D L2
B' L' F' R2 D U2 L2
B' L' F' R2 D' R2 U2
B' L' F' U D2 F2 U
B' L' F' U' B2 U' D
B' L' F' U' B2 U' D'
B' L' F' U' B2 U' D2
B' L' F' U' B2 D U'
B' L' F' U' B2 D' U'
B' L' F' U' B2 D2 U'
B' L' F' U2 L D L2
B' L' F' U2 L' D L2
B' L' F' U2 L2 D L2
B' L' F' U2 D L2 D
B' L' F' U2 D L2 D'
B' L' F' U2 D L2 D2
B' L' F' D R U2 L2
B' L' F' D R' U2 L2
B' L' F' D R2 U2 L2
B' L' F' D U2 L2 D
B' L' F' D U2 L2 D'
B' L' F' D U2 L2 D2
B' L' F' D' R2 U2 D
B' L' F' D' R2 U2 D'
B' L' F' D' R2 U2 D2
B' L' F' D' R2 D U2
B' L' F' D' R2 D' U2
B' L' F' D' R2 D2 U2
B' L' F' D2 U F2 U
B2 L' F' D' B R' U2
B L' F' B2 U' B2 U'
B L' F' B2 U2 D L2
B L' F' B2 D U2 L2
B L' F' B2 D' R2 U2
B' L' F2 U2 D L2 B'
B' L' F2 D U2 L2 B'
B' L' F2 D F U2 L2
B' L' F2 D' R2 F U2
B' L' F2 D' F R2 U2
B2 L' B D F' R U2
B L' B2 D F' U2 L2
B L' B2 D' R2 U2 B
B L' B2 D' F' R2 U2
B L' B2 F' U' B2 U'
B L' B2 F' U2 D L2
B L' B2 F' D U2 L2
B L' B2 F' D' R2 U2
F2 L2 R D F B' L
F2 L2 R D B' F L
F2 L2 R D' F B' L'
F2 L2 R D' B' F L'
F2 L2 R F D B' L
F2 L2 R B' D' F L'
B L2 U L F' B2 U2
B L2 U L B2 F' U2
B L2 U F' L B2 U2
B L2 U F' B2 U2 R'
B L2 U B2 F' U2 R'
B' L2 D L F' U2 L
B' L2 D F' L U2 L
B' L2 D' L R2 U2 B
B' L2 D' L F' R2 U2
B' L2 D' R2 L U2 B
B' L2 D' F' L R2 U2
B' L2 D' F' R2 L U2
B' L2 F' L U' B2 U'
B' L2 F' L U2 D L2
B' L2 F' L D U2 L2
B' L2 F' L D' R2 U2
