F' L' D' B U' R' B2
F' L2 F L B U' B2
U' R' B' U F' L' B'
L2 U2 F B L U' B'
L2 U2 B F L U' B'
B2 R2 F' B' L' U' B'
U2 R2 F' B' R' U B
B2 R2 B' F' L' U' B'
U2 R2 B' F' R' U B
L' D' B U' R' F' B2
L' D' B U' R' B2 F'
L' F' B L' F U' B2
B D' F' L' U' R2 B'
B D' F' L' U' B' R2
B D2 F' L' F' U' B'
F' B L' U' D' R2 B'
F' B L' U' D' B' R2
F' B L' U2 B2 U B
F' B L' D' U' R2 B'
F' B L' D' U' B' R2
F' B L' D2 F2 U' B'
L' B F' L' F U' B2
B F U2 R B2 U B'
F B U2 R B2 U B'
F' B D' L' U' R2 B'
F' B D' L' U' B' R2
B F U2 B2 R U B
F B U2 B2 R U B
F' B D2 L' F2 U' B'
B F D2 F2 L' U' B'
F B D2 F2 L' U' B'
B F' L' U' D' R2 B'
B F' L' U' D' B' R2
B F' L' U2 B2 U B
B F' L' D' U' R2 B'
B F' L' D' U' B' R2
B F' L' D2 F2 U' B'
U B' U2 R' B2 U' F'
B F' D' L' U' R2 B'
B F' D' L' U' B' R2
B F' D2 L' F2 U' B'
