U F L B' U B'
F' L U F2 B' U B'
F2 L U F' B' U B'
F' L U B' F2 U B'
F2 L U B' F' U B'
F L B' R2 U F' B'
F L B' R2 U B' F'
F L B' U B' D2 F2
F L B' U' B U2 B2
U L B' U D' B' L
U L B' D' U B' L
F L' U2 F U' F' B2
F L' U2 F U' B2 F'
U2 L' F U' F' L' B2
U2 L' F U' F' B2 L'
U2 L' F U' B2 F' L'
U2 L2 U B' U' R' B'
U L2 U2 B' U' B' R'
B L2 B' U' F R B2
B L2 B' U' F B2 R
B L2 B' U' B2 F R
R' U F L B' U B'
R2 U F L B' U B'
R U F L B' U B'
L U B' U D' B' L
L U B' D' U B' L
L' U' F R2 U' B2 L
L' U' F U R U2 B2
L2 U' F B' U' R B'
L2 U' F B' U' B' R
L2 U' B' F U' R B'
L2 U' B' F U' B' R
D2 R' F2 U F' B U
D2 R' F2 U B F' U
F' U L F2 B' U B'
F' U L B' F2 U B'
F2 U L F' B' U B'
F2 U L B' F' U B'
F U L B' U B' L'
F2 U D L2 F' U R
F2 U D F' L2 U R
D U F L2 U' L U2
D U F L2 B2 U R'
U D F L2 U' L U2
U D F L2 B2 U R'
F2 U F' L B' U B'
F' U F2 L B' U B'
U' D' F2 R2 B U' R'
D' U' F2 R2 B U' R'
F2 U' D' R2 B U' R'
F U2 L' F U' F' B2
F U2 L' F U' B2 F'
L' D2 F2 U' F' U' L'
U2 F L B' U F' B'
U2 F L B' U B' F'
U F L D B' L2 U
D F L' U L' U L
U F L B' U D B'
U F L B' U D' B'
U F L B' U D2 B'
U F L B' U B' D
U F L B' U B' D'
U F L B' U B' D2
U F L B' D U B'
U F L B' D' U B'
U F L B' D2 U B'
U F L' U2 F U' B2
U F L' D L2 B' U
U F L2 U B' R' B'
U F L2 B' U B' R'
F' U2 B D' L2 B R'
F' U2 B D' B L2 R'
F' U2 B D' B R' L2
U2 F U B2 D F' R
U F U B D' B R'
U2 F D L2 U F' R
U F B L B' U B2
F2 D U L2 F' U R
U F B U D' B R'
F2 D U F' L2 U R
U F B D' U B R'
U F B2 L B' U B
U F' L F2 B' U B'
U F' L B' F2 U B'
B2 D F' D R F2 L'
D2 F' D R2 U2 B R'
D F' U2 R D' L2 B2
D F' U2 R D' B2 L2
D F' U2 D' L2 R B2
D F' U2 D' L2 B2 R
D F' U2 D' R L2 B2
D F' U2 D' R B2 L2
D F' U2 D' B2 L2 R
D F' U2 D' B2 R L2
D2 F' D' F' U2 L2 R
D2 F' D' F' U2 R L2
D F' D R2 F2 U2 R'
D F' D F2 L' R2 U2
D F' D F2 R2 L' U2
D F' D' U2 L2 R B2
D F' D' U2 L2 B2 R
D F' D' U2 R L2 B2
D F' D' U2 R B2 L2
D F' D' U2 B2 L2 R
D F' D' U2 B2 R L2
F2 D' U' R2 B U' R'
U F2 L F' B' U B'
U F2 L B' F' U B'
D2 F2 U D' F' U R
D' F2 U' R2 B U' R'
L' F2 U' F' U' L' B2
L' F2 U' F' U' B2 L'
U' F2 D' R2 B U' R'
D2 F2 D' U F' U R
U F2 D L2 F' U R
U F2 D F' L2 U R
B2 D2 F' D' L2 F' R
B2 D2 F' D' F' L2 R
B2 D2 F' D' F' R L2
U B D' F U B R'
U B F L B' U B2
U B F U D' B R'
U B F D' U B R'
F' B D' L2 F B R'
F' B D' L2 B R' F
F' B D' L2 B F R'
L2 B' U B L U2 B2
L2 B' U B U2 B2 R'
B F' D' L2 F B R'
B F' D' L2 B R' F
B F' D' L2 B F R'
U2 B2 L2 U B' U' R'
U B2 F L B' U B
