D B R' U2 R U
D L B R' U2 R U
D2 L B U' B2 D2 F2
D2 L' B U F U2 F'
D L' B R' U2 R U
U L' B2 R' B D L2
D L2 B R' U2 R U
B R U F' U R' U
U' R D' F' R U2 R2
U R D' F' R U2 F
U R F' U2 D' F L'
U R F' D' U2 F L'
D R B R' B L U'
B' R B2 L R2 U' B
B' R B2 L U F' U2
B' R B2 R2 L U' B
R' U' F2 B L D F2
R' U' B L U' R U
R' U' B U' R U L
R' U' B F2 L D F2
B R' U' B U' R U
R2 U2 L' F' R2 U B'
F2 R' F2 L' U' B L
B R' F2 L' F2 U' B
B2 R' B' U2 R U B2
B' R' B2 U2 R U B'
R' U2 F' U B L F
R2 U2 F' L' R2 U B'
R2 U2 F' R2 L' U B'
U' R2 U F' L' U R2
B R2 U2 L' R2 U B'
B R2 U2 R2 L' U B'
B R2 D' R U' F2 B
B R2 D' R U' B F2
B R2 D2 L2 R U' B
B R2 D2 R L2 U' B
L' D B R' U2 R U
B U R F' R' U2 F
L2 D B R' U2 R U
L D B R' U2 R U
U2 D B R' U2 B' U
R2 D' R U' F2 B L
R2 D' R U' B L F2
R2 D' R U' B F2 L
R2 D2 L2 R U' B L
R2 D2 R L2 U' B L
B U2 R U' F' U2 F
F' U2 R' F U' B L
F2 U2 R' F2 U' B L
D U2 B R' U2 B' U
F' U2 D F B R' U'
F' U2 D B R' F U'
F' U2 D B F R' U'
F2 U2 D B R' U' R'
F U2 D F' B R' U'
D' F L' U2 F' B U'
D' F L' U2 B F' U'
F U2 D B F' R' U'
F U2 D' F' B R U'
F' U2 F R' U' B L
F U2 D' B F' R U'
F' U2 F D B R' U'
F' U2 F B R' U' B
F2 U2 F2 R' U' B L
F U2 F' R' U' B L
F2 U2 F2 D B R' U'
F U2 F' D B R' U'
F2 U2 F2 B R' U' B
F U2 F' B R' U' B
F' U2 B R' F U' B
F2 U2 B R' F2 U' B
F' U2 B F R' U' B
F2 U2 B F2 R' U' B
F U2 B D' F' R U'
F U2 B F' R' U' B
D F U2 F' B R' U'
D F U2 B F' R' U'
F' D U2 F B R' U'
F' D U2 B R' F U'
F' D U2 B F R' U'
F2 D U2 B R' U' R'
F D U2 F' B R' U'
F D U2 B F' R' U'
D' F' U2 B R F U'
D F' U2 F B R' U'
D F' U2 B R' F U'
D F' U2 B F R' U'
R' F2 L' F2 U' B L
F D' U2 F' B R U'
F D' U2 B F' R U'
B D2 L' U F U2 F'
D F2 U2 F2 B R' U'
D F2 U2 B R' F2 U'
D F2 U2 B F2 R' U'
D F2 B R' F2 L' U'
D2 B L' U F U2 F'
D B L R' U2 R U
D B L' R' U2 R U
D B L2 R' U2 R U
U2 B R' U' B D' R2
U2 B R' U2 B' U B2
D B R' L U2 R U
D B R' L' U2 R U
D B R' L2 U2 R U
D B R' U2 R U D
D B R' U2 R U D'
D B R' U2 R U D2
D B R' U2 R D U
D B R' U2 R D' U
D B R' U2 R D2 U
D B R' U2 D R U
D B R' U2 D' R U
D B R' U2 D2 R U
D B R' D U2 R U
D B R' D' U2 R U
D B R' D2 U2 R U
D B R' F2 L' F2 U'
D B R2 D' R U' F2
D B R2 D2 L2 R U'
D B R2 D2 R L2 U'
R B R2 U' B L F
U2 B U' R' B D' R2
U2 B U2 D B' L U
U2 B D U2 B' L U
D B D R' U2 R U
D B D' R' U2 R U
D B D2 R' U2 R U
F2 B R' F2 L' U' B
D B F2 R' F2 L' U'
D2 B' R B2 L U' B'
D B' R B2 L R' U'
D B' R B2 R' L U'
U2 B' R' B2 U' B' R'
R B2 L R2 U' B L
R B2 R2 L U' B L
B F2 R' F2 L' U' B
