D' L F2 L R
D' L F2 R L
D' L2 F2 D2 R2
D R2 B2 U2 B2
L' D' L2 F2 R
L D' F2 L2 R
L D' F2 R L2
D' F2 L2 D2 R2
D B2 R2 U2 B2
D' L R F2 L R
D' L R F2 R L
D' L R' F2 L R
D' L R' F2 R L
D' L R2 F2 L R
D' L R2 F2 R L
D L D2 F2 L2 R
D L D2 F2 R L2
D' L F' L F' R
D' L F2 L R D
D' L F2 L R D'
D' L F2 L R D2
D' L F2 L D R
D' L F2 L D' R
D' L F2 L D2 R
D' L F2 R L D
D' L F2 R L D'
D' L F2 R L D2
D' L F2 R D L
D' L F2 R D' L
D' L F2 R D' L
D' L F2 R D2 L
D' L F2 D L R
D' L F2 D L R
D' L F2 D R L
D' L F2 D' L R
D' L F2 D' R L
D' L F2 D2 L R
D' L F2 D2 R L
D L' D2 L2 F2 R
D' L2 R F2 D2 R2
D' L2 R' F2 D2 R2
D' L2 R2 F2 D2 R2
D' L2 U2 L2 U2 F2
D' L2 D2 R2 D2 F2
D L2 D2 L2 R2 F2
D L2 D2 L2 F2 R2
D L2 D2 R2 L2 F2
D L2 D2 R2 F2 L2
D L2 D2 F2 L2 R2
D L2 D2 F2 R2 L2
D' L2 F D2 R2 F
D' L2 F D2 F R2
D' L2 F' D2 F' R2
D' L2 F2 R D2 R2
D' L2 F2 R' D2 R2
D' L2 F2 R2 D2 R2
D' L2 F2 U2 L2 U2
R' U R' F2 L' U
D' L2 F2 D2 R2 D
D' L2 F2 D2 R2 D'
D' L2 F2 D2 R2 D2
D' R L F2 L R
D' R L F2 R L
D' R L2 F2 D2 R2
D' R F2 L2 D2 R2
L U' R2 F2 U R
D R B2 R U2 B2
D' R' L F2 L R
D' R' L F2 R L
D' R' L2 F2 D2 R2
L U' F2 R2 U R'
D' R' F2 L2 D2 R2
U R' F2 L' R' U
U R' F2 R' L' U
D R' B2 U2 L B2
D' R2 L F2 L R
D' R2 L F2 R L
D' R2 L2 F2 D2 R2
D R2 F B2 U2 B2
D' R2 F2 L2 D2 R2
U' R2 F2 U D R2
U' R2 F2 U2 F2 U'
U' R2 F2 D U R2
U' R2 F2 D2 B2 U
D R2 F' B2 U2 B2
U R2 F2 U D B2
U R2 F2 U2 R2 U'
U R2 F2 D U B2
U R2 F2 D2 L2 U
D R2 F2 B2 U2 B2
D R2 B2 U2 B2 D
D R2 B2 U2 B2 D'
D R2 B2 U2 B2 D2
D R2 B2 D2 F2 U2
D R2 B2 F U2 B2
D R2 B2 F' U2 B2
D R2 B2 F2 U2 B2
B2 U R2 F2 U B2
U2 D R2 B2 U2 R2
L' D' L2 R F2 R
L' D' L2 R' F2 R
B U R2 F2 U B'
L' D' L2 R2 F2 R
L' D' L2 F2 R D
L' D' L2 F2 R D'
L' D' L2 F2 R D2
L' D' L2 F2 D R
L' D' L2 F2 D' R
L' D' L2 F2 D2 R
L' D' R L2 F2 R
L' D' R' L2 F2 R
L' D' R2 L2 F2 R
L2 D' L2 F2 D' R2
B2 U F2 R2 U B2
U2 D B2 R2 U2 R2
L D' R F2 L2 R
L D' R F2 R L2
B U F2 R2 U B'
L D' R' F2 L2 R
L D' R' F2 R L2
L D' R2 F2 L2 R
L D' R2 F2 R L2
U2 D' L2 F2 D2 B2
L D' F' L2 F' R
L2 D' F2 L2 D' R2
L D' F2 L2 R D
L D' F2 L2 R D'
L D' F2 L2 R D2
L D' F2 L2 D R
L D' F2 L2 D' R
L D' F2 L2 D2 R
L D' F2 R L2 D
L D' F2 R L2 D'
L D' F2 R L2 D2
U2 D' F' L2 F' B'
U2 D' F' L2 B' F'
U2 D' F2 L2 D2 B2
F U' F R2 B U
D' U2 L2 F2 D2 B2
