U L D2 F R B2
U L D2 F B2 R
U L D2 B2 F R
D2 U L F R B2
D2 U L F B2 R
D2 U L B2 F R
U D2 L F R B2
U D2 L F B2 R
U D2 L B2 F R
U' F2 U2 L F R
U L R D2 F R B2
U L R D2 F B2 R
U L R D2 B2 F R
U L R' D2 F R B2
U L R' D2 F B2 R
U L R' D2 B2 F R
F' L R2 D F2 B R'
F' L R2 D B R' F2
F' L R2 D B F2 R'
U L R2 D2 F R B2
U L R2 D2 F B2 R
U L R2 D2 B2 F R
U L D F D R B2
U L D F D B2 R
U L D' F R D' B2
U L D' F D' R B2
U L D' F D' B2 R
U L D2 R F R B2
U L D2 R F B2 R
U L D2 R B2 F R
U L D2 R' F R B2
U L D2 R' F B2 R
U L D2 R' B2 F R
U L D2 R2 F R B2
U L D2 R2 F B2 R
U L D2 R2 B2 F R
U L D2 F R B2 D
U L D2 F R B2 D'
U L D2 F R B2 D2
U L D2 F R' B2 R2
U L D2 F B' R B'
U L D2 F B2 R D
U L D2 F B2 R D'
U L D2 F B2 R D2
U L D2 F B2 D R
U L D2 F B2 D' R
U L D2 F B2 D2 R
U' L D2 B' R' F' B'
U' L D2 B' R' B' F'
U L D2 B' F R B'
U L D2 B2 R F R
U L D2 B2 R' F R
U L D2 B2 R2 F R
U L D2 B2 D F R
U L D2 B2 D' F R
U L D2 B2 D2 F R
U L D2 B2 F R D
U L D2 B2 F R D'
U L D2 B2 F R D2
U L D2 B2 F D R
U L D2 B2 F D' R
U L D2 B2 F D2 R
U L F L2 R B' L2
U L F L2 B' L2 R
U L F L2 B' R L2
U L F R L2 B' L2
U L F R U2 F U2
U L F' R F2 R B
U L F' R2 F2 B R
U L F' R2 B F2 R
U' L B D2 B2 R' F'
U L B D2 F R B2
U L B D2 F B2 R
U L B D2 B2 F R
U' L B' R' D2 F' B2
U' L B' R' D2 B2 F'
U' L B' D2 R' F' B2
U' L B' D2 R' B2 F'
U L B' D2 F R B2
U L B' D2 F B2 R
U L B' D2 B2 F R
U L B2 D2 F R B2
U L B2 D2 F B2 R
U L B2 D2 B2 F R
F' L' U F' L' U2 L'
U' L' F L2 B' R' F'
