D2 B' R' U L B
B' L R' U D2 B' L
B' L R' D2 U B' L
B' L R' F U B' L'
U' L U F B' L' R'
U' L U F B' R' L'
U' L U B' R' F L'
U' L U B' F L' R'
U' L U B' F R' L'
F L U B' L2 R' F'
F L U B' R' L2 F'
F L U B' R' F' L2
U' L U' F R B' L'
U' L U' F B' L' R
U' L U' F B' R L'
U' L U' B' F L' R
U' L U' B' F R L'
B' L D2 R' U B' L
B L D2 F2 U' B' L
B' L F R' U B' L'
B' L' R' U' F U2 L'
L U D2 B' L R' F'
L U D2 B' R' L F'
L U D2 B' R' F' L
L U F B' L' R' F'
L U F B' R' L' F'
L U F2 B' R' F' L'
L U B' R' F L' F2
L U B' F L' R' F'
L U B' F R' L' F'
L U B' F2 R' F' L'
L U' L F L' R B'
L U' L F L' B' R
L U' L F R L' B'
B' R' L U D2 B' L
B' R' L D2 U B' L
B' R' L F U B' L'
B' R' L' U' F U2 L'
L U' D2 B' L F R
B' R' U L D2 B' L
L U' B' L F L' R
L U' B' L F R L'
B' R' F L U B' L2
B' R' F U L B' L2
D2 R' B' R' U L B2
L D2 U B' L R' F'
L D2 U B' R' L F'
L D2 U B' R' F' L
L D2 U' B' L F R
R' D2 B' R' U L B
R2 D2 B' R' U L B
R D2 B' R' U L B
L2 F L2 U' L F B'
L2 F L2 U' L B' F
L F U B' L' R' F'
L F U B' R' L' F'
L2 F B L U' L2 B'
D2 F B' R' U L B
D2 F' B' R' U L B
F D' B' L R' U L2
F D' B' R' L U L2
B' D2 R' U B' L B2
D2 F2 B' R' U L B
L B L F U' L' B2
L B L F U' B2 L'
B' F L R' U B' L2
F D2 B' R' U L' B
F D2 B' R' U B L'
B' F R' L U B' L2
B' F R' U L B' L2
L2 B F L U' L2 B'
U' B' L U F B' L'
U' B' L U B' F L'
D' B' L R' U2 B' U'
D2 B' L' R' U L2 B
D2 B' L' R' U B L2
D' B' L' R' F L2 U
D' B' L' F L2 R' U
D' B' L' F R' L2 U
D2 B' L2 R' U L' B
D2 B' L2 R' U B L'
D2 B' R' L' U L2 B
D2 B' R' L' U B L2
D2 B' R' L2 U L' B
D2 B' R' L2 U B L'
D' B' R' L U2 B' U'
D2 B' R' U L D B
D2 B' R' U L D' B
D2 B' R' U L D2 B
D2 B' R' U L B D
D2 B' R' U L B D'
D2 B' R' U L B D2
D2 B' R' U L' B L2
D2 B' R' U L2 B L'
D2 B' R' U D L B
D2 B' R' U D' L B
D2 B' R' U D2 L B
D' B' R' L' F L2 U
B' F D2 R' U L' B
B' F D2 R' U B L'
D2 B' R' D U L B
D2 B' R' D' U L B
D2 B' R' D2 U L B
D2 B' R' F U L B
D2 B' R' F' U L B
D2 B' R' F2 U L B
U2 B' U L F B' L'
U2 B' U L B' F L'
F B' L R' U B' L2
F B' R' L U B' L2
D2 B' D2 R' U L B'
F B' R' U L B' L2
D2 B' F R' U L B
D2 B' F' R' U L B
D2 B' F2 R' U L B
F B' D2 R' U L' B
F B' D2 R' U B L'
