U' R D' L2 B U
U' R D' B L2 U
U' R D2 B U B
U' R B U D2 B2
U' R B U' F2 U2
U' R B D' L2 U
U' R B D2 U B2
U' D' L2 R B U
D' U' L2 R B U
U' D' R L2 B U
D' U' R L2 B U
U' D' R B L2 U
D2 U' R B U B
D' U' R B L2 U
U' D2 R B U B
D F D R F' B2
D F D R B2 F'
D F D B2 R F'
F D R F' D2 B2
D2 F B2 D R F'
D2 B2 U' R B U
D2 B2 F D R F'
U' L R D' L2 B U
U' L R D' B L2 U
U' L R D2 B U B
U' L R B U D2 B2
U' L R B U' F2 U2
U' L R B D' L2 U
U' L R B D2 U B2
L2 R F U L2 R B'
L2 R F U L2 B' R
L2 R F U R L2 B'
U' L D' L2 R B U
U' L D' R L2 B U
U' L D' R B L2 U
U' L D2 R B U B
U' L' R D' L2 B U
U' L' R D' B L2 U
U' L' R D2 B U B
U' L' R B U D2 B2
U' L' R B U' F2 U2
U' L' R B D' L2 U
U' L' R B D2 U B2
U' L' D' L2 R B U
U' L' D' R L2 B U
U' L' D' R B L2 U
U' L' D2 R B U B
F' L' F' U' L' U' L2
F' L' F' U2 L D F2
U' L2 R D' L2 B U
D' L2 R F U L2 R
D' L2 R F U R L2
U' L2 R D' B L2 U
U' L2 R D2 B U B
U' L2 R B U D2 B2
U' L2 R B U' F2 U2
U' L2 R B D' L2 U
U' L2 R B D2 U B2
R L2 F U L2 R B'
R L2 F U L2 B' R
R L2 F U R L2 B'
U' L2 D' L2 R B U
U' L2 D' R L2 B U
U' L2 D' R B L2 U
U' L2 D2 R B U B
F L2 B' L2 D R F'
U' R L D' L2 B U
U' R L D' B L2 U
U' R L D2 B U B
U' R L B U D2 B2
U' R L B U' F2 U2
U' R L B D' L2 U
U' R L B D2 U B2
U' R L' D' L2 B U
U' R L' D' B L2 U
U' R L' D2 B U B
U' R L' B U D2 B2
U' R L' B U' F2 U2
U' R L' B D' L2 U
U' R L' B D2 U B2
U' R L2 D' L2 B U
U' R L2 D' B L2 U
D' R L2 F U L2 R
D' R L2 F U R L2
U' R L2 D2 B U B
U' R L2 B U D2 B2
U' R L2 B U' F2 U2
U' R L2 B D' L2 U
U' R L2 B D2 U B2
U' R U' F2 U B U
U' R U2 D R2 F' U'
F R U2 F U' L' U'
U' R D U2 R2 F' U'
U' R D B U D B2
U' R D B U2 R2 U'
U' R D B D U B2
U' R D B D2 L2 U
U' R D' L' B L' U
U' R D' L2 D B U
U' R D' L2 D' B U
U' R D' L2 D2 B U
U' R D' L2 B U D
U' R D' L2 B U D'
U' R D' L2 B U D2
U' R D' L2 B D U
U' R D' L2 B D' U
U' R D' L2 B D2 U
U' R D' B L2 U D
U' R D' B L2 U D'
U' R D' B L2 U D2
U' R D' B L2 D U
U' R D' B L2 D' U
U' R D' B L2 D2 U
U' R D' B U D' B2
U' R D' B D' U B2
U' R D' B' L2 B2 U
U' R D2 L B U B
U' R D2 L' B U B
U' R D2 L2 B U B
U' R D2 B L U B
U' R D2 B L' U B
U' R D2 B L2 U B
U' R D2 B U D B
U' R D2 B U D' B
U' R D2 B U D2 B
U' R D2 B U B D
U' R D2 B U B D'
U' R D2 B U B D2
U' R D2 B D U B
U' R D2 B D' U B
U' R D2 B D2 U B
D' R F L2 U L2 R
D' R F L2 U R L2
F' R F2 D R F' B
F' R F2 D R B F'
U' R B L U D2 B2
U' R B L U' F2 U2
U' R B L D' L2 U
U' R B L D2 U B2
U' R B L' U D2 B2
U' R B L' U' F2 U2
U' R B L' D' L2 U
U' R B L' D2 U B2
U' R B L2 U D2 B2
U' R B L2 U' F2 U2
U' R B L2 D' L2 U
U' R B L2 D2 U B2
U' R B U D2 B2 D
U' R B U D2 B2 D'
U' R B U D2 B2 D2
U' R B U B D2 B2
U' R B U B' D2 B2
U' R B U B2 D2 B2
U' R B U' F2 U2 D
U' R B U' F2 U2 D'
U' R B U' F2 U2 D2
U' R B U' F2 D U2
U' R B U' F2 D' U2
U' R B U' F2 D2 U2
U' R B U2 D R2 U'
U' R B D U2 R2 U'
U' R B D' L2 U D
U' R B D' L2 U D'
U' R B D' L2 U D2
U' R B D' L2 D U
U' R B D' L2 D' U
U' R B D' L2 D2 U
U' R B D2 L U B2
U' R B D2 L' U B2
U' R B D2 L2 U B2
U' R B D2 U B2 D
U' R B D2 U B2 D'
U' R B D2 U B2 D2
U' R B' D' L2 U R2
U' R B2 D' B' L2 U
U' R B2 D2 B' U B'
D' R' D' F R F B2
D' R' D' F R B2 F
D' R' D' F B2 R F
D' R' D' B2 F R F
D' R' F D' R F2 B2
D' R' F D' R B2 F2
D' R' F D' B2 R F2
D2 R' F B2 D' R F2
D' R' F' D' F2 R B2
D' R' F' D' F2 B2 R
D' R' F' D' B2 F2 R
D2 R' F' B2 D' F2 R
D2 R' B2 D' F R F
D2 R' B2 F D' R F2
D2 R' B2 F' D' F2 R
D' R2 F R D' F2 B2
D' R2 F R D' B2 F2
D2 R2 F R B2 D' F2
F' R2 F2 D B R F'
