U L' U L' F' U
U2 L2 F' U' L U2
U2 L2 F' B2 U R'
U2 L2 B2 F' U R'
D2 R2 F2 B U' R
D2 R2 B U L' U2
D2 R2 B F2 U' R
U2 L D' L F' B2 U
U2 L D' L B2 F' U
U2 L D' F' L B2 U
U2 L D2 L F' U R2
U2 L D2 F' L U R2
U2 L F' L U' L U2
U2 L F' L B2 U R'
U2 L F' D' L B2 U
U2 L F' D2 L U R2
U2 L' U L' F' U F
U L' U L F' L2 U
U L' U L' D F' U
U L' U L' D' F' U
U L' U L' D2 F' U
U L' U L' F' U D
U L' U L' F' U D'
U L' U L' F' U D2
U L' U L' F' D U
U L' U L' F' D' U
U L' U L' F' D2 U
U L' U L2 F' L U
U L' U D L' F' U
U L' U D' L' F' U
D2 L' U' L R2 B U'
U L' U D2 L' F' U
D2 L' U' R2 L B U'
U L' D U L' F' U
U L' D' U L' F' U
U L' D2 U L' F' U
F' L2 U F D F2 R
F' L2 U F' R D F2
F' L2 U F' D R F2
U2 L2 U' L U F' U
F' L2 U2 L2 F' U' R
F' L2 U2 F' L2 U' R
F2 L2 U2 B' L2 U' R
F' L2 D R' B U F2
U2 L2 D F' U' L U2
U2 L2 D F' B2 U R'
U2 L2 D B2 F' U R'
U2 L2 D' F' U' L U2
U2 L2 D' F' B2 U R'
U2 L2 D' B2 F' U R'
F' L2 D2 R2 B U R'
L' U L' D F' U F'
F' L2 D2 B R2 U R
U2 L2 D2 F' U' L U2
U2 L2 D2 F' B2 U R'
L' U L' D2 F' R2 U
L' U L' F' U D F2
L' U L' F' U2 L2 U'
L' U L' F' D U F2
L' U L' F' D2 R2 U
U2 L2 D2 B2 F' U R'
U2 L2 F' U B2 R' B2
U2 L2 F' U' L U2 D
U2 L2 F' U' L U2 D'
U2 L2 F' U' L U2 D2
U2 L2 F' U' L D U2
U2 L2 F' U' L D' U2
U2 L2 F' U' L D2 U2
U2 L2 F' U' D L U2
U2 L2 F' U' D' L U2
U2 L2 F' U' D2 L U2
U2 L2 F' D U' L U2
U2 L2 F' D B2 U R'
U2 L2 F' D' U' L U2
U2 L2 F' D' B2 U R'
U' L2 F' B2 U R' F
U' L2 F' B2 U F R'
U2 L2 F' D2 U' L U2
U2 L2 F' D2 B2 U R'
U2 L2 F' B2 U R' D
U2 L2 F' B2 U R' D'
U2 L2 F' B2 U R' D2
U2 L2 F' B2 U D R'
U2 L2 F' B2 U D' R'
U2 L2 F' B2 U D2 R'
U2 L2 F' B2 D U R'
U2 L2 F' B2 D' U R'
U2 L2 F' B2 D2 U R'
U2 L2 B D2 F' U R
U2 L2 B2 D F' U R'
U' L2 B2 F' U R' F
U' L2 B2 F' U F R'
U2 L2 B2 D' F' U R'
U2 L2 B2 D2 F' U R'
U2 L2 B2 F' U R' D
U2 L2 B2 F' U R' D'
U2 L2 B2 F' U R' D2
U2 L2 B2 F' U D R'
U2 L2 B2 F' U D' R'
U2 L2 B2 F' U D2 R'
U2 L2 B2 F' D U R'
U2 L2 B2 F' D' U R'
U2 L2 B2 F' D2 U R'
F2 R U' F L2 U F'
L' U' L U2 L2 F' U
L' U' L U2 F' L2 U
L' U' L D2 R2 B U'
F2 R' U2 F L2 U R2
D2 R' F2 R' B U' R2
D2 R2 U L' U' B U'
F2 R2 U2 F L2 U R'
D2 R2 D F2 B U' R
D2 R2 D B U L' U2
D2 R2 D B F2 U' R
D2 R2 D' F2 B U' R
D2 R2 D' B U L' U2
D2 R2 D' B F2 U' R
D2 R2 D2 F2 B U' R
D2 R2 D2 B U L' U2
D2 R2 D2 B F2 U' R
D2 R2 F' D2 B U' R'
D2 R2 F2 D B U' R
D2 R2 F2 D' B U' R
D2 R2 F2 D2 B U' R
D' R2 F2 B U' B R
D2 R2 F2 B U' R D
D2 R2 F2 B U' R D'
D2 R2 F2 B U' R D2
D2 R2 F2 B U' D R
D2 R2 F2 B U' D' R
D2 R2 F2 B U' D2 R
D2 R2 F2 B D U' R
D2 R2 F2 B D' U' R
D2 R2 F2 B D2 U' R
D' R2 B U L' U2 B
D2 R2 B U L' U2 D
D2 R2 B U L' U2 D'
D2 R2 B U L' U2 D2
D2 R2 B U L' D U2
D2 R2 B U L' D' U2
D2 R2 B U L' D2 U2
D2 R2 B U D L' U2
D2 R2 B U D' L' U2
D2 R2 B U D2 L' U2
D2 R2 B U' F2 R F2
D2 R2 B D U L' U2
D2 R2 B D F2 U' R
D2 R2 B D' U L' U2
D2 R2 B D' F2 U' R
D2 R2 B D2 U L' U2
D2 R2 B D2 F2 U' R
D2 R2 B F2 U' R D
D2 R2 B F2 U' R D'
D2 R2 B F2 U' R D2
D' R2 B F2 U' B R
D2 R2 B F2 U' D R
D2 R2 B F2 U' D' R
D2 R2 B F2 U' D2 R
D2 R2 B F2 D U' R
D2 R2 B F2 D' U' R
D2 R2 B F2 D2 U' R
D R2 B U L' F2 U2
D R2 B U F2 U2 R
D' U L' U F' U B2
B' U L' U L' F' U
D2 U L' U' R2 B U'
B2 U L' U L' F' U
B U L' U L' F' U
D U L' F2 U F U
U D L' F2 U F U
L2 D F' U' L U2 F'
L2 D F' B2 U F' R'
R2 D B U L' F2 U2
R2 D B U F2 U2 R
L2 D B2 F' U F' R'
U2 D F' U' F' U2 R
U D' L' U F' U B2
U2 D' L2 F' U B2 R'
L2 D' F' U' L B2 U2
L2 D' F' U' B2 U2 R'
F2 U' R U' F L2 U
R2 D' F2 B U' B R
R2 D' B U L' U2 B
R2 D' B F2 U' B R
F2 U' F L2 U F' R
D' U2 L2 F' U B2 R'
U D2 L' U' R2 B U'
B' U2 L2 F' U' L U2
B' U2 L2 F' B2 U R'
F2 U2 L2 U2 B' U' R
B2 U2 L2 F' U' L U2
B2 U2 L2 F' B2 U R'
B' U2 L2 B2 F' U R'
L2 D2 F' R2 U' L U2
L2 D2 F' R2 B2 U R'
B2 U2 L2 B2 F' U R'
L2 D2 F' B2 R2 U R
D U2 F' U' F' U2 R
B U2 L2 F' U' L U2
B U2 L2 F' B2 U R'
B U2 L2 B2 F' U R'
F U2 L2 F2 B' U R'
F U2 L2 B' F2 U R'
R2 D2 F2 B R2 U' R'
R2 D2 B R2 U L' U2
R2 D2 B R2 F2 U' R
R2 D2 B F2 R2 U' R'
L2 D2 B2 F' R2 U R
F U2 F2 L2 B' U R'
F U2 F2 B' L2 U R'
F U2 B L2 F2 U R
F U2 B' L2 F2 U R'
F U2 B' F2 L2 U R'
U' F D' F' L2 B2 R'
U2 F' L D' L B' U
U2 F' L2 U F' R F
U2 F' L2 U2 F' U' R
U2 F' L2 D2 B U R'
L2 F' U' L U' L U'
L2 F' U' D L U2 F2
L2 F' U' D' L B2 U2
L2 F' U' D' B2 U2 R'
L2 F' U2 L2 U L' U2
L2 F' U2 L2 F2 U' R
D F' U' F' U2 R F
L2 F' D U' L U2 F2
L2 F' D B2 U R' F2
L2 F' D B2 U F2 R'
U2 F' D' L B' U B'
L2 F' D' U' L B2 U2
L2 F' D' U' B2 U2 R'
L2 F' D2 R2 U' L U2
L2 F' D2 R2 B2 U R'
L2 F' D2 B2 R2 U R
R2 F' D2 B R2 U' R
L2 F' B2 U R' D F2
L2 F' B2 U D R' F2
L2 F' B2 U D F2 R'
L2 F' B2 U2 L2 U' R'
L2 F' B2 D U R' F2
L2 F' B2 D U F2 R'
L2 F' B2 D2 R2 U R
U2 F2 L2 U2 B' U' R
F D' F U' L2 R B2
F D' F U' L2 B2 R
F D' F U' R L2 B2
F D' F U' R B2 L2
F D' F U' B2 L2 R
F D' F U' B2 R L2
F D' F' U' L2 B2 R'
D2 F2 R2 U2 F U R'
R2 F2 D' B U' B R
R2 F2 D2 B R2 U' R'
