L B R U' B R
R' L U F' U2 L' R'
R' L U F' U2 R' L'
R' L U' R2 B L R
R' L U' R2 B R L
U L F B R U' R
D' L F2 B R U' B
U2 L F2 B U' R2 B
D2 L B R U' B R'
F' L B R U' B R
D' L B R F2 U' B
F2 L B R U' B R
F L B R U' B R
U2 L B U F U2 R2
U L B R U' R B
U' L B U2 L U R2
U L B U' R B R
D' L B F2 R U' B
U2 L B F2 U' R2 B
U L B F R U' R
L R' U F' U2 L' R'
L R' U F' U2 R' L'
L R' U' R2 B L R
L R' U' R2 B R L
U2 L' B L2 U' R2 B2
U2 L' B L2 U' B2 R2
U2 L' B' R2 D L2 F2
U2 L' B' R2 D F2 L2
B R U' D' B R F'
B R U' B R D' F2
B R D' U' B R F'
B2 R B D' R F2 L'
L2 U2 L' B U' R2 B2
L2 U2 L' B U' B2 R2
L2 U2 B L' U' R2 B'
L2 U2 B L' U' B' R2
D R2 F' B2 R' U B
D R2 B2 F' R' U B
L D' F2 B R U' B
L D' B R F2 U' B
L D' B F2 R U' B
R D2 L B' U' R B2
R D2 L B' U' B2 R
U F L B R U' R
L F B R U' B R
B D' R F2 U' F B
B D' R F2 U' B F
L F' B R U' B R
R2 F' B2 R' U B R
D' F2 L B R U' B
B D' F2 R U' F' B
B D' F2 R U' B F'
L F2 B R U' B R
L2 B L' R U' B R
L' B L2 R U' B R
L' B R L2 U' B R
L2 B R L' U' B R
L B R U' D B R
L B R U' D' B R
L B R U' D2 B R
L B R U' B R D
L B R U' B R D'
L B R U' B R D2
L B R U' B D R
L B R U' B D' R
L B R U' B D2 R
L B R U' B' R B2
L B R U' B2 R B'
L B R D U' B R
L B R D' U' B R
L B R D2 U' B R
L B R' U F' U2 R'
L B R' U' R2 B R
L B U2 L' U R2 B'
L B U2 L' U B' R2
L B D' R F2 U' B
R B D' R F L' F2
L B D' F2 R U' B
L B F R U' B R
L B F' R U' B R
L B F2 R U' B R
L B' R B2 U' R B'
L B' R B2 U' B' R
L B2 R B' U' R B2
L B2 R B' U' B2 R
R2 B2 U' F' R' U B
R2 B2 F' R' U B R
