L2 R' B' L U' R
U L2 R' B' L U'
U L2 R' B' L U'
R' L2 B' L U' R
L2 U R' B' L U'
U R' L2 B' L U'
B2 U' F L U F
B F R' U R B
F B R' U R B
U L R' B' L B' U'
R' L B' L B' U' R
F L B R' U R B
R' L' U' D' R F' L'
L' R' U' D' R F' L'
B L' R' U R B L
R' L' D' U' R F' L'
L' R' D' U' R F' L'
L2 R' D' B' U' R F'
L2 R' B' L U' R D
L2 R' B' L U' R D'
L2 R' B' L U' R D2
L2 R' B' L U' D R
L2 R' B' L U' D' R
L2 R' B' L U' D2 R
L2 R' B' L D U' R
L2 R' B' L D' U' R
L2 R' B' L D2 U' R
L R' B' L B' U' R
L2 R' B' D L U' R
L2 R' B' D' L U' R
L2 R' B' D2 L U' R
F L' B R' U R B
R' L2 D' B' U' R F'
U L2 R B' L R2 U'
U L2 R B' R2 L U'
U L2 R' B' L U' D
U L2 R' B' L U' D'
U L2 R' B' L U' D2
U L2 R' B' L D U'
U L2 R' B' L D' U'
U L2 R' B' L D2 U'
U L2 R' B' D L U'
U L2 R' B' D' L U'
U L2 R' B' D2 L U'
U L2 R2 B' L R U'
U L2 R2 B' R L U'
R' L2 B' L U' R D
R' L2 B' L U' R D'
R' L2 B' L U' R D2
R' L2 B' L U' D R
R' L2 B' L U' D' R
R' L2 B' L U' D2 R
R' L2 B' L D U' R
R' L2 B' L D' U' R
R' L2 B' L D2 U' R
U' L2 U2 R' B' L U'
L2 R2 B' L R U' R
R2 L2 B' L R U' R
R' L2 B' D L U' R
L2 R2 B' R L U' R
R' L2 B' D' L U' R
R2 L2 B' R L U' R
R' L2 B' D2 L U' R
L U L R' B' L U'
L2 U R B' L R2 U'
L2 U R B' R2 L U'
L U R' L B' L U'
L2 U R' B' L U' D
L2 U R' B' L U' D'
L2 U R' B' L U' D2
L2 U R' B' L D U'
L2 U R' B' L D' U'
L2 U R' B' L D2 U'
L2 U R' B' D L U'
L2 U R' B' D' L U'
L2 U R' B' D2 L U'
F L2 B R' U R B
L U R' B' L B' U'
L2 U R2 B' L R U'
L2 U R2 B' R L U'
U L2 B' D L U' B'
U R L2 B' L R2 U'
U R L2 B' R2 L U'
L2 U B' D L U' B'
B2 R F L U R' F'
B R F R2 U R B
D' R F' D R' B2 L
R' U' D' R F' D' L2
B R' L' U R B L
U R' L B' L B' U'
U R' L2 B' L U' D
U R' L2 B' L U' D'
U R' L2 B' L U' D2
U R' L2 B' L D U'
U R' L2 B' L D' U'
U R' L2 B' L D2 U'
U R' L2 B' D L U'
U R' L2 B' D' L U'
U R' L2 B' D2 L U'
F' R' U' D' L2 R F'
F' R' U' D' R L2 F'
F' R' U' D' R F' L2
F' R' D' U' L2 R F'
F' R' D' U' R L2 F'
F' R' D' U' R F' L2
U R' B U2 R' F U
U R' B U2 F R' U
U R' B' L2 B' L' U'
U R' B2 U2 F R U
U R2 L2 B' L R U'
U R2 L2 B' R L U'
R' U2 B R' F U R2
F U R' B' L U' L'
R' D' L' U' R F' L'
R' D' L2 B' U' R F'
R' D' U' R F' D' L2
B2 U' L U D F L'
B2 U' L D U F L'
B2 U' R F L U F
D2 U' F U2 L' R' U'
D2 U' F U2 R' L' U'
B2 U' R' F L U F
B U' R' F L' U B'
B2 U' R2 F L U F
B2 U' D F L U F
B2 U' D' F L U F
B2 U' D2 F L U F
B2 U' F L R U F
B2 U' F L R' U F
B2 U' F L R2 U F
B2 U' F L U D F
B2 U' F L U D' F
B2 U' F L U D2 F
B2 U' F L U F D
B2 U' F L U F D'
B2 U' F L U F D2
B2 U' F L D U F
B2 U' F L D' U F
B2 U' F L D2 U F
B2 U' F R L U F
B2 U' F R' L U F
B2 U' F R2 L U F
B2 U' F D L U F
B2 U' F D' L U F
B2 U' F D2 L U F
B U' F L' R' U B'
B2 U' F' L F2 U F'
B U' F R' L' U B'
B2 U' F2 L F' U F2
