U F' U' L' B' U'
R2 L' D B' L U' B2
U2 L' U' F' B' R' U2
U2 L' U' B' F' R' U2
R2 L' B' R U' F' B2
R2 L' B' R U' B2 F'
L' R2 D B' L U' B2
L' R2 B' R U' F' B2
L' R2 B' R U' B2 F'
L' U F' U' B' L' U'
L U F' U F2 R U
R2 U B L F2 R F'
R2 U B' R' B U2 B
R2 U' R F' L' R' B
R2 U' R F' R' L' B
R2 U' R F' R' B L'
R' U' R' B R F' L'
R' U' D2 L F' B' L'
R' U' D2 L B' F' L'
R' U' D2 L2 F' L' B'
R' U' D2 F' L B' L2
R2 U' D2 F' L' F B
R2 U' D2 F' L' B F
R2 U' D2 F' B L' F
R2 U' D2 B F' L' F
R' U' F' L' R' B R
R' U' F' L2 D2 L B'
R' U' F' R' L' B R
R' U' F' R' B L' R
R' U' F' R' B R L'
R' U' F' D2 L B' L2
R2 U' F' D2 L' F B
R2 U' F' D2 L' B F
R2 U' F' D2 B L' F
R2 U' F' B D2 L' F
F' R' U' F U' F2 L'
R2 U' B R F' L' R'
R2 U' B R F' R' L'
R2 U' B D2 F' L' F
R2 U' B F' D2 L' F
R2 D L' B' L U' B2
R' D B2 U' F' L' B'
D' U F' U' L' B' U'
D2 U F' U' L' B' U'
D U F' U' L' B' U'
U D F' U' L' B' U'
B' U F' U' L' B' U'
B2 U F' U' L' B' U'
B U F' U' L' B' U'
U D' F' U' L' B' U'
F' U' F U R B U2
R2 D2 L' B' U' F B2
R2 D2 L' B' U' B2 F
R' D2 U' L F' B' L'
R' D2 U' L B' F' L'
R' D2 U' L2 F' L' B'
R' D2 U' F' L B' L2
R2 D2 U' F' L' F B
R2 D2 U' F' L' B F
R2 D2 U' F' B L' F
R2 D2 U' B F' L' F
U D2 F' U' L' B' U'
U F' R U' L' B' U'
U F' R' U' L' B' U'
U F' R2 U' L' B' U'
U F' U' L' D B' U'
U F' U' L' D' B' U'
U F' U' L' D2 B' U'
U F' U' L' B' U' D
U F' U' L' B' U' D'
U F' U' L' B' U' D2
U F' U' L' B' D U'
U F' U' L' B' D' U'
U F' U' L' B' D2 U'
U F' U' D L' B' U'
U F' U' D' L' B' U'
U F' U' D2 L' B' U'
U F' U' B L' B' U'
U F' U' B' L' B' U'
U F' U' B2 L' B' U'
U F' U2 F' D' L' F
U F' D U' L' B' U'
U F' D' U' L' B' U'
U F' D2 U' L' B' U'
U F' B U' L' U' L2
U F' B U2 L D F2
U F' B' R' U' L' U'
U B F' U' L' U' L2
U B F' U2 L D F2
R2 B' R U' F' L' B2
R2 B' R U' F' B2 L'
R2 B' R U' B2 F' L'
L' B' U F' U' L' U'
U B' F' R' U' L' U'
R2 B2 R U' F' B' L'
R2 B2 R U' B' F' L'
