D' F' U' L' F' R
U L' U R2 U2 B' U'
U L' U' D' B' U' F2
U L' U' D2 B' L2 U'
U L' U' B' U' D' F2
U L' U' B' U2 R2 U
U L' U' B' D' U' F2
U L' U' B' D2 L2 U'
U L' D B2 U' B U'
U L' D' U' B' U' F2
U L' D2 U' B' L2 U'
U L' B D B2 U2 L2
U L' B D' R2 U2 F2
U L' B2 U R2 F' U
D2 L2 U L U F U
L2 U L U R2 F U
L2 U L U F R2 U
L' U L F R2 U B
D2 L2 F U L R U2
D2 L2 F U R L U2
D2 L2 F' U L U2 L2
D2 L2 F' U' L' D2 R2
D2 L2 F' B2 U' L' R'
D2 L2 F' B2 U' R' L'
D2 L2 B2 F' U' L' R'
D2 L2 B2 F' U' R' L'
L' U F R2 U B L
L' U2 R2 B U L R2
L' U2 R2 B U R2 L
U2 R2 U' L' U' B' U'
L' U2 B R2 U L R2
L' U2 B R2 U R2 L
U2 R2 F2 B U L R
U2 R2 F2 B U R L
U2 R2 B U L D2 R2
U2 R2 B U' L' U2 L2
U2 R2 B F2 U L R
U2 R2 B F2 U R L
U2 R2 B' U' L' R' U2
U2 R2 B' U' R' L' U2
D' U L' U' B' U' F2
D2 U L' U' B' L' U'
D U L' B2 U' B U'
U D L' B2 U' B U'
D U B2 L' U' B' U'
U D B2 L' U' B' U'
U D' L' U' B' U' F2
F' U' L' F D' F2 R
F' U' L' F' D' R F2
F2 U' R F D' L' F
D' U' F2 R U B U'
U' D' F2 R U B U'
U2 D' B U F2 L R
U2 D' B U F2 R L
L D2 L2 F' U' L' R2
L D2 L2 F' U' R2 L'
U D2 L' U' B' L' U'
L D2 F' L2 U' L R2
L D2 F' L2 U' R2 L
D' U2 B U F2 L R
D' U2 B U F2 R L
F2 U2 R2 F U L' R'
F2 U2 R2 F U R' L'
D' F' L U' L2 F' R
D' F' L U' F' L2 R
D' F' L U' F' R L2
D' F' L2 U' L F' R
D' F' L2 U' F' L R
D' F' L2 U' F' R L
D2 F' L2 F' U' L R
D2 F' L2 F' U' R L
D' F' U' L F' L2 R
D' F' U' L F' R L2
D' F' U' L' F' R D
D' F' U' L' F' R D'
D' F' U' L' F' R D2
D' F' U' L' F' D R
D' F' U' L' F' D' R
D' F' U' L' F' D2 R
D' F' U' L2 F' L R
D' F' U' L2 F' R L
L' F' U2 R2 U L' R2
L' F' U2 R2 U R2 L'
F2 D' L B' U' R F2
L F' U' L' D' F2 R
D' F' B U' L' F' R
L F' D2 L2 U' L R2
L F' D2 L2 U' R2 L
D' F' B' U' L' F' R
D' F' B2 U' L' F' R
B' D' F' U' L' F' R
B2 D' F' U' L' F' R
F D' F U' R F L'
B D' F' U' L' F' R
F2 D2 L2 B' U' L R
F2 D2 L2 B' U' R L
U2 F2 B R2 U L R'
U2 F2 B R2 U R' L
F' D2 B L2 U' L R'
F' D2 B L2 U' R' L
U2 B R2 U L D2 R2
U2 B R2 U' L' U2 L2
F2 D2 B' L2 U' L' R
F2 D2 B' L2 U' R L'
U2 B R2 F2 U L R
U2 B R2 F2 U R L
U2 B U D' F2 L R
U2 B U D' F2 R L
U2 B D' U F2 L R
U2 B D' U F2 R L
D' B F' U' L' F' R
U2 B F2 R2 U L R'
U2 B F2 R2 U R' L
U2 B' R2 U' L' R U2
U2 B' R2 U' R L' U2
U2 B' R2 F2 U L' R
U2 B' R2 F2 U R L'
D' B' F' U' L' F' R
D' B2 F' U' L' F' R
