U' L D' F' B2 U
U' L D' B2 F' U
U' L D2 F' U R2
U' L F' U D2 R2
U' L F' U' L2 U2
U' L F' D' B2 U
U' L F' D2 U R2
U2 L' U L2 F' U
U2 L' U F' L2 U
L' U' F' L2 B' U
L D' F' B2 U F
L D' B2 F' U F
L D2 F' U R2 F
L D2 F' U F R2
L F' U D2 R2 F
L F' U D2 F R2
L F' U F D2 R2
L F' U' L2 B' U2
U' F' D' L B' U
L F' D' B2 U F
L F' D2 U R2 F
L F' D2 U F R2
F' L U F' D2 R F'
U' L U' L2 U F' U
U' L D F' U2 F' U'
D' L D' F' B2 U F
D2 L D' F' B2 U F
U' L D' F' U D' R2
U' L D' F' D' U R2
U' L D' F' B2 U D
U' L D' F' B2 U D'
U' L D' F' B2 U D2
U' L D' F' B2 D U
U' L D' F' B2 D' U
U' L D' F' B2 D2 U
D L D' F' B2 U F
D' L D' B2 F' U F
D2 L D' B2 F' U F
U' L D' B2 D F' U
U' L D' B2 D' F' U
U' L D' B2 D2 F' U
U' L D' B2 F' U D
U' L D' B2 F' U D'
U' L D' B2 F' U D2
U' L D' B2 F' D U
U' L D' B2 F' D' U
U' L D' B2 F' D2 U
D L D' B2 F' U F
D' L D2 F' U R2 F
D' L D2 F' U F R2
D2 L D2 F' U R2 F
D2 L D2 F' U F R2
U' L D2 F' U R2 D
U' L D2 F' U R2 D'
U' L D2 F' U R2 D2
D L D2 F' U R2 F
U' L D2 F' D B2 U
D L D2 F' U F R2
U' L D2 F' B U R2
U' L D2 F' B' U R2
U' L D2 F' B2 U R2
U' L D2 B F' U R2
U' L D2 B' F' U R2
U' L D2 B2 F' U R2
U' L F D' B2 U L2
D2 L F' U D2 R2 F
D2 L F' U D2 F R2
D2 L F' U F D2 R2
D' L F' U D2 R2 F
D' L F' U D2 F R2
D' L F' U F D2 R2
D2 L F' U' L2 B' U2
D' L F' U' L2 B' U2
U' L F' U R D2 R2
U' L F' U R' D2 R2
U' L F' U R2 D2 R2
D L F' U D2 R2 F
D L F' U D2 F R2
U' L F' U D2 R2 D
U' L F' U D2 R2 D'
U' L F' U D2 R2 D2
D L F' U F D2 R2
D L F' U' L2 B' U2
U' L F' U' L2 U2 D
U' L F' U' L2 U2 D'
U' L F' U' L2 U2 D2
U' L F' U' L2 D U2
U' L F' U' L2 D' U2
U' L F' U' L2 D2 U2
U' L F' U2 D F2 U'
D2 L F' D' B2 U F
D' L F' D' B2 U F
D2 L F' D2 U R2 F
D2 L F' D2 U F R2
U' L F' D U2 F2 U'
D' L F' D2 U R2 F
D' L F' D2 U F R2
U' L F' D' B2 U D
U' L F' D' B2 U D'
U' L F' D' B2 U D2
U' L F' D' B2 D U
U' L F' D' B2 D' U
U' L F' D' B2 D2 U
D L F' D' B2 U F
U' L F' D2 U R2 D
U' L F' D2 U R2 D'
U' L F' D2 U R2 D2
D L F' D2 U R2 F
D L F' D2 U F R2
U' L F' D2 B U R2
U' L F' D2 B' U R2
U' L F' D2 B2 U R2
U' L F' B U D2 R2
U' L F' B U' L2 U2
U' L F' B D' B2 U
U' L F' B D2 U R2
U' L F' B' U D2 R2
U' L F' B' U' L2 U2
U' L F' B' D' B2 U
U' L F' B' D2 U R2
U' L F' B2 U D2 R2
U' L F' B2 U' L2 U2
U' L F' B2 D' B2 U
U' L F' B2 D2 U R2
F L F2 U F' R F2
U' L F2 D' F B2 U
U' L F2 D' B2 F U
U' L F2 D2 F U R2
U' L B D' F' B2 U
U' L B D' B2 F' U
U' L B D2 F' U R2
U' L B F' U D2 R2
U' L B F' U' L2 U2
U' L B F' D' B2 U
U' L B F' D2 U R2
U' L B' D' F' B2 U
U' L B' D' B2 F' U
U' L B' D2 F' U R2
U' L B' F' U D2 R2
U' L B' F' U' L2 U2
U' L B' F' D' B2 U
U' L B' F' D2 U R2
U' L B2 D' F' B2 U
U' L B2 D' B2 F' U
U' L B2 D2 F' U R2
U' L B2 F' U D2 R2
U' L B2 F' U' L2 U2
U' L B2 F' D' B2 U
U' L B2 F' D2 U R2
U2 L' U L F' L U
U' L' U L2 F' U F
U2 L' U L2 D F' U
U2 L' U L2 D' F' U
U2 L' U L2 D2 F' U
U2 L' U L2 F' U D
U2 L' U L2 F' U D'
U2 L' U L2 F' U D2
U2 L' U L2 F' D U
U2 L' U L2 F' D' U
U2 L' U L2 F' D2 U
U2 L' U D' F' U B2
U2 L' U F L2 F2 U
U2 L' U F' L2 U D
U2 L' U F' L2 U D'
U2 L' U F' L2 U D2
U2 L' U F' L2 D U
U2 L' U F' L2 D' U
U2 L' U F' L2 D2 U
U2 L' U F' U D' B2
U2 L' U F' D' U B2
D2 L' U' F' L2 B' U
D' L' U' F' L2 B' U
U2 L' U' D2 R2 B U'
D L' U' F' L2 B' U
U2 L' D F2 U F U
U2 L' D' U F' U B2
F L' D' F' L2 B2 R'
U2 L' D2 U' R2 B U'
U2 L' F U L2 F2 U
U2 L' F U F2 L2 U
U2 L' F U2 D' L2 B2
U2 L' F U2 D' B2 L2
U2 L' F D R2 F2 U2
U2 L' F D F2 R2 U2
U2 L' F D' U2 L2 B2
U2 L' F D' U2 B2 L2
U' L' F' L2 U D2 R2
U' L' F' L2 U' L2 U2
U' L' F' L2 D' B2 U
U' L' F' L2 D2 U R2
U2 L' F' U L2 U L2
U2 L' F2 U F L2 U
L' U L2 D F' U F'
L' U L2 D2 F' R2 U
L' U L2 F' U D F2
L' U L2 F' U2 L2 U'
L' U L2 F' D U F2
L' U L2 F' D2 R2 U
U' L2 B2 L' F' U R'
L' U F' L2 U D F2
L' U F' L2 U2 L2 U'
L' U F' L2 D U F2
L' U F' L2 D2 R2 U
L2 U' L' D' F' B2 U
L2 U' L' D' B2 F' U
L2 U' L' D2 F' U R2
L2 U' L' F' U D2 R2
L2 U' L' F' U' L2 U2
L2 U' L' F' D' B2 U
L2 U' L' F' D2 U R2
L' U' L2 F' U2 F U'
L U' L2 U F' U F
F2 R F2 U' L F' U
F2 R F2 U' F' L U
L' U' F' L2 D B' U
L' U' F' L2 D' B' U
L' U' F' L2 D2 B' U
L' U' F' L2 B' U D
L' U' F' L2 B' U D'
L' U' F' L2 B' U D2
L' U' F' L2 B' D U
L' U' F' L2 B' D' U
L' U' F' L2 B' D2 U
L' U' F' B L2 B' U
L' U' F' B' L2 B' U
L' U' F' B2 L2 B' U
L U' F' U' L2 U2 B'
L U' F' U' F L2 U2
L' U' B F' L2 B' U
L' U' B' F' L2 B' U
L2 U' B2 L' F' U R'
L' U' B2 F' L2 B' U
L2 U2 L U L2 F' U
L2 U2 L U F' L2 U
R U2 L' U L2 F U
U' D L D' F' B2 U
U' D L D' B2 F' U
U' D L D2 F' U R2
U' D L F' U D2 R2
U' D L F' U' L2 U2
U' D L F' D' B2 U
U' D L F' D2 U R2
U2 D L' U L2 F' U
U2 D L' U F' L2 U
L' D F2 U F U F
L D F' R U F R
L D F' R2 B U F
L D F' U F D R2
L D F' U2 F' U' F2
U' D F' D' L B' U
D' U' L D' F' B2 U
U' D' L D' F' B2 U
D' U' L D' B2 F' U
U' D' L D' B2 F' U
D' U' L D2 F' U R2
D2 U' L D' F' B2 U
U' D' L D2 F' U R2
D2 U' L D' B2 F' U
D2 U' L D2 F' U R2
D' U' L F' U D2 R2
D' U' L F' U' L2 U2
U' D' L F' U D2 R2
U' D' L F' U' L2 U2
D' U' L F' D' B2 U
D' U' L F' D2 U R2
U' D' L F' D' B2 U
U' D' L F' D2 U R2
D2 U' L F' U D2 R2
D2 U' L F' U' L2 U2
D2 U' L F' D' B2 U
D2 U' L F' D2 U R2
D U' L D' F' B2 U
D U' L D' B2 F' U
D U' L D2 F' U R2
D U' L F' U D2 R2
D U' L F' U' L2 U2
D U' L F' D' B2 U
D U' L F' D2 U R2
U2 D' L' U L2 F' U
U2 D' L' U F' L2 U
F U' L F2 U F R
L D' F' R B2 U F
L D' F' R' B2 U F
L D' F' R2 B2 U F
L D' F' U D' R2 F
L D' F' U D' F R2
L D' F' U F D' R2
L D' F' D' U R2 F
L D' F' D' U F R2
L D' F' B2 R U F
L D' F' B2 R' U F
L D' F' B2 R2 U F
L D' F' B2 U D F
L D' F' B2 U D' F
L D' F' B2 U D2 F
L D' F' B2 U F D
L D' F' B2 U F D'
L D' F' B2 U F D2
L D' F' B2 D U F
L D' F' B2 D' U F
L D' F' B2 D2 U F
D' U' F' D' L B' U
U' D' F' D' L B' U
D2 U' F' D' L B' U
D U' F' D' L B' U
L D' B2 D F' U F
L D' B2 D' F' U F
L D' B2 D2 F' U F
L D' B2 F' R U F
L D' B2 F' R' U F
L D' B2 F' R2 U F
L D' B2 F' U D F
L D' B2 F' U D' F
L D' B2 F' U D2 F
L D' B2 F' U F D
L D' B2 F' U F D'
L D' B2 F' U F D2
L D' B2 F' D U F
L D' B2 F' D' U F
L D' B2 F' D2 U F
U' D2 L D' F' B2 U
U' D2 L D' B2 F' U
U' D2 L D2 F' U R2
U' D2 L F' U D2 R2
U' D2 L F' U' L2 U2
U' D2 L F' D' B2 U
U' D2 L F' D2 U R2
D' U2 L' U L2 F' U
D' U2 L' U F' L2 U
D2 U2 L' U L2 F' U
D2 U2 L' U F' L2 U
U2 D2 L' U L2 F' U
U2 D2 L' U F' L2 U
D U2 L' U L2 F' U
D U2 L' U F' L2 U
L D2 R2 U B U' B'
U' D2 F' D' L B' U
L D2 F' R U R F
L D2 F' R' U R' F
L D2 F' R' U F R'
L D2 F' U R' F R'
L D2 F' U R2 D F
L D2 F' U R2 D' F
L D2 F' U R2 D2 F
L D2 F' U R2 F D
L D2 F' U R2 F D'
L D2 F' U R2 F D2
L D2 F' U F R2 D
L D2 F' U F R2 D'
