U2 R B U L' B'
B L R U2 F U' L2
L R U2 F R U' L2
R L U2 F R U' L2
L' R B L B2 U L'
L2 R B L B' U L
B2 L' R B' L U L'
B L' R B' L2 U L2
U' L' U' R B U B2
B2 L' U' R B' L U
B L' U' R B' L2 U
B2 L' U' B' L R U
B2 L' U' B' R L U
B L' U' B' L2 R U
B L' U' B' R L2 U
R L' B L B2 U L'
U' L' F D R F' B'
U' L' F D R B' F'
U' L' F D B' R F'
U' L' F B' D R F'
B2 L' B' L R U L'
B2 L' B' R L U L'
B L' B' L2 R U L2
B L' B' R L2 U L2
U' L' B' U' R B U
U' L' B' F D R F'
R L2 B L B' U L
R U L' R B' R' B2
R U L' R2 B' R' B
R U L' B' R B R2
R U L' B2 R B R'
R U R L' B' R' B2
R U R B L' D2 R2
R U R B' L' R' B2
R U R B' R' L' B2
R U R B' R' B2 L'
R U R2 L' B' R' B
R U R2 B' L' R' B
R U R2 B' R' L' B
R U R2 B' R' B L'
B R L U2 F U' L2
B2 R L' B' L U L'
B R L' B' L2 U L2
U2 R U L' B' D' R2
R U B' L' R B R2
R U B' R L' B R2
R U B' R B L' R2
R U B' R B R2 L'
U2 R D B U L' B'
R U B2 L' R B R'
R U B2 R L' B R'
R U B2 R B L' R'
R U B2 R B R' L'
U2 R D' B U L' B'
R U' L U2 L2 B' R'
R U' L F U2 L2 R
R U' L F U2 R L2
U2 R D2 B U L' B'
R U' L2 U2 L B' R'
L' U' R B' L' U B'
U2 R B U L' D B'
U2 R B U L' D' B'
U2 R B U L' D2 B'
U2 R B U L' B' D
U2 R B U L' B' D'
U2 R B U L' B' D2
U2 R B U D L' B'
U2 R B U D' L' B'
U2 R B U D2 L' B'
U2 R B U B L' B'
U2 R B U B' L' B'
U2 R B U B2 L' B'
U2 R B D U L' B'
U2 R B D' U L' B'
U2 R B D2 U L' B'
U R B' U L' R' B2
U R B' U R' L' B2
U R B' U R' B2 L'
R U' F U2 R B L
L' U' B' L' R U B'
L' U' B' R L' U B'
U2 D R B U L' B'
U2 D' R B U L' B'
D' U2 R B U L' B'
D2 U2 R B U L' B'
U2 D2 R B U L' B'
D U2 R B U L' B'
B U2 L R B U L2
B U2 R L B U L2
U' F D R F' L' B'
L' B L R B2 U L'
L2 B L R B' U L
L' B L B2 R U L'
L2 B L B' R U L
R B L U2 F U' L2
L' B R L B2 U L'
L2 B R L B' U L
R B L' B' L2 U L2
U2 B R B U L' B'
L' B U' L R B2 U
L' B U' L B2 R U
L' B U' R L B2 U
L' B' R D2 L2 U L2
U2 B' R B U L' B'
U B' R U L' B R2
U B' R U B L' R2
U B' R U B R2 L'
R B2 L' B' L U L'
U2 B2 R B U L' B'
U B2 R U L' B R'
U B2 R U B L' R'
U B2 R U B R' L'
