B' U' L2 R' F' B
B' U' L2 R' B F'
B' U' R' L2 F' B
B' U' R' L2 B F'
B' U' R' F' L2 B
B' U' R' F' B L2
B' U' R' B L2 F'
B' U' R' B F' L2
B' L U L R' F B
B' L U L R' B F
B' L U L F R' B
B' L U R' L F B
B' L U R' L B F
B' L U' L R' F' B
B' L U' L R' B F'
B' L U' R' L F' B
B' L U' R' L B F'
B' L U' R' F' L B
B' L' U' L' R' F' B
B' L' U' L' R' B F'
B' L' U' R' L' F' B
B' L' U' R' L' B F'
B' L' U' R' B L' F'
F' L' B' U' L' R' B
F' L' B' U' R' L' B
F' L' B' U' R' B L'
U' L2 R' D F' B R
U' L2 R' D B F' R
U' L2 R' D' F' B R'
U' L2 R' D' B F' R'
U' L2 R' F' D' B R'
U' L2 R' B D F' R
B' L2 F R' D' F2 B
B' L2 F R' D' B F2
B' L2 F R' B D' F2
F L2 B' R' D' F2 B
F L2 B' R' D' B F2
F L2 B' R' B D' F2
R' U' L2 D' B R' F'
U' R' L2 D F' B R
U' R' L2 D B F' R
U' R' L2 D' F' B R'
U' R' L2 D' B F' R'
U' R' L2 F' D' B R'
U' R' L2 B D F' R
B2 R' U' L2 B R' F'
B2 R' U' B L2 R' F'
B2 R' U' B R' L2 F'
B2 R' U' B R' F' L2
U' R' F' L2 D' B R'
U' R' B L2 D F' R
F R' B L2 D' F2 R
B' U L R' F L B
B' U L F L R' B
B' U L F R' L B
B' U R' L F L B
B' U R' B L F L
B' U' L R' F' L B
B' U' L' R' B L' F'
B' U' L2 R' D F' B
B' U' L2 R' D B F'
B' U' L2 R' D' F' B
B' U' L2 R' D' B F'
B' U' L2 R' D2 F' B
B' U' L2 R' D2 B F'
B' U' L2 R' F' D B
B' U' L2 R' F' D' B
B' U' L2 R' F' D2 B
B' U' L2 R' F' B D
B' U' L2 R' F' B D'
B' U' L2 R' F' B D2
B' U' L2 R' B D F'
B' U' L2 R' B D' F'
B' U' L2 R' B D2 F'
B' U' L2 R' B F' D
B' U' L2 R' B F' D'
B' U' L2 R' B F' D2
B2 U' L2 R' F' B R'
B2 U' L2 R' B F' R'
B' U' L2 F R' F' B
B' U' L2 F R' B F'
B' U' L2 F' R' F' B
B' U' L2 F' R' B F'
B' U' L2 F2 R' F' B
B' U' L2 F2 R' B F'
B2 U' L2 B R' F' B
B2 U' L2 B R' B F'
B' U' R' L F' L B
B' U' R' L' B L' F'
B' U' R' L2 D F' B
B' U' R' L2 D B F'
B' U' R' L2 D' F' B
B' U' R' L2 D' B F'
B' U' R' L2 D2 F' B
B' U' R' L2 D2 B F'
B' U' R' L2 F' D B
B' U' R' L2 F' D' B
B' U' R' L2 F' D2 B
B' U' R' L2 F' B D
B' U' R' L2 F' B D'
B' U' R' L2 F' B D2
B' U' R' L2 B D F'
B' U' R' L2 B D' F'
B' U' R' L2 B D2 F'
B' U' R' L2 B F' D
B' U' R' L2 B F' D'
B' U' R' L2 B F' D2
B2 U' R' L2 F' B R'
B2 U' R' L2 B F' R'
B' U' R' F L2 F2 B
B' U' R' F L2 B F2
B' U' R' F B L2 F2
B' U' R' F' L' B L'
B' U' R' F' L2 D B
B' U' R' F' L2 D' B
B' U' R' F' L2 D2 B
B' U' R' F' L2 B D
B' U' R' F' L2 B D'
B' U' R' F' L2 B D2
B' U' R' F' B L2 D
B' U' R' F' B L2 D'
B' U' R' F' B L2 D2
B' U' R' F' B' L2 B2
B' U' R' B L F' L
B' U' R' B L2 D F'
B' U' R' B L2 D' F'
B' U' R' B L2 D2 F'
B' U' R' B L2 F' D
B' U' R' B L2 F' D'
B' U' R' B L2 F' D2
B' U' R' B F L2 F2
B' U' R' B F' L2 D
B' U' R' B F' L2 D'
B' U' R' B F' L2 D2
B' U' R' B' L2 F' B2
B' U' R' B' L2 B2 F'
B' U' R' B' F' L2 B2
B2 U' R' F' L2 B R'
B2 U' R' F' B L2 R'
B2 U' R' F' B R' L2
B2 U' R' B L2 F' R'
B2 U' R' B F' L2 R'
B2 U' R' B F' R' L2
B' U' F L2 R' F' B
B' U' F L2 R' B F'
B' U' F R' L2 F' B
B' U' F R' L2 B F'
B' U' F R' F' L2 B
B' U' F R' F' B L2
B' U' F R' B L2 F'
B' U' F R' B F' L2
B' U' F' L2 R' F' B
B' U' F' L2 R' B F'
B' U' F' R' L2 F' B
B' U' F' R' L2 B F'
B' U' F' R' F' L2 B
B' U' F' R' F' B L2
B' U' F' R' B L2 F'
B' U' F' R' B F' L2
B' U' F2 L2 R' F' B
B' U' F2 L2 R' B F'
B' U' F2 R' L2 F' B
B' U' F2 R' L2 B F'
B' U' F2 R' F' L2 B
B' U' F2 R' F' B L2
B' U' F2 R' B L2 F'
B' U' F2 R' B F' L2
B2 U' B L2 R' F' B
B2 U' B L2 R' B F'
B2 U' B R' L2 F' B
B2 U' B R' L2 B F'
B2 U' B R' F' L2 B
B2 U' B R' F' B L2
B2 U' B R' B L2 F'
B2 U' B R' B F' L2
B U' B2 L2 R' F' B
B U' B2 L2 R' B F'
B U' B2 R' L2 F' B
B U' B2 R' L2 B F'
B U' B2 R' F' L2 B
B U' B2 R' F' B L2
B U' B2 R' B L2 F'
B U' B2 R' B F' L2
L2 F B' R' D' F2 B
L2 F B' R' D' B F2
L2 F B' R' B D' F2
R' B L2 F2 D R F'
B' F L2 R' D' F2 B
B' F L2 R' D' B F2
B' F L2 R' B D' F2
B' F R U L2 R2 B
B' F R U R2 L2 B
B' F R U R2 B L2
B' F R' L2 D' F2 B
B' F R' L2 D' B F2
B' F R' L2 B D' F2
B' F R' B L2 D' F2
B' F' L' U' L' R' B
B' F' L' U' R' L' B
B' F' L' U' R' B L'
F' B' L' U' L' R' B
F' B' L' U' R' L' B
F' B' L' U' R' B L'
R' B' U' L2 R' F' B2
R' B' U' L2 R' B2 F'
R' B' U' R' L2 F' B2
R' B' U' R' L2 B2 F'
R' B' U' R' F' L2 B2
R' B' U' R' F' B2 L2
R' B' U' R' B2 L2 F'
R' B' U' R' B2 F' L2
L' B' U' L' R' F' B
L' B' U' L' R' B F'
L' B' U' R' L' F' B
L' B' U' R' L' B F'
L' B' U' R' B L' F'
F B' L2 R' D' F2 B
F B' L2 R' D' B F2
F B' L2 R' B D' F2
F B' R U L2 R2 B
F B' R U R2 L2 B
F B' R U R2 B L2
F B' R' L2 D' F2 B
F B' R' L2 D' B F2
F B' R' L2 B D' F2
F B' R' B L2 D' F2
L2 B' F R' D' F2 B
L2 B' F R' D' B F2
L2 B' F R' B D' F2
