R' F2 U' F' L' U'
F L U' F B2 L B'
F L U' B2 F L B'
R' L F2 U2 D F' R
R' L F2 D U2 F' R
F L B2 U' F L B'
F2 L' R' D B' L U2
L R' F2 U2 D F' R
L R' F2 D U2 F' R
L' U R' F2 B' U2 R'
L' U R' B' F2 U2 R'
R' U D' L2 B' R' U
L' U F2 R' B' U2 R'
F2 R' L' D B' L U2
D' R' U L2 B' R' U
F2 R' U B' R' B U
F2 R' U2 D' R' F' R
U2 R' U2 F' D R2 B
F2 R' D L' B' L U2
F2 R' D B U2 R' F'
F2 R' D B' L U2 F
F2 R' D' U2 R' F' R
F R' F U' F' L' U'
U2 R' F2 U' F' U' F2
U2 R' F2 U2 F D R2
R' U2 R' F' D R2 B
D R2 F L U' F L'
D2 U F U' B2 L F
R' D' U L2 B' R' U
F2 U' F' L' U R' U2
F2 U' F' L' B2 U' L
F2 U' F' B2 L' U' L2
F2 U' B2 F' L' U' L2
U D2 F U' B2 L F
D2 F L U' F B2 L
D2 F L U' B2 F L
U F U R' F U2 F2
U F U F R' U2 F'
F' D R' U2 R' F' B
F' D R' U2 R' B F'
F' D F' R' U2 R' F'
F' D B R2 B L F
F' D B2 L R2 F B
F' D B2 L R2 B F
F' D B2 R2 L F B
F' D B2 R2 L B F
B2 D' L2 B' U L' F
D F' D B2 L R2 F
D F' D B2 L F R2
D F' D B2 R2 L F
D2 F' B2 L D R2 F
D2 F' B2 L D F R2
D2 F' B2 D L R2 F
D2 F' B2 D L F R2
D2 F' B2 D R2 L F
R' F2 L U' F' U' F2
R' F2 L U2 F D R2
R' F2 L' B' U' F' U'
U2 F2 R' U2 D' F' R
U2 F2 R' D' U2 F' R
R' F2 U' L F' L' U'
R' F2 U' L' F' L' U'
R' F2 U' L2 F' L' U'
R' F2 U' D F' L' U'
R' F2 U' D' F' L' U'
R' F2 U' D2 F' L' U'
R' F2 U' F' L' U' D
R' F2 U' F' L' U' D'
R' F2 U' F' L' U' D2
R' F2 U' F' L' D U'
R' F2 U' F' L' D' U'
R' F2 U' F' L' D2 U'
R' F2 U' F' D L' U'
R' F2 U' F' D' L' U'
R' F2 U' F' D2 L' U'
R' F2 U2 R' D' F' R
R' F2 D U' F' L' U'
R' F2 D' U' F' L' U'
R' F2 D2 U' F' L' U'
R' F2 B U' F' L' U'
R' F2 B' U' F' L' U'
D2 F2 B2 L F D R2
R' F2 B2 U' F' L' U'
B2 F L2 U' B' L' F
R' B F2 U' F' L' U'
F2 B U' F' L' B' U'
F' B D R2 B L F
B2 F' L D R2 F B
B2 F' L D R2 B F
R' B' F2 U' F' L' U'
B2 F' D L R2 F B
B2 F' D L R2 B F
D2 B2 L D F' R F2
B2 F' D R2 L F B
B2 F' D R2 L B F
D2 B2 L F2 D F' R
B F' D R2 B L F
D' B2 L2 B' U L' F
F' B2 L D R2 F B
F' B2 L D R2 B F
B2 F2 L F D R2 B
F2 B2 L F D R2 B
D2 B2 U F U' L F
F B2 L2 U' B' L' F
B2 F2 U' F' L' U' L2
F2 B2 U' F' L' U' L2
B F2 U' F' L' B' U'
F' B2 D L R2 F B
F' B2 D L R2 B F
F' B2 D R2 L F B
F' B2 D R2 L B F
D2 B2 F' L D R2 F
D2 B2 F' L D F R2
D2 B2 F' D L R2 F
D2 B2 F' D L F R2
D2 B2 F' D R2 L F
D2 B2 F2 L F D R2
R' B2 F2 U' F' L' U'
