B R D L F B'
B R D L B' F
R U' L F R U
B D L R F B'
B D L R B' F
B D L B' R F
B D R L F B'
B D R L B' F
L B U R F L
R B D L F B'
R B D L B' F
R' L U R2 D' F L'
R2 L U R' F D' L2
U' L R F R U R'
U' L R' F R U R
U' L R2 F R U R2
B L R2 D' R' F B
B L R2 D' R' B F
B L R2 D' F R' B
B L R2 F D' R' B
U L U R' F' L' R2
U L U R' F' R2 L'
B L D' R F D2 B2
B L D' R' F B R2
B L D' R' B R2 F
B L D' R' B F R2
R' L B U R2 F L
R' L B U F L R2
R' L B U F R2 L
D2 L B U R F L
D' L B U R F L
B L B R D F B2
B L B R D B2 F
B L B R F D B2
D L B U R F L
L R' U R2 D' F L'
U L B' R' F' U R2
F2 L' D F2 B' R' U2
F2 L' D B' R' F2 U2
F2 L' D B' F2 R' U2
L R' B U R2 F L
L R' B U F L R2
L R' B U F R2 L
F2 L' D' B' R' U2 B'
L R2 U R' F D' L2
F2 L' B' R' U L2 U
F2 L' B' R' U2 D' B2
F2 L' B' R' D F2 U2
F2 L' B' R' D' U2 B2
F2 L' B' U2 D' B2 L
F2 L' B' D R' F2 U2
F2 L' B' D F2 R' U2
F2 L' B' D' R' U2 B2
F2 L' B' D' U2 B2 L
R2 U L U R' F' L'
L U R U B U' F
L U R F U B U'
L U R' F R2 D' L2
L U R2 D' R' F L'
L U R2 D' F L' R'
L U R2 D' F R' L'
U' R L F R U R'
D2 R U' L F R U
D' R U' L F R U
D R U' L F R U
B R D L D F B'
B R D L D B' F
B R D L D' F B'
B R D L D' B' F
B R D L D2 F B'
B R D L D2 B' F
B R D L D2 B' F
B R D L F D B'
B R D L F D' B'
B R D L F D2 B'
B R D L F B' D
B R D L F B' D'
B R D L F B' D2
B R D L B' D F
B R D L B' D' F
B R D L B' D2 F
B R D L B' F D
B R D L B' F D'
B R D L B' F D2
B R D F L F B'
B R D F L B' F
B R D F' L F B'
B R D F' L B' F
B R D F2 L F B'
B R D F2 L B' F
R' U' L F R U R
R U' L R F R U
R U' L R' F R U
R U' L R2 F R U
R2 U' L F R U R2
R U' L D F R U
R U' L D' F R U
R U' L D2 F R U
R U' L F R U D
R U' L F R U D'
R U' L F R U D2
R U' L F R D U
R U' L F R D' U
R U' L F R D2 U
R U' L F D R U
R U' L F D' R U
R U' L F D2 R U
B R F D L F B'
B R F D L B' F
B R F' D L F B'
B R F' D L B' F
R U' R L F R U
B R F2 D L F B'
B R F2 D L B' F
R U' R' L F R U
D2 R B D L F B'
D2 R B D L B' F
D' R B D L F B'
D' R B D L B' F
B2 R B D B2 L F
D R B D L F B'
D R B D L B' F
B2 R B' L D F B2
B2 R B' L D B2 F
B2 R B' L F D B2
R U' R2 L F R U
B2 R B' D L F B2
B2 R B' D L B2 F
R U' D L F R U
R U' D' L F R U
U' R' L F R U R
R U' D2 L F R U
R U' F L R F U
R U' F R L F U
U2 R' F' L' R2 D' B2
U2 R' F' R2 L' D' B2
R2 U2 R' F' L' D' B2
U' R2 L F R U R2
B R2 L D' R' F B
B R2 L D' R' B F
B R2 L D' F R' B
B R2 L F D' R' B
B R2 D L R' F B'
B R2 D L R' B' F
B R2 D L F R' B'
B R2 D R' L F B'
B R2 D R' L B' F
B R2 D' L R' F B
B R2 D' L R' B F
B R2 D' L F R' B
B R2 D' R' L F B
B R2 D' R' L B F
R D U' L F R U
L' D F2 B' L' R' U2
L' D F2 B' R' L' U2
L' D B' R' F2 U2 R2
L D B U R F L
L' D B' F2 L' R' U2
L' D B' F2 R' L' U2
R D B D L F B'
R D B D L B' F
F' U' L F R B U
R D' U' L F R U
L' D' B' R' U2 R2 B'
L' D' B' R' U2 B' R2
L D' B U R F L
R D' B D L F B'
R D' B D L B' F
R D2 U' L F R U
L D2 B U R F L
R D2 B D L F B'
R D2 B D L B' F
B D L R D F B'
B D L R D B' F
B D L R D' F B'
B D L R D' B' F
B D L R D2 F B'
B D L R D2 B' F
B D L R F D B'
B D L R F D' B'
B D L R F D2 B'
B D L R F B' D
B D L R F B' D'
B D L R F B' D2
B D L R B' D F
B D L R B' D' F
B D L R B' D2 F
B D L R B' F D
B D L R B' F D'
B D L R B' F D2
B D L R' F R2 B'
B D L R' F B' R2
B D L R' B' R2 F
B D L R' B' F R2
B D L R2 F R' B'
R F U' L F R U
B D L D R F B'
B D L D R B' F
B D L D B' R F
B D L D' R F B'
B D L D' R B' F
B D L D' B' R F
B D L D2 R F B'
B D L D2 R B' F
B D L D2 B' R F
B D L B R F B2
B D L B R B2 F
B D L B' R D F
B D L B' R D' F
B D L B' R D2 F
B D L B' R F D
B D L B' R F D'
B D L B' R F D2
B D L B' R' F R2
B D L B' R2 F R'
B D L B' D R F
B D L B' D' R F
B D L B' D2 R F
B D R L D F B'
B D R L D B' F
B D R L D' F B'
B D R L D' B' F
B D R L D2 F B'
B D R L D2 B' F
B D R L F D B'
B D R L F D' B'
B D R L F D2 B'
B D R L F B' D
B D R L F B' D'
B D R L F B' D2
B D R L B' D F
B D R L B' D' F
B D R L B' D2 F
B D R L B' F D
B D R L B' F D'
B D R L B' F D2
B D R F L F B'
B D R F L B' F
B D R F' L F B'
B D R F' L B' F
B D R F2 L F B'
B D R F2 L B' F
B D R' L F R2 B'
B D R' L F B' R2
B D R' L B' R2 F
B D R' L B' F R2
B D R2 L F R' B'
R F B D L F B'
R F B D L B' F
B D F' L F R B'
B D F' L F B' R
B D F' L B' F R
B D' L R F D2 B2
B D' L R' F B R2
B D' L R' B R2 F
B D' L R' B F R2
R F' U' L F R U
B D' R L F D2 B2
B D' R' L F B R2
B D' R' L B R2 F
B D' R' L B F R2
R F' B D L F B'
R F' B D L B' F
R F2 U' L F R U
B D2 R D' L F B'
B D2 R D' L B' F
R F2 B D L F B'
R F2 B D L B' F
L2 B L' U R F L2
D2 B R D L F B'
D2 B R D L B' F
D' B R D L F B'
D' B R D L B' F
D B R D L F B'
D B R D L B' F
R' B R2 D L F B'
R' B R2 D L B' F
L B R' U R2 F L
L B R' U F L R2
L B R' U F R2 L
L B R2 U R' F L
L B R2 U F L R'
L B R2 U F R' L
L B U L D2 R F'
L B U R D F L
L B U R D' F L
L B U R D2 F L
L B U R F L D
L B U R F L D'
L B U R F L D2
L B U R F D L
L B U R F D' L
L B U R F D2 L
L B U R F' L F2
L B U R F2 L F'
L B U R' F L R2
L B U R' F R2 L
L B U R2 F L R'
L B U R2 F R' L
L B U D R F L
L B U D' R F L
L B U D2 R F L
D2 B D L R F B'
D2 B D L R B' F
D2 B D L B' R F
D' B D L R F B'
D' B D L R B' F
D' B D L B' R F
D2 B D R L F B'
D2 B D R L B' F
D' B D R L F B'
D' B D R L B' F
R2 B D L F B' R'
R2 B D L B' R' F
R2 B D L B' F R'
D B D L R F B'
D B D L R B' F
D B D L B' R F
D B D R L F B'
D B D R L B' F
L B D U R F L
R B D L D F B'
R B D L D B' F
R B D L D' F B'
R B D L D' B' F
R B D L D2 F B'
R B D L D2 B' F
R B D L F D B'
R B D L F D' B'
R B D L F D2 B'
R B D L F B' D
R B D L F B' D'
R B D L F B' D2
R B D L B' D F
R B D L B' D' F
R B D L B' D2 F
R B D L B' F D
R B D L B' F D'
R B D L B' F D2
R B D F L F B'
R B D F L B' F
R B D F' L F B'
R B D F' L B' F
R B D F2 L F B'
R B D F2 L B' F
L B D' U R F L
L B D2 U R F L
R B F D L F B'
R B F D L B' F
R B F' D L F B'
R B F' D L B' F
F' B D L F R B'
F' B D L F B' R
F' B D L B' F R
R B F2 D L F B'
R B F2 D L B' F
L' B' R' U L2 U R2
L' B' R' U2 R2 D' B2
U' B' U R B L F
L B' U R D2 F L2
L B' U R F D2 L2
L' B' U2 D' B2 L R
L' B' U2 D' B2 R L
L B' U' R' U2 R2 F
L B' U' R' U2 F R2
L' B' D R' F2 U2 R2
L' B' D F2 L' R' U2
L' B' D F2 R' L' U2
L' B' D' R' U2 R2 B2
L' B' D' R' U2 B2 R2
L' B' D' U2 B2 L R
L' B' D' U2 B2 R L
B F' D L F R B'
B F' D L F B' R
B F' D L B' F R
L B2 U R D2 F L'
L B2 U D2 R F L'
L B2 D2 U R F L'
