L2 B' U L B U
U2 L B R' U' L' F
U2 L B2 U' L' F B'
U2 L B2 U' L' B' F
B' L2 B' U L' B2 U
B' L2 B' U B2 L' U
D L2 B' U B L U
R U D F B2 L B'
R U D B2 F L B'
R U F D B2 L B'
D' R U F D2 B2 L
D R U F B2 L B'
U R U D' R' F B
U R U D' R' B F
U R U D' F R' B
D R U B2 F L B'
U R U F D' R' B
D' R U' F' R' U2 F2
L' U B' L R' U R
L' U B' R' L U R
U R D' U R' F B
U R D' U R' B F
U R D' U F R' B
R' U' D' R F' U2 F2
R U' D' R' U2 F B
R U' D' R' U2 B F
D' R' U F2 L' F' B
D' R' U F2 L' B F'
D' R' U F2 B L' F'
D' R' U B F2 L' F'
D' R' F2 U L' F' B
D' R' F2 U L' B F'
D2 R' F2 U L' F' B'
D2 R' F2 U L' B' F'
D' R' F2 U B L' F'
U R' B2 U R F B
U R' B2 U R B F
R D U F B2 L B'
B' U L D' B R' U
R D U B2 F L B'
U2 D L U' B' L' F
D' U R' U B R F
B2 U R B2 U F B'
B2 U R B2 U B' F
D2 U F U' L' F' U
R2 D' R' F2 U F' B
R2 D' R' F2 U B F'
R' D' U' R F' U2 F2
B2 U B2 R U F B
B2 U B2 R U B F
R D' U' R' U2 F B
R D' U' R' U2 B F
U D' R' U B R F
U2 D' F R' D B R'
B U' R' U2 B' U F
D U2 L U' B' L' F
B' U2 L B U L' F
D' U2 F R' D B R'
U D2 F U' L' F' U
R' D2 F2 U L' F' B'
R' D2 F2 U L' B' F'
B' U2 F U' L B U
U2 F U D2 F' R U'
U F U R2 B R' U'
B2 D L2 B' U' R' U'
U2 F D' R' D B R'
U2 F D2 U F' R U'
U2 F B U F' R' U'
L2 F B' U L B U
U F B' U' L F' U
U F B' U' F' L U
D' F' R' U F2 L' B
D' F' R' U F2 B L'
D' F' R' U B F2 L'
L2 F' B' U L B U
L2 F2 B' U L B U
U2 B L R' U' L' F
U2 B L2 R' U' L2 F
U2 B R' L U' L' F
U2 B R' L2 U' L2 F
U' B U' R' B' U' F
U2 B F U F' R' U'
L2 B' L U B U B'
L2 B' L' U L2 B U
L2 B' L' U B L2 U
L2 B' L2 U L' B U
L2 B' L2 U B L' U
L2 B' U L D B U
L2 B' U L D' B U
L2 B' U L D2 B U
L2 B' U L B U D
L2 B' U L B U D'
L2 B' U L B U D2
L2 B' U L B D U
L2 B' U L B D' U
L2 B' U L B D2 U
L2 B' U L' B L2 U
L2 B' U L2 B L' U
L2 B' U D L B U
L2 B' U D' L B U
L2 B' U D2 L B U
L2 B' D U L B U
B' F' U L B U F2
L2 B' D' U L B U
F' B' U L B U F2
F2 B' U L B U F'
L2 B' D2 U L B U
L2 B' F U L B U
L2 B' F' U L B U
U B' F U' L F' U
U B' F U' F' L U
L2 B' F2 U L B U
U2 B2 L U' L' F B'
U2 B2 L U' L' B' F
U B2 R' U R F B
U B2 R' U R B F
B' F2 U L B U F'
