F2 U2 F L U F
F' L R U' B L U2
L R U D R2 F' L'
R L U D R2 F' L'
F' L R' U D' F' R
F' L R' D' U F' R
F' L R2 D B R' U
F' L R2 B R U F'
L R D U R2 F' L'
R L D U R2 F' L'
F' L U2 L F' U' F2
F' L U2 F' L U' F
U2 L D F' U R2 F2
U2 L D F' U F2 R2
U2 L D2 F' B2 U F2
U2 L D2 B2 F' U F2
D2 L F' R' B2 U F'
D L F' R' U F' R'
U2 L F' R2 B U F2
U2 L F' U2 F' U' F'
U' L F' U2 F' L' U'
U2 L F' D R2 B U
U L F' U2 L' F' U'
D2 L F' B2 R' U F'
D2 L B2 F' R' U F'
L2 R2 F2 B R U' F'
R2 L2 F2 B R U' F'
L2 R2 B F2 R U' F'
R2 L2 B F2 R U' F'
F' R L U' B L U2
F' R' L U D' F' R
F' R' L D' U F' R
F2 R' U2 F L U F2
F' R' D' L U F' R
F' R' D2 L B' U F'
B2 R' F2 U' D' F L'
B2 R' F2 D' U' F L'
F' R2 L D B R' U
F' R2 L B R U F'
F' R2 D L B R' U
R D L U R2 F' L'
B2 R2 B R F2 U' F
U2 D L F' U R2 F2
U2 D L F' U F2 R2
L D F' R' U F' R'
U2 D F' L U R2 F
U2 D F' L U F R2
D2 U2 L F' B2 U F2
D2 U2 L B2 F' U F2
U2 D2 L F' B2 U F2
U2 D2 L B2 F' U F2
D U2 L F' U R2 F2
D U2 L F' U F2 R2
F2 U2 L U D F L'
F2 U2 L D U F L'
D2 U2 F' L B2 U F
U2 D2 F' L B2 U F
D U2 F' L U R2 F
D U2 F' L U F R2
F2 U2 R F L U F
L D2 F' R' B2 U F'
L D2 F' B2 R' U F'
F2 U2 R' F L U F
F2 U2 R2 F L U F
F2 U2 D F L U F
F2 U2 D' F L U F
F2 U2 D2 F L U F
L D2 B2 F' R' U F'
F2 U2 F L R U F
F2 U2 F L R' U F
F2 U2 F L R2 U F
F2 U2 F L U D F
F2 U2 F L U D' F
F2 U2 F L U D2 F
F2 U2 F L U F D
F2 U2 F L U F D'
F2 U2 F L U F D2
F2 U2 F L D U F
F2 U2 F L D' U F
F2 U2 F L D2 U F
F2 U2 F R L U F
F2 U2 F R' L U F
F2 U2 F R2 L U F
F2 U2 F D L U F
F2 U2 F D' L U F
F2 U2 F D2 L U F
F2 U2 F' L F2 U F'
F2 U2 F2 L F' U F2
D2 F' L R' B2 U F'
U' F' L U2 F' L' U'
U2 F' L R U F R
U2 F' L R2 B U F
D2 F' L B2 R' U F'
U2 F' L U F D R2
U2 F' L U2 F' U' F2
D F' L R' U F' R'
F2 D U2 F L U F
U F' L U2 L2 F' U'
U F' L U2 F' L2 U'
U F' L D2 R2 B U
U2 F' R L U F R
D2 F' R' L B2 U F'
L F' R U' B L U2
D F' R' L U F' R'
U2 F' R2 L B U F
L F' R' U D' F' R
L F' R' D' U F' R
L F' R2 D B R' U
L F' R2 B R U F'
L F' U2 L F' U' F2
L F' U2 F' L U' F
F2 D' U2 F L U F
U' F2 U2 F L R U
U' F2 U2 F R L U
R' F2 B2 R' B U' F
F2 D2 U2 F L U F
F D2 F B2 R' U' F'
F D2 B2 R' F U' F2
F D2 B2 F R' U' F'
F2 B' L2 B' R' U' F'
B2 F2 L' R' U' F' L'
F2 B2 L' R' U' F' L'
B2 F2 L2 R' B' U' F'
B' F2 L2 B' R' U' F'
F2 B2 L2 R' B' U' F'
B2 F2 R' L' U' F' L'
B2 F2 R' L2 B' U' F'
F2 B2 R' L' U' F' L'
B2 F2 R' U' F' D' L2
F2 B2 R' L2 B' U' F'
B2 F2 R' U2 F U F2
F2 B2 R' U' F' D' L2
F2 B2 R' U2 F U F2
R' B2 F2 R' B U' F
