F' D' L' F2 R B
F R2 U' R' U2 B R
F' U2 D' L' F2 R B'
F' U2 D' L' F2 B' R
F' U2 D' L' B' F2 R
R2 F U R F' U2 F
R2 F U' R F' U2 R'
F' D B2 U2 L' R2 B'
F' D B2 U2 L' B' R2
F' D B2 U2 R2 L' B'
F' D' L' R F2 B R
F' D' L' R B F2 R
F' D' L' F2 R D B
F' D' L' F2 R D' B
F' D' L' F2 R D2 B
F' D' L' F2 R B D
F' D' L' F2 R B D'
F' D' L' F2 R B D2
F' D' L' F2 D R B
F' D' L' F2 D' R B
F' D' L' F2 D2 R B
F' D' L' F2 B R B
F' D' L' F2 B' R B
F' D' L' F2 B2 R B
F' D' L' B F2 R B
F' D' L' B' F2 R B
F' D' L' B2 F2 R B
F' D' R L' F2 B R
F' D' R L' B F2 R
F' D' R B L' F2 R
F' D' U2 L' F2 R B'
F' D' U2 L' F2 B' R
F' D' U2 L' B' F2 R
F' D' B L' F2 R B
F' D' B' L' F2 R B
F' D' B2 L' F2 R B
F' B D' L' F2 R B
B' F' D' L' F2 R B
F' B' D' L' F2 R B
B2 F' D' L' F2 R B
B F' D' L' F2 R B
F' B2 D' L' F2 R B
