L' U B' R' U' F'
D2 L' U B' R' U' F'
D' L' U B' R' U' F'
B2 L' U B' L R' U'
B2 L' U B' R' L U'
D L' U B' R' U' F'
B L' U B' L2 R' U'
B L' U B' R' L2 U'
B2 L2 D F B' L' F
B2 L2 D B' L' F L'
B2 L2 D B' F L' F
B L2 D' B' L D F2
U' L2 F' U B' L' F
B2 L2 B' U L B' U'
B' L2 B' D L' F L'
B' L2 B' D F L' F
L' U D B' R' U' F'
L' U D' B' R' U' F'
L' U D2 B' R' U' F'
L' U B' L R' U' F'
L' U B' L' R' U' F'
L' U B' L2 R' U' F'
L' U B' R' L U' F'
L' U B' R' L' U' F'
L' U B' R' L2 U' F'
L' U B' R' U' D F'
L' U B' R' U' D' F'
L' U B' R' U' D2 F'
L' U B' R' U' F' D
L' U B' R' U' F' D'
L' U B' R' U' F' D2
L' U B' R' D U' F'
L' U B' R' D' U' F'
L' U B' R' D2 U' F'
L' U B' D R' U' F'
L' U B' D' R' U' F'
L' U B' D2 R' U' F'
L U' F L U F B'
L U' F L U B' F
U2 R' F U R F2 U
U2 R2 F U R F' U
L' D U B' R' U' F'
B U L B U' L B'
L' D' U B' R' U' F'
L2 D' B' L U' R' U
L2 D' B' U' R' U L
L' D2 U B' R' U' F'
U2 F R' U F' R2 U
U2 F U R F' U L'
L' F U B' R' U' F'
B2 D L2 D' B' L F
U' F' L U F L2 B'
L' F' U B' R' U' F'
L' F2 U B' R' U' F'
L' B L' D F2 B' L2
L' B L' D B' L2 F2
L' B L' D B' F2 L2
L2 B U L B' U' B'
L2 B' L' U' R' F U
L2 B' L' U' F R' U
L2 B' U B2 L B' U'
L2 B2 D L' F L' B
L2 B2 D L' F B L'
L2 B2 D L' B F L'
L2 B2 D F L' F B
L2 B2 D F L' B F
L2 B2 D F B L' F
L2 B2 D B L' F L'
L2 B2 D B F L' F
