L2 R2 D B R F'
R2 L2 D B R F'
L2 R2 B D R F'
R2 L2 B D R F'
F' U R U L2 R2
F' U R U R2 L2
F2 U' L2 R' F' B'
F2 U' L2 R' B' F'
F2 U' R' L2 F' B'
F2 U' R' L2 B' F'
F' U2 L2 R' D' F2
F' U2 R' L2 D' F2
R2 B L2 D R F'
F2 L U L R' F B'
F2 L U L R' B' F
F2 L U L F R' B'
F' L U R U L R2
F' L U R U R2 L
F2 L U R' L F B'
F2 L U R' L B' F
R2 L D L B R F'
F2 L U' L R' F' B'
F2 L U' L R' B' F'
F2 L U' R' L F' B'
F2 L U' R' L B' F'
F2 L U' R' F' L B'
F' L U2 L R' D' F2
F' L U2 R' L D' F2
F' L U2 R' D' L F2
F' L U2 R' D' F2 L
B2 L F' U R U L
R2 L' D L' B R F'
R2 L' D B L' R F'
R2 L' D B R L' F'
R2 L' D' L' B R F
R2 L' D' B L' R F
R2 L' D' B R L' F
F' L' U R U L' R2
F' L' U R U R2 L'
F L' U F2 R U2 R2
F L' U' L' R' D2 B2
F L' U' L' D2 R' B2
F L' U' R' L' D2 B2
F L' U' R' D2 L' B2
F L' U' R' D2 B2 L'
F L' U' D2 L' R' B2
F L' U' D2 R' L' B2
F L' U' D2 R' B2 L'
F' L' U2 L' R' D' F2
F' L' U2 R' L' D' F2
F' L' U2 R' D' L' F2
F L' D R2 U' L' R
F L' D R2 U' R L'
R2 L' B L' D R F'
R2 L' B R D' L' F
R2 L' B D L' R F'
R2 L' B D R L' F'
R2 L' B D' L' R F
R2 L' B D' R L' F
F L' D2 U' L' R' B2
F L' D2 U' R' L' B2
F L' D2 U' R' B2 L'
L' R2 D L' B R F'
L R2 D L B R F'
L' R2 D B L' R F'
L' R2 D B R L' F'
L' R2 D' L' B R F
L2 R2 D B R D F'
L2 R2 D B R D' F'
L2 R2 D B R D2 F'
L2 R2 D B R F' D
L2 R2 D B R F' D'
L2 R2 D B R F' D2
R2 L2 D B R D F'
R2 L2 D B R D' F'
R2 L2 D B R D2 F'
R2 L2 D B R F' D
R2 L2 D B R F' D'
R2 L2 D B R F' D2
L2 R2 D B' R F' B2
L2 R2 D B' R B2 F'
R2 L2 D B' R F' B2
R2 L2 D B' R B2 F'
