D' L B' U' R U' L
F2 L' D' F R B2 U
F2 L' D' F B2 R U
F2 L' D' B2 F R U
F2 L' D2 F R U R
F2 L' F R U D2 R2
F2 L' F R U' L2 U2
F2 L' F R D' B2 U
F2 L' F R D2 U R2
F2 L' F D' R B2 U
F2 L' F D' B2 R U
F2 L' F D2 R U R
R U D' L B' U2 L
D' R U L B' U2 L
L U' R D2 B' L U'
L U' D R B' U' F'
L U' D B' R U' F'
L U' D2 R B' L U'
L U' D2 B' L R U'
L U' D2 B' R L U'
L U' B' D R U' F'
L D U' R B' U' F'
L D U' B' R U' F'
R' D' L F2 B' U2 L
R' D' L B' F2 U2 L
R D' U L B' U2 L
R' D' F2 L B' U2 L
L D2 U' R B' L U'
L D2 U' B' L R U'
L D2 U' B' R L U'
B2 F2 L' F R U R2
F2 B2 L' F R U R2
