R2 U F' L' B U
R2 U F' B L' U
R2 U B F' L' U
U' D F' B R' U'
U' D B F' R' U'
U' D' F' B R U'
D' U' F' B R U'
D U' F' B R' U'
U' D' B F' R U'
D' U' B F' R U'
D U' B F' R' U'
U' F' R' U' B L
U' F' D B R' U'
U' F' B R' U' B
U' B D' F' R U'
U' B F' R' U' B
R2 L U F' L' B U
R2 L U F' B L' U
R2 L U B F' L' U
D' L U' F' B R U'
D2 L U' F' B U' B2
D L U' F' B R' U'
D' L U' B F' R U'
D2 L U' B F' U' B2
D L U' B F' R' U'
R2 L' U F' L' B U
R2 L' U F' B L' U
R2 L' U B F' L' U
D' L' U' F' B R U'
D' L' U' B F' R U'
D L' U' F' B R' U'
D L' U' B F' R' U'
D2 L' F U' F2 B U'
D2 L' F U' B F2 U'
L' R2 U F' L' B U
L' R2 U F' B L' U
L' R2 U B F' L' U
L2 R2 U F' L' B U
R2 L2 U F' L' B U
L R2 U F' L' B U
L2 R2 U F' B L' U
R2 L2 U F' B L' U
L R2 U F' B L' U
L2 R2 U B F' L' U
R2 L2 U B F' L' U
L R2 U B F' L' U
D' L2 U' F' B R U'
D' L2 U' B F' R U'
D L2 U' F' B R' U'
D L2 U' B F' R' U'
B L2 D' F' R U' F2
R2 U L F' L' B U
R2 U L F' B L' U
R2 U L B F' L' U
R2 U L' F' L' B U
R2 U L' F' B L' U
R2 U L' B F' L' U
R2 U L2 F' L' B U
R2 U L2 F' B L' U
B L2 F' R' U' F2 B
B L2 F' R' U' B F2
R2 U L2 B F' L' U
R2 U D F' L' B U
R2 U D F' B L' U
R2 U D B F' L' U
R2 U D' F' L' B U
R2 U D' F' B L' U
R2 U D' B F' L' U
R2 U D2 F' L' B U
R2 U D2 F' B L' U
R2 U D2 B F' L' U
R2 U F' L B L2 U
R2 U F' L' D B U
R2 U F' L' D' B U
R2 U F' L' D2 B U
R2 U F' L' B U D
R2 U F' L' B U D'
R2 U F' L' B U D2
R2 U F' L' B D U
R2 U F' L' B D' U
R2 U F' L' B D2 U
R2 U F' D L' B U
R2 U F' D B L' U
R2 U F' D' L' B U
R2 U F' D' B L' U
R2 U F' D2 L' B U
R2 U F' D2 B L' U
R2 U F' B L' U D
R2 U F' B L' U D'
R2 U F' B L' U D2
R2 U F' B L' D U
R2 U F' B L' D' U
R2 U F' B L' D2 U
R2 U F' B D L' U
R2 U F' B D' L' U
R2 U F' B D2 L' U
R2 U F' B' L' B2 U
B R U F' B' L' U2
B R U B' F' L' U2
R2 U B L F' L' U
R2 U B L' F' L' U
R2 U B L2 F' L' U
R2 U B D F' L' U
R2 U B D' F' L' U
R2 U B D2 F' L' U
R2 U B F' L' U D
R2 U B F' L' U D'
R2 U B F' L' U D2
R2 U B F' L' D U
R2 U B F' L' D' U
R2 U B F' L' D2 U
R2 U B F' D L' U
R2 U B F' D' L' U
R2 U B F' D2 L' U
R2 U B' F' L' B2 U
F R D' L2 F' R U2
F R D' F' L2 R U2
F R D' F' R L2 U2
L' U' D F' B R' U'
L' U' D B F' R' U'
L2 U' D F' B R' U'
L2 U' D B F' R' U'
L U' D F' B R' U'
L' U' D' F' B R U'
L U' D B F' R' U'
L' U' D' B F' R U'
L2 U' D' F' B R U'
L2 U' D' B F' R U'
L U' D' F' B R U'
L U' D' B F' R U'
L' U' F' R' U' B L
L2 U' F' R' U' B L
L' U' F' D B R' U'
L' U' F' B R' U' B
L2 U' F' D B R' U'
L U' F' R' U' B L
L2 U' F' B R' U' B
L U' F' D B R' U'
L U' F' B R' U' B
U' R' U' D B L R'
U' R' U' D B R' L
L' U' B D' F' R U'
L' U' B F' R' U' B
L2 U' B D' F' R U'
L2 U' B F' R' U' B
L U' B D' F' R U'
L U' B F' R' U' B
B' R' D L2 B R' F'
U' R' D U' B L R'
U' R' D U' B R' L
B' R' D B L2 R' F'
B' R' D B R' L2 F'
B' R' D B R' F' L2
U2 R2 U' F' B L U
U2 R2 U' B L F' U
U2 R2 U' B F' L U
R2 D U F' L' B U
R2 D U F' B L' U
R2 D U B F' L' U
L' D U' F' B R' U'
L' D U' B F' R' U'
L2 D U' F' B R' U'
L2 D U' B F' R' U'
L D U' F' B R' U'
L D U' B F' R' U'
U' D F B R' F2 U'
U' D F' B R' U' D
U' D F' B R' U' D'
U' D F' B R' U' D2
U' D F' B R' D U'
U' D F' B R' D' U'
U' D F' B R' D2 U'
U' D F' B D R' U'
U' D F' B D' R' U'
U' D F' B D2 R' U'
U2 D F' B R' U' F
U' D F2 B R' F U'
U' D B D F' R' U'
U' D B D' F' R' U'
U' D B D2 F' R' U'
U' D B F R' F2 U'
U' D B F' R' U' D
U' D B F' R' U' D'
U' D B F' R' U' D2
U' D B F' R' D U'
U' D B F' R' D' U'
U' D B F' R' D2 U'
U' D B F' D R' U'
U' D B F' D' R' U'
U' D B F' D2 R' U'
U' D B F2 R' F U'
U2 D B F' R' U' F
R2 D' U F' L' B U
R2 D' U F' B L' U
L' D' U' F' B R U'
R2 D' U B F' L' U
L' D' U' B F' R U'
L2 D' U' F' B R U'
L2 D' U' B F' R U'
L D' U' F' B R U'
L D' U' B F' R U'
R D' F' R U B U
F' U' R' U' B L R
F' U' R' U' B R L
D' U' F' D B R U'
U' D' F' D B R U'
U' D' F' D' B R U'
D' U' F' D' B R U'
F2 U' R' F U' B L
U' D' F' D2 B R U'
D' U' F' D2 B R U'
U' D' F' B R U' D
U' D' F' B R U' D'
U' D' F' B R U' D2
U' D' F' B R D U'
U' D' F' B R D' U'
U' D' F' B R D2 U'
D' U' F' B R U' D
D' U' F' B R U' D'
D' U' F' B R U' D2
D' U' F' B R D U'
D' U' F' B R D' U'
D' U' F' B R D2 U'
U' D' F' B D R U'
D' U' F' B D R U'
U' D' F' B D' R U'
D' U' F' B D' R U'
U' D' F' B D2 R U'
D' U' F' B D2 R U'
D2 U' F' D' B R' U'
U' D' F' B' R B2 U'
D' U' F' B' R B2 U'
U' D' F' B2 R B' U'
D' U' F' B2 R B' U'
D U' F B R' F2 U'
U2 D' F' B R U' F
F U' R' F2 U' B L
D U' F' B R' U' D
D U' F' B R' U' D'
D U' F' B R' U' D2
D U' F' B R' D U'
D U' F' B R' D' U'
D U' F' B R' D2 U'
D U' F' B D R' U'
D U' F' B D' R' U'
D U' F' B D2 R' U'
F' U' D B R' U' R
F2 U' D F B R' U'
F2 U' D B R' F U'
F2 U' D B F R' U'
D2 U' B D F' R U'
U' D' B F' R U' D
U' D' B F' R U' D'
U' D' B F' R U' D2
U' D' B F' R D U'
U' D' B F' R D' U'
U' D' B F' R D2 U'
D' U' B F' R U' D
D' U' B F' R U' D'
D' U' B F' R U' D2
D' U' B F' R D U'
D' U' B F' R D' U'
D' U' B F' R D2 U'
U' D' B F' D R U'
U' D' B F' D' R U'
U' D' B F' D2 R U'
D' U' B F' D R U'
D' U' B F' D' R U'
D' U' B F' D2 R U'
D U' F2 B R' F U'
U2 D' B F' R U' F
U' D' B' F' R B2 U'
D' U' B' F' R B2 U'
F U' D B R' U' R'
D U' B D F' R' U'
D U' B D' F' R' U'
D U' B D2 F' R' U'
D U' B F R' F2 U'
D U' B F' R' U' D
D U' B F' R' U' D'
D U' B F' R' U' D2
D U' B F' R' D U'
D U' B F' R' D' U'
D U' B F' R' D2 U'
D U' B F' D R' U'
D U' B F' D' R' U'
D U' B F' D2 R' U'
D U' B F2 R' F U'
D' U' B2 F' R B' U'
U' D' B2 F' R B' U'
F2 U' F R' U' B L
F2 U' F D B R' U'
F2 U' F B R' U' B
F' U' B R' U' B R
F2 U' B R' F U' B
F U' F2 R' U' B L
F U' F2 D B R' U'
F2 U' B F R' U' B
F U' F2 B R' U' B
F U' B R' F2 U' B
F U' B F2 R' U' B
R2 D2 U F' L' B U
R2 D2 U F' B L' U
R2 D2 U B F' L' U
U' D2 F' D' B R' U'
D' U2 F' B R U' F
D U2 F' B R' U' F
U' D2 B D F' R U'
D' U2 B F' R U' F
D U2 B F' R' U' F
U' F R' F2 U' B L
D' F U' F2 B R U'
D' F U' B F2 R U'
D F U' F2 B R' U'
D F U' B R' F2 U'
D F U' B F2 R' U'
U' F D B R' U' R'
U' F B R' F2 U' B
F' D U' B R' U' R
F2 D U' F B R' U'
F2 D U' B R' F U'
F2 D U' B F R' U'
F D U' B R' U' R'
U' F' R' U' L B L
U' F' R' U' L' B L
U' F' R' U' L2 B L
U' F' R' U' D B L
U' F' R' U' D' B L
U' F' R' U' D2 B L
U' F' R' U' B L D
U' F' R' U' B L D'
U' F' R' U' B L D2
U' F' R' U' B D L
U' F' R' U' B D' L
U' F' R' U' B D2 L
U' F' R' D U' B L
U' F' R' D' U' B L
U' F' R' D2 U' B L
F' D B L2 R' U' F
F' D B R' L2 U' F
F' D B R' U B' U2
U2 F' R' U' F B L
U2 F' R' U' B F L
R F' R U F' B U
R F' R U B F' U
R F' R' U' F' B U'
R F' R' U' B F' U'
D' F' U' B R U' R'
D F' U' B R' U' R
U' F' D B R' U' D
U' F' D B R' U' D'
U' F' D B R' U' D2
U' F' D B R' D U'
U' F' D B R' D' U'
U' F' D B R' D2 U'
U' F' D B D R' U'
U' F' D B D' R' U'
U' F' D B D2 R' U'
U2 F' D B R' U' F
B D' L2 F' R U' F2
U' F' B R U F' U2
U' F' B R' U' D B
U' F' B R' U' D' B
U' F' B R' U' D2 B
U' F' B R' U' B D
U' F' B R' U' B D'
U' F' B R' U' B D2
U' F' B R' D U' B
U' F' B R' D' U' B
U' F' B R' D2 U' B
D' F' B L2 R U' F
D' F' B R L2 U' F
D' F' B R U B' U2
U' F' B U' R' B R
U' F' B' R' B2 U' B'
U2 F' B R' U' F B
U2 F' B R' U' B F
D F' B L2 R' U' F
D F' B R' L2 U' F
D F' B R' U B' U2
U' F' B2 R' B' U' B2
B D' F' L2 R U' F
B D' F' R L2 U' F
B D' F' R U B' U2
U' F2 R' F U' B L
D F2 U' F B R' U'
D F2 U' B R' F U'
D F2 U' B F R' U'
U' F2 D F B R' U'
U' F2 D B R' F U'
U' F2 D B F R' U'
U' F2 B R' F U' B
D' B L2 F' R U' F2
U' B R U F' L' U2
U' B R' U' D B R'
U' B R' D U' B R'
D B L2 F' R' U' F2
U' B U' R' D B R'
F' B L2 R' U' F B
F' B L2 R' U' B F
U' B D' F' R U' D
U' B D' F' R U' D'
U' B D' F' R U' D2
U' B D' F' R D U'
U' B D' F' R D' U'
U' B D' F' R D2 U'
U' B D' F' D R U'
U' B D' F' D' R U'
U' B D' F' D2 R U'
F' B R U F' B' U2
F' B R U B' F' U2
U2 B D' F' R U' F
F' B R' L2 U' F B
F' B R' L2 U' B F
F' B R' U B' U2 B2
U' B F R' F2 U' B
F' B R' U' B D2 F2
U' B F' R U F' U2
U' B F' R' U' D B
U' B F' R' U' D' B
U' B F' R' U' D2 B
U' B F' R' U' B D
U' B F' R' U' B D'
U' B F' R' U' B D2
U' B F' R' D U' B
U' B F' R' D' U' B
U' B F' R' D2 U' B
D' B F' L2 R U' F
U' B F' U' R' B R
D' B F' R L2 U' F
D' B F' R U B' U2
U' B F2 R' F U' B
U2 B F' R' U' F B
U2 B F' R' U' B F
D B F' L2 R' U' F
D B F' R' L2 U' F
D B F' R' U B' U2
U2 B' R' D L2 B R'
U2 B' R' D B L2 R'
U2 B' R' D B R' L2
B F' L2 R' U' F B
B F' L2 R' U' B F
B F' R U F' B' U2
B F' R U B' F' U2
B F' R' L2 U' F B
B F' R' L2 U' B F
B F' R' U B' U2 B2
B F' R' U' B D2 F2
U' B' F' R' B2 U' B'
U' B2 D' F' R B' U'
U' B2 D' F' B' R U'
U' B2 D' B' F' R U'
U' B2 F' R' B' U' B2
