F' L U' F L
L F' U' L F2
L F' U' F2 L
F' L U' D F L
F' L U' D' F L
F' L U' D2 F L
F' L U' F L D
F' L U' F L D'
F' L U' F L D2
F' L U' F D L
F' L U' F D' L
F' L U' F D2 L
F' L U' F' L F2
F' L U' F2 L F'
F' L D U' F L
F' L D' U' F L
F' L D2 U' F L
B' L F' U' L F2
B' L F' U' F2 L
B2 L F' U' L F2
B2 L F' U' F2 L
B L F' U' L F2
B L F' U' F2 L
D' L F' B2 U' F2
F L F2 U' L F'
F L F2 U' F' L
D' L B2 F' U' F2
F' L' U B' U2 L'
F' L' U' L2 F L
L U' F L D R2
L U' F D L R2
L U' F D R2 L
L D F' U' L F2
L D F' U' F2 L
L D' F' U' L F2
L D' F' U' F2 L
L D2 F' U' L F2
L D2 F' U' F2 L
F' U2 R' U L2 F'
F' U2 R' U F' L2
L' F' L2 U' F L'
D' F' L B2 U' F
L2 F' L' U' F L
L F' L' U' L2 F2
L F' L' U' F2 L2
L F' L2 U' L' F2
L' F' U' L2 F L'
F' D' L B2 U' F
L F' U' L F2 D
L F' U' L F2 D'
L F' U' L F2 D2
L F' U' L' F2 L2
L F' U' F' L F'
L F' U' F2 L D
L F' U' F2 L D'
L F' U' F2 L D2
L F' U' F2 D L
L F' U' F2 D' L
L F' U' F2 D2 L
L F' D' L2 U' L'
D' F' B2 L U' F
F' D' B2 L U' F
F' B L U' F L
F' B' L U' F L
B' F' L U' F L
B2 F' L U' F L
B F' L U' F L
D' B2 L F' U' F2
F' B2 L U' F L
D' B2 F' L U' F
F' L U R U2 F L
F' L U R' U2 F L
F' L U R2 U2 F L
F' L U B2 R' U2 F
F' L U' R F L R'
F' L U' R F R' L
F' L U' R2 F L R2
F' L U' R2 F R2 L
F' L U' D F L D
F' L U' D F L D'
F' L U' D F L D2
F' L U' D F D L
F' L U' D F D' L
F' L U' D F D2 L
F' L U' D F' L F2
F' L U' D F2 L F'
F' L U' D' F L D
F' L U' D' F L D'
F' L U' D' F L D2
F' L U' D' F D L
F' L U' D' F D' L
F' L U' D' F D2 L
F' L U' D' F' L F2
F' L U' D' F2 L F'
F' L U' D2 F L D
F' L U' D2 F L D'
F' L U' D2 F L D2
F' L U' D2 F D L
F' L U' D2 F D' L
F' L U' D2 F D2 L
F' L U' D2 F' L F2
F' L U' D2 F2 L F'
F' L U' F L2 D L'
F' L U' F L2 D' L'
F' L U' F L2 D2 L'
B' L U' F L D R2
F' L U' F D L D
F' L U' F D L D'
F' L U' F D L D2
F' L U' F D' L D
F' L U' F D' L D'
F' L U' F D' L D2
F' L U' F D2 L D
F' L U' F D2 L D'
F' L U' F D2 L D2
B' L U' F D L R2
B' L U' F D R2 L
F L U' D R2 F L
F L U' D F L R2
F L U' D F R2 L
F' L U' F' L F2 D
F' L U' F' L F2 D'
F' L U' F' L F2 D2
F' L U' F' L' F2 L2
D' L U' F D L2 R2
B2 L U' F L D R2
D' L U' F D R2 L2
B2 L U' F D L R2
B2 L U' F D R2 L
F' L U' F2 L D F'
F' L U' F2 L D' F'
F' L U' F2 L D2 F'
F' L U' F2 L F' D
F' L U' F2 L F' D'
F' L U' F2 L F' D2
F' L U' F2 L' F' L2
F' L U' F2 D L F'
B L U' F L D R2
F' L U' F2 D F' L
F' L U' F2 D' L F'
F' L U' F2 D' F' L
F' L U' F2 D2 L F'
F' L U' F2 D2 F' L
B L U' F D L R2
B L U' F D R2 L
F' L U2 R U F L
F' L U2 R' U F L
F' L U2 R2 U F L
F' L U2 F' U L F2
F' L U2 F' U F2 L
F' L U2 F2 U L F'
F' L U2 F2 U F' L
F' L D U' F L D
F' L D U' F L D'
F' L D U' F L D2
F' L D U' F D L
F' L D U' F D' L
F' L D U' F D2 L
F' L D U' F' L F2
F' L D U' F2 L F'
D' L D F' U' L2 F2
D' L D F' U' F2 L2
B' L D F' U' L F2
F L D U' R2 F L
F L D U' F L R2
B' L D F' U' F2 L
F L D U' F R2 L
D2 L D F' B2 U' F2
B2 L D F' U' L F2
B2 L D F' U' F2 L
B L D F' U' L F2
B L D F' U' F2 L
D2 L D B2 F' U' F2
F' L D' U' F L D
F' L D' U' F L D'
F' L D' U' F L D2
F' L D' U' F D L
F' L D' U' F D' L
F' L D' U' F D2 L
F' L D' U' F' L F2
F' L D' U' F2 L F'
B' L D' F' U' L F2
B' L D' F' U' F2 L
D L D' F' U' L2 F2
D L D' F' U' F2 L2
B2 L D' F' U' L F2
B2 L D' F' U' F2 L
B L D' F' U' L F2
B L D' F' U' F2 L
F' L D2 U' F L D
F' L D2 U' F L D'
F' L D2 U' F L D2
F' L D2 U' F D L
F' L D2 U' F D' L
F' L D2 U' F D2 L
F' L D2 U' F' L F2
F' L D2 U' F2 L F'
D2 L D2 F' U' L2 F2
D2 L D2 F' U' F2 L2
B' L D2 F' U' L F2
B' L D2 F' U' F2 L
B2 L D2 F' U' L F2
B2 L D2 F' U' F2 L
D L D2 F' B2 U' F2
B L D2 F' U' L F2
B L D2 F' U' F2 L
D L D2 B2 F' U' F2
D' L F' L B2 U' F2
D' L F' L' B2 U' F2
B' L F' L' U' L2 F2
B' L F' L' U' F2 L2
D' L F' L2 B2 U' F2
B2 L F' L' U' L2 F2
B2 L F' L' U' F2 L2
B' L F' L2 U' L' F2
B2 L F' L2 U' L' F2
B L F' L' U' L2 F2
B L F' L' U' F2 L2
B L F' L2 U' L' F2
D2 L F' U R2 U2 F2
