D2 B' L R' U' R'
D2 B' R' L U' R'
F' L2 U R F U B
L2 U F U2 L' U' B'
L2 U F' R F2 U B
D R F2 B' R' U' F
D2 R B' L R' U' R2
D2 R B' R' L U' R2
D R B' F2 R' U' F
B' R' F L' U L' U2
B' R' F L' F2 U' R
B' R' F D L' F2 U'
B' R' F D2 L' U' R2
B' R' F' D F2 L' U'
B' R2 D R F2 U' F
D R2 F2 B' R' U' F'
D2 R2 B' L R' U' R
D2 R2 B' R' L U' R
D R2 B' R' F2 U' F
D R2 B' F2 R' U' F'
R' D2 B' L R' U' R'
R' D2 B' R' L U' R'
R2 D2 B' L R' U' R'
R2 D2 B' R' L U' R'
R D2 B' L R' U' R'
R D2 B' R' L U' R'
B' D R F2 R2 U' F
B' D R' U' D R2 F'
B' D R' D U' R2 F'
B' D R' F2 U B U2
D2 F B' L R' U' R'
D2 F B' R' L U' R'
B' D F2 R' U B U2
F' D F2 B' L' R' U'
F' D F2 B' R' L' U'
F' D B' F2 L' R' U'
F' D B' F2 R' L' U'
L2 F' U R F2 U B
F D B' L' R' F2 U'
F D B' L' F2 R' U'
F D B' R' L' F2 U'
D2 F' B' L R' U' R'
D2 F' B' R' L U' R'
D F2 R2 B' R' U' F'
D F2 D B' L R' U'
D F2 D B' R' L U'
D2 F2 B' L R' U' R'
D2 F2 B' R' L U' R'
D F2 B' R' U B U2
F2 D2 B' R' U' R' F'
F D2 B' L' R' U' R'
F D2 B' R' L' U' R'
B' F L' R' U L' U2
B' F L' R' F2 U' R
B' F L' F2 R' U' R2
B' F R' L' U L' U2
B' F R' L' F2 U' R
B' F R' D L' F2 U'
B' F R' D2 L' U' R2
D2 B' L R' U' R' D
D2 B' L R' U' R' D'
D2 B' L R' U' R' D2
D2 B' L R' U' D R'
D2 B' L R' U' D' R'
D2 B' L R' U' D2 R'
D2 B' L R' D U' R'
D2 B' L R' D' U' R'
D2 B' L R' D2 U' R'
D2 B' L R' F U' R'
D2 B' L R' F' U' R'
D2 B' L R' F2 U' R'
D2 B' L D' R' F2 U'
D2 B' L D' F2 R' U'
D2 B' L F R' U' R'
D2 B' L F' R' U' R'
D2 B' L F2 R' U' R'
B' F D L' R' F2 U'
B' F D L' F2 R' U'
B' F D R' L' F2 U'
B' F D2 L' R' U' R'
D2 B' R' L U' R' D
D2 B' R' L U' R' D'
D2 B' R' L U' R' D2
D2 B' R' L U' D R'
D2 B' R' L U' D' R'
D2 B' R' L U' D2 R'
D2 B' R' L D U' R'
D2 B' R' L D' U' R'
D2 B' R' L D2 U' R'
D2 B' R' L F U' R'
D2 B' R' L F' U' R'
D2 B' R' L F2 U' R'
B' F D2 R' L' U' R'
D2 B' R' D L U' R'
D2 B' R' D' L U' R'
D2 B' R' D2 L U' R'
D2 B' R' F L U' R'
D2 B' R' F' L U' R'
D2 B' R' F2 L U' R'
D B' R F2 R2 U' F
D B' R' U' D R2 F'
D B' R' D U' R2 F'
D B' R' F2 U B U2
F B' L' R' U L' U2
F B' L' R' F2 U' R
F B' L' F2 R' U' R2
B' F' R' D2 L2 U' R2
F' B' R' D2 L2 U' R2
D2 B' D' L R' F2 U'
D2 B' D' L F2 R' U'
D2 B' D' R' L F2 U'
D2 B' D' R' F2 L U'
D2 B' D' F2 L R' U'
D2 B' D' F2 R' L U'
F B' R' L' U L' U2
F B' R' L' F2 U' R
F B' R' D L' F2 U'
F B' R' D2 L' U' R2
D2 B' F L R' U' R'
D2 B' F R' L U' R'
D2 B' F' L R' U' R'
D2 B' F' R' L U' R'
D2 B' F2 L R' U' R'
D2 B' F2 R' L U' R'
B' F' D F2 L' R' U'
B' F' D F2 R' L' U'
F' B' D F2 L' R' U'
F' B' D F2 R' L' U'
D B' F2 R' U B U2
F B' D L' R' F2 U'
F B' D L' F2 R' U'
F B' D R' L' F2 U'
F2 B' D2 R' U' R' F'
F B' D2 L' R' U' R'
F B' D2 R' L' U' R'
B' F2 D2 R' U' R' F'
