U' R2 B U' F'
B U' R2 B U'
U' L R2 B U' F'
U' L' R2 B U' F'
U' L2 R2 B U' F'
R' U' R' B L U'
B R' U' R' B U'
R2 U' B U' F' B'
R2 U' B U' B' F'
U' R2 L B U' F'
U' R2 L' B U' F'
U' R2 L2 B U' F'
B R2 U' B U' B'
U' R2 D B U' F'
U' R2 D' B U' F'
U' R2 D2 B U' F'
U' R2 B L U' F'
U' R2 B L' U' F'
U' R2 B L2 U' F'
U' R2 B U' D F'
U' R2 B U' D' F'
U' R2 B U' D2 F'
U' R2 B U' F' D
U' R2 B U' F' D'
U' R2 B U' F' D2
U' R2 B D U' F'
U2 R2 B U' F' R2
U' R2 B D' U' F'
U' R2 B D2 U' F'
B U D F' U B2
B U D2 L2 F' U
B U D2 F' L2 U
B U F' U D B2
B U F' U2 R2 U'
B U F' D U B2
B U F' D2 L2 U
B U' R2 D B U'
B U' R2 D' B U'
B U' R2 D2 B U'
B U' R2 B U' D
B U' R2 B U' D'
B U' R2 B U' D'
B U' R2 B U' D2
B U' R2 B D U'
B U' R2 B D' U'
B U' R2 B D2 U'
B U' B R2 B U'
B U' B' R2 B U'
B U' B2 R2 B U'
F' U2 R2 U' F' R2
F D R2 U2 F' B2
F D R2 U2 B2 F'
B D U F' U B2
F D B R2 F' U2
U F' U2 R2 U' F'
B D' F2 U F U
F D' F2 B U2 L2
F D' B F2 U2 L2
D' F2 B U F U
B D2 U L2 F' U
B D2 U F' L2 U
D2 B U L2 F' U
D2 B U F' L2 U
D B U F' U B
D' B F2 U F U
B F D R2 U2 B2
F B D R2 U2 B2
B F D' F2 U2 L2
F B D' F2 U2 L2
U' L R2 D B U' F'
U' L R2 D' B U' F'
U' L R2 D2 B U' F'
U' L R2 B L U' F'
U' L R2 B L' U' F'
U' L R2 B L2 U' F'
U' L R2 B U' D F'
U' L R2 B U' D' F'
U' L R2 B U' D2 F'
U' L R2 B U' F' D
U' L R2 B U' F' D'
U' L R2 B U' F' D2
U' L R2 B D U' F'
U' L R2 B D' U' F'
U' L R2 B D2 U' F'
U2 L R2 B U' F' R2
U2 L U R2 B U' F'
U L U2 R2 B U' F'
R2 L F2 B U' R F
R2 L B U L' U2 F'
R2 L B U' F2 R F
R2 L B F2 U' R F
U L F' U2 R2 U' F'
U' L' R2 D B U' F'
U' L' R2 D' B U' F'
U' L' R2 D2 B U' F'
U' L' R2 B L U' F'
U' L' R2 B L' U' F'
U' L' R2 B L2 U' F'
U' L' R2 B U' D F'
U' L' R2 B U' D' F'
U' L' R2 B U' D2 F'
U' L' R2 B U' F' D
U' L' R2 B U' F' D'
U' L' R2 B U' F' D2
U' L' R2 B D U' F'
U' L' R2 B D' U' F'
U' L' R2 B D2 U' F'
U2 L' R2 B U' F' R2
U2 L' U R2 B U' F'
U L' U2 R2 B U' F'
R2 L' B U' D2 F' R
R2 L' B D2 U' F' R
U L' F' U2 R2 U' F'
L2 R2 D F2 B U' F
R2 L2 D F2 B U' F
L2 R2 D B F2 U' F
R2 L2 D B F2 U' F
L2 R2 D2 B U' F' R2
R2 L2 D2 B U' F' R2
U' L2 R2 D B U' F'
U' L2 R2 D' B U' F'
U' L2 R2 D2 B U' F'
U' L2 R2 B L U' F'
U' L2 R2 B L' U' F'
U' L2 R2 B L2 U' F'
U' L2 R2 B U' D F'
U' L2 R2 B U' D' F'
U' L2 R2 B U' D2 F'
U' L2 R2 B U' F' D
U' L2 R2 B U' F' D'
U' L2 R2 B U' F' D2
U' L2 R2 B D U' F'
U' L2 R2 B D' U' F'
U' L2 R2 B D2 U' F'
U2 L2 R2 B U' F' R2
U2 L2 U R2 B U' F'
L R2 F2 B U' R F
L' R2 B U' D2 F' R
L2 R2 B U L2 U2 F'
L' R2 B D2 U' F' R
R2 L2 B U L2 U2 F'
L2 R2 B U' D2 F' R2
L2 R2 B U' F' D2 R2
L R2 B U L' U2 F'
R2 L2 B U' D2 F' R2
R2 L2 B U' F' D2 R2
L R2 B U' F2 R F
L2 R2 B D F2 U' F
R2 L2 B D F2 U' F
L2 R2 B D2 U' F' R2
R2 L2 B D2 U' F' R2
L R2 B F2 U' R F
U L2 U2 R2 B U' F'
F' L2 D2 L2 U R2 F'
D2 L2 D2 F' U R2 F'
D2 L2 F' U D2 R2 F'
D2 L2 F' U' L2 B U2
D2 L2 F' U' B L2 U2
D2 L2 F' D2 U R2 F'
U L2 F' U2 R2 U' F'
B R U F' U L' B'
B R U' R B U' L
F' R U2 R U' F' R'
B R U' B R U' L
U R U2 R U' F' L'
R' U' L R' B L U'
R' U' L' R' B L U'
R2 U' L B U' F' B'
R2 U' L B U' B' F'
R' U' L2 R' B L U'
R2 U' L' B U' F' B'
R2 U' L' B U' B' F'
R2 U' L2 B U' F' B'
R2 U' L2 B U' B' F'
R' U' R' L B L U'
R' U' R' L' B L U'
R' U' R' L2 B L U'
R' U' R' D B L U'
R' U' R' D' B L U'
R' U' R' D2 B L U'
R' U' R' B L U' D
R' U' R' B L U' D'
R' U' R' B L U' D2
R' U' R' B L D U'
R' U' R' B L D' U'
R' U' R' B L D2 U'
R U' R B U' L F'
R U' R B U' F' L
R' U' R' B D L U'
R' U' R' B D' L U'
R' U' R' B D2 L U'
U' R B R B U' F'
U' R B' R B U' F'
U' R B2 R B U' F'
R2 U' D B U' F' B'
R2 U' D B U' B' F'
R2 U' D' B U' F' B'
R2 U' D' B U' B' F'
R2 U' D2 B U' F' B'
R2 U' D2 B U' B' F'
R2 U' F' U F B U'
R2 U' F' U B F U'
B R' U' R' D B U'
B R' U' R' D' B U'
B R' U' R' D2 B U'
B R' U' R' B U' D
B R' U' R' B U' D'
B R' U' R' B U' D2
B R' U' R' B D U'
B R' U' R' B D' U'
B R' U' R' B D2 U'
R2 U' B U' D F' B'
R2 U' B U' D B' F'
R2 U' B U' D' F' B'
R2 U' B U' D' B' F'
R2 U' B U' D2 F' B'
R2 U' B U' D2 B' F'
R2 U' B U' F' D B'
R2 U' B U' F' D' B'
R2 U' B U' F' D2 B'
R2 U' B U' F' B' D
R2 U' B U' F' B' D'
R2 U' B U' F' B' D2
R2 U' B U' B' D F'
R2 U' B U' B' D' F'
R2 U' B U' B' D2 F'
R2 U' B U' B' F' D
R2 U' B U' B' F' D'
R2 U' B U' B' F' D2
R U' B R U' L F'
R U' B R U' F' L
R2 U' B D U' F' B'
R2 U' B D U' B' F'
R2 U' B D' U' F' B'
R2 U' B D' U' B' F'
R2 U' B D2 U' F' B'
R2 U' B D2 U' B' F'
B R' F U' R' B U'
B R' F' U' R' B U'
R U2 R U' F' L' R'
R U2 R U' F' R' L'
B R' F2 U' R' B U'
R2 U2 R' U R F' L'
R2 U2 R2 F' U R2 F'
U' R2 L D B U' F'
U' R2 L D' B U' F'
U' R2 L D2 B U' F'
U' R2 L B L U' F'
U' R2 L B L' U' F'
U' R2 L B L2 U' F'
U' R2 L B U' D F'
U' R2 L B U' D' F'
U' R2 L B U' D2 F'
U' R2 L B U' F' D
U' R2 L B U' F' D'
U' R2 L B U' F' D2
U' R2 L B D U' F'
U' R2 L B D' U' F'
U' R2 L B D2 U' F'
U2 R2 L B U' F' R2
U' R2 L' D B U' F'
U' R2 L' D' B U' F'
U' R2 L' D2 B U' F'
U' R2 L' B L U' F'
U' R2 L' B L' U' F'
U' R2 L' B L2 U' F'
U' R2 L' B U' D F'
U' R2 L' B U' D' F'
U' R2 L' B U' D2 F'
U' R2 L' B U' F' D
U' R2 L' B U' F' D'
U' R2 L' B U' F' D2
U' R2 L' B D U' F'
U' R2 L' B D' U' F'
U' R2 L' B D2 U' F'
U2 R2 L' B U' F' R2
U' R2 L2 D B U' F'
U' R2 L2 D' B U' F'
U' R2 L2 D2 B U' F'
U' R2 L2 B L U' F'
U' R2 L2 B L' U' F'
U' R2 L2 B L2 U' F'
U' R2 L2 B U' D F'
U' R2 L2 B U' D' F'
U' R2 L2 B U' D2 F'
U' R2 L2 B U' F' D
U' R2 L2 B U' F' D'
U' R2 L2 B U' F' D2
U' R2 L2 B D U' F'
U' R2 L2 B D' U' F'
U' R2 L2 B D2 U' F'
U2 R2 L2 B U' F' R2
R2 U2 F' U B U' B'
U' R2 U' F' U B U'
B R2 U' D B U' B'
B R2 U' D' B U' B'
B R2 U' D2 B U' B'
B R2 U' B R U' B'
B R2 U' B R' U' B'
D R2 U' B U' F' B
D R2 U' B U' B F'
B R2 U' B R2 U' B'
B R2 U' B U' D B'
B R2 U' B U' D' B'
B R2 U' B U' D2 B'
B R2 U' B U' B' D
B R2 U' B U' B' D'
B R2 U' B U' B' D2
B R2 U' B D U' B'
B R2 U' B D' U' B'
B R2 U' B D2 U' B'
U' R2 D L B U' F'
U' R2 D L' B U' F'
U' R2 D L2 B U' F'
U' R2 D B L U' F'
U' R2 D B L' U' F'
U' R2 D B L2 U' F'
U' R2 D B U' D F'
U' R2 D B U' D' F'
U' R2 D B U' D2 F'
U' R2 D B U' F' D
U' R2 D B U' F' D'
U' R2 D B U' F' D2
U' R2 D B D U' F'
U' R2 D B D' U' F'
U' R2 D B D2 U' F'
U' R2 D' L B U' F'
U' R2 D' L' B U' F'
U' R2 D' L2 B U' F'
B R2 D U' B U' B'
U' R2 D' B L U' F'
U' R2 D' B L' U' F'
U' R2 D' B L2 U' F'
U' R2 D' B U' D F'
U' R2 D' B U' D' F'
U' R2 D' B U' D2 F'
U' R2 D' B U' F' D
U' R2 D' B U' F' D'
U' R2 D' B U' F' D2
U' R2 D' B D U' F'
U' R2 D' B D' U' F'
U' R2 D' B D2 U' F'
U' R2 D2 L B U' F'
U' R2 D2 L' B U' F'
U2 R2 D' F2 B U' F
U' R2 D2 L2 B U' F'
B R2 D' U' B U' B'
U2 R2 D' B F2 U' F
U' R2 D2 B L U' F'
U' R2 D2 B L' U' F'
U' R2 D2 B L2 U' F'
U' R2 D2 B U' D F'
U' R2 D2 B U' D' F'
U' R2 D2 B U' D2 F'
U' R2 D2 B U' F' D
U' R2 D2 B U' F' D'
U' R2 D2 B U' F' D2
U' R2 D2 B D U' F'
U' R2 D2 B D' U' F'
U' R2 D2 B D2 U' F'
B R2 D2 U' B U' B'
B R2 F U' B U' B'
U2 R2 F B U' R2 F2
U2 R2 F B U' F2 R2
B R2 F' U' B U' B'
D' R2 F2 U' B U' F
U' R2 B L U' D F'
U' R2 B L U' D' F'
U' R2 B L U' D2 F'
U' R2 B L U' F' D
U' R2 B L U' F' D'
U' R2 B L U' F' D2
U' R2 B L D U' F'
U' R2 B L D' U' F'
U' R2 B L D2 U' F'
U' R2 B L' U' D F'
U' R2 B L' U' D' F'
U' R2 B L' U' D2 F'
U' R2 B L' U' F' D
U' R2 B L' U' F' D'
U' R2 B L' U' F' D2
U' R2 B L' D U' F'
U' R2 B L' D' U' F'
