F2 L U' F' U' F2 L'
F2 L U2 F L' D R2
F2 L U2 F D L' R2
F2 L U2 F D R2 L'
F2 L F L' D R2 B
F2 L F D L' R2 B
F2 L F D R2 L' B
F2 L F D R2 B L'
F' L F2 U' L2 F' B'
F' L F2 U' L2 B' F'
F' L' D R2 B D2 F2
F' L' D B2 R2 F' B
F' L' D B2 R2 B F'
F' L' B2 D R2 F' B
F' L' B2 D R2 B F'
F L2 U' F2 B' L' F
F L2 U' B' F2 L' F
D' L2 F' B' U L' F
D' L2 B' F' U L' F
F R F U' F' L' U'
U2 R' F' D R2 B L
F2 U' F' L' U R U2
F' D L R2 F L2 B
F' D L R2 F B L2
F' D L R2 B F L2
F' D L' R2 B D2 F2
F' D L' B2 R2 F' B
F' D L' B2 R2 B F'
F' D R2 L F L2 B
F' D R2 L F B L2
F' D R2 L B F L2
F' D R2 L' B D2 F2
F' D R2 B L F L2
D2 F' L' B2 D R2 F'
D F' L' D B2 R2 F'
D F' D L' B2 R2 F'
