B' L F2 U F' R U
F' L' R2 B' U' B2 R'
U L' F2 B' L R' U2
U L' F2 B' R' L U2
F' L' B' U L F' U2
F' L' B' U F' L U2
U L' B' L R' F2 U2
U L' B' L F2 R' U2
U L' B' R' L F2 U2
U L' B' R' F2 L U2
U L' B' F2 L R' U2
U L' B' F2 R' L U2
U' R' D2 F' L' R B2
U' R' D2 F' L' B2 R
U' R' D2 F' R L' B2
U' R' D2 F' R B2 L'
U' R' D2 F' B2 L' R
U' R' D2 F' B2 R L'
U' R' D2 B2 F' L' R
U' R' D2 B2 F' R L'
U' R' F' L' R2 B R'
U' R' F' R2 L' B R'
U' R' F' R2 B L' R'
U' R' F' R2 B R' L'
F' R2 L' B' U' B2 R'
D R2 F' L' F B' U'
D R2 F' L' B' F U'
B' U L F2 U2 F' L'
B U F2 U2 R' F' L'
D2 U' R' F' L' R B2
D2 U' R' F' L' B2 R
D2 U' R' F' R L' B2
D2 U' R' F' R B2 L'
D2 U' R' F' B2 L' R
D2 U' R' F' B2 R L'
D2 U' R' B2 F' L' R
D2 U' R' B2 F' R L'
B U' R' D2 F' L' B2
B U' R' D2 F' B2 L'
B U' R' D2 B2 F' L'
B' U' D2 B2 R' F' L'
D2 U' B2 R' F' L' R
D2 U' B2 R' F' R L'
B U' D2 R' F' L' B2
B U' D2 R' F' B2 L'
B U' D2 R' B2 F' L'
U' D2 R' F' L' R B2
U' D2 R' F' L' B2 R
U' D2 R' F' R L' B2
U' D2 R' F' R B2 L'
U' D2 R' F' B2 L' R
U' D2 R' F' B2 R L'
U' D2 R' B2 F' L' R
U' D2 R' B2 F' R L'
U' D2 B2 R' F' L' R
U' D2 B2 R' F' R L'
U' F R F B U2 R'
U' F R B F U2 R'
D2 F' L' B' U' R B'
D2 F' L' B' U' B' R
D F' L' R2 F B' U'
D F' L' R2 B' F U'
D F' L' F R2 B' U'
D F' L' F B' R2 U'
D F' L' B' R2 F U'
D F' L' B' F R2 U'
D F' R2 L' F B' U'
D F' R2 L' B' F U'
U F' R2 B L R' F
U F' R2 B L F R'
U F' R2 B R' L F
U F2 L' B' L R' U2
U F2 L' B' R' L U2
U F2 B U2 L R' F'
U F2 B U2 R' L F'
U F2 B U2 R' F' L
U F2 B' L R' U2 F
B' D2 U' B2 R' F' L'
U F2 B' R' L U2 F
B D2 U' R' F' L' B2
B D2 U' R' F' B2 L'
B D2 U' R' B2 F' L'
U B L R' D2 F B2
U B L R' D2 B2 F
U B L D2 R' F B2
U B L D2 R' B2 F
U B L D2 F R' B2
U' B R' D2 F' L' B2
U' B R' D2 F' B2 L'
U' B R' D2 B2 F' L'
U B R' L D2 F B2
U B R' L D2 B2 F
U B R' D2 L F B2
U B R' D2 L B2 F
U' B D2 R' F' L' B2
U' B D2 R' F' B2 L'
U' B D2 R' B2 F' L'
U B D2 L R' F B2
U B D2 L R' B2 F
U B D2 L F R' B2
U B D2 R' L F B2
U B D2 R' L B2 F
U B F2 U2 L R' F'
U B F2 U2 R' L F'
U B F2 U2 R' F' L
U B' L R' F2 U2 F'
L' B' U L F2 U2 F'
U B' R' L F2 U2 F'
L' B' U F2 L U2 F
U B' R' F2 L U2 F
L' B' U' D2 B2 R' F'
U' B' D2 B2 R' F' L'
L' B' D2 U' B2 R' F'
U B' D2 B2 L R' F
U B' D2 B2 L F R'
U B' D2 B2 R' L F
U B' F2 L R' U2 F
U B' F2 R' L U2 F
