L2 U' R U' F'
B' L2 U' R U' F'
B2 L2 U' R U' F'
B L2 U' R U' F'
U' R U L2 U2 F'
U' R U' D2 F' R2
U' R U' F' D2 R2
U' R D F2 U' F
L2 U' L R U' F'
U' R D2 U' F' R2
L2 U' L' R U' F'
L2 U' L2 R U' F'
L2 U' R L U' F'
L2 U' R L' U' F'
L2 U' R L2 U' F'
L2 U' R U' D F'
L2 U' R U' D' F'
L2 U' R U' D2 F'
L2 U' R U' F' D
L2 U' R U' F' D'
L2 U' R U' F' D2
L2 U' R D U' F'
L2 U' R D' U' F'
L2 U' R D2 U' F'
L2 B U' R U' F'
L2 B' U' R U' F'
L2 B2 U' R U' F'
U' L R U L U2 F'
L R B2 U' L F' R'
L R B2 U' F' L R'
L R B2 U' F' R' L
R L B2 U' L F' R'
R L B2 U' F' L R'
R L B2 U' F' R' L
D2 L B' U' R U' R
U' L' R U L' U2 F'
U' L' R U' F2 R F
U' L' R F2 U' R F
L2 R' D' F2 B U2 L'
L2 R' D' B R F2 U2
L2 R' D' B F2 U2 L'
D2 L' U' R U' R F
L2 R' B R U' R U'
L2 R' B D R U2 B2
L2 R' B D' R F2 U2
L2 R' B D' F2 U2 L'
R' L2 D' F2 B U2 L'
R' L2 D' B R F2 U2
R' L2 D' B F2 U2 L'
F2 L2 U L R U F'
F2 L2 U R L U F'
B' L2 U' L R U' F'
B' L2 U' L' R U' F'
B' L2 U' L2 R U' F'
B' L2 U' R L U' F'
B' L2 U' R L' U' F'
B' L2 U' R L2 U' F'
B' L2 U' R U' D F'
B' L2 U' R U' D' F'
B' L2 U' R U' D2 F'
B' L2 U' R U' F' D
B' L2 U' R U' F' D'
B' L2 U' R U' F' D2
B2 L2 U' L R U' F'
B' L2 U' R D U' F'
B' L2 U' R D' U' F'
F' L2 U' R U' F' B
F' L2 U' R U' B F'
B' L2 U' R D2 U' F'
B2 L2 U' L' R U' F'
B2 L2 U' L2 R U' F'
B L2 U' L R U' F'
B2 L2 U' R L U' F'
B2 L2 U' R L' U' F'
B2 L2 U' R L2 U' F'
B2 L2 U' R U' D F'
B2 L2 U' R U' D' F'
B2 L2 U' R U' D2 F'
B2 L2 U' R U' F' D
B2 L2 U' R U' F' D'
B2 L2 U' R U' F' D2
B2 L2 U' R D U' F'
U2 L2 U' R U' L2 F'
U2 L2 U' R U' F' L2
B2 L2 U' R D' U' F'
B L2 U' L' R U' F'
B2 L2 U' R D2 U' F'
B L2 U' L2 R U' F'
R' L2 B R U' R U'
B L2 U' R L U' F'
B L2 U' R L' U' F'
B L2 U' R L2 U' F'
B L2 U' R U' D F'
B L2 U' R U' D' F'
B L2 U' R U' D2 F'
B L2 U' R U' F' D
B L2 U' R U' F' D'
B L2 U' R U' F' D2
B L2 U' R D U' F'
B L2 U' R D' U' F'
B L2 U' R D2 U' F'
R' L2 B D R U2 B2
R' L2 B D' R F2 U2
R' L2 B D' F2 U2 L'
U L2 U2 R U' F' R'
L2 U L U2 R U' F'
L2 U L' U2 R U' F'
F' L2 F U' R U' F'
L2 U L2 U2 R U' F'
R U L2 R2 B R U2
R U L2 B U2 F' L'
F L2 F' U' R U' F'
R U L2 B2 U2 L F'
R U L2 B2 U2 F' L
L2 U R' U2 R2 U' F'
B' L2 B U' R U' F'
B2 L2 B U' R U' F'
B L2 B U' R U' F'
R U R2 L2 B R U2
B' L2 B' U' R U' F'
B2 L2 B' U' R U' F'
B L2 B' U' R U' F'
R U R2 B L2 R U2
R U R2 B R L2 U2
B' L2 B2 U' R U' F'
B2 L2 B2 U' R U' F'
B L2 B2 U' R U' F'
U' R L U L U2 F'
U' R L' U L' U2 F'
U' R L' U' F2 R F
U' R L' F2 U' R F
U' R U L2 U2 D F'
U' R U L2 U2 D' F'
U' R U L2 U2 D2 F'
U' R U L2 U2 F' D
U' R U L2 U2 F' D'
U' R U L2 U2 F' D2
U' R U L2 D U2 F'
U' R U L2 D' U2 F'
U' R U L2 D2 U2 F'
U' R U L2 B U2 F'
U' R U L2 B' U2 F'
U' R U L2 B2 U2 F'
U' R U B L2 U2 F'
U' R U B' L2 U2 F'
U R U L2 U2 L2 F'
U R U L2 U2 F' L2
U' R U B2 L2 U2 F'
U' R U' R2 D2 R2 F'
U' R U' D' F' D' R2
U' R U' D2 F R2 F2
U' R U' D2 F' R2 D
U' R U' D2 F' R2 D'
U' R U' D2 F' R2 D2
U' R U' D2 F2 R2 F
U' R U' F' R D2 R2
U' R U' F' R' D2 R2
U' R U' F' R2 D2 R2
U' R U' F' U2 L2 U2
U' R U' F' D2 R2 D
U' R U' F' D2 R2 D'
U' R U' F' D2 R2 D2
U' R U' F2 D2 R2 F
U' R U' F2 D2 F R2
R U B L2 U2 F' L'
U' R U2 D' B2 U F'
U' R D L F2 U' F
U' R D L' F2 U' F
U' R D L2 F2 U' F
U' R D F2 U' D F
U' R D F2 U' D' F
U' R D F2 U' D2 F
U' R D F2 U' F D
U' R D F2 U' F D'
U' R D F2 U' F D2
U' R D F2 D U' F
U' R D F2 D' U' F
U' R D F2 D2 U' F
R U B2 L2 U2 L' F'
U' R D' U' F' D' R2
U' R D' U2 B2 U F'
L2 U' L R U' D F'
L2 U' L R U' D' F'
L2 U' L R U' D2 F'
L2 U' L R U' F' D
L2 U' L R U' F' D'
L2 U' L R U' F' D2
L2 U' L R D U' F'
L2 U' L R D' U' F'
L2 U' L R D2 U' F'
U' R D2 L U' F' R2
U' R D2 L' U' F' R2
U' R D2 L2 U' F' R2
U' R D2 U' F R2 F2
U' R D2 U' F' R2 D
U' R D2 U' F' R2 D'
U' R D2 U' F' R2 D2
U' R D2 U' F2 R2 F
U' R D2 F U' R2 F2
U' R D2 F U' F2 R2
U' R D2 F2 U' R2 F
U' R D2 F2 U' F R2
L2 U' L' R U' D F'
L2 U' L' R U' D' F'
L2 U' L' R U' D2 F'
L2 U' L' R U' F' D
L2 U' L' R U' F' D'
L2 U' L' R U' F' D2
L2 U' L' R D U' F'
L2 U' L' R D' U' F'
L2 U' L' R D2 U' F'
U2 R D2 F' R2 D B2
U' R F L' U' F2 R
U' R F U L2 U2 F2
U' R F U' F2 D2 R2
L2 U' L2 R U' D F'
L2 U' L2 R U' D' F'
L2 U' L2 R U' D2 F'
L2 U' L2 R U' F' D
L2 U' L2 R U' F' D'
L2 U' L2 R U' F' D2
L2 U' L2 R D U' F'
L2 U' L2 R D' U' F'
L2 U' L2 R D2 U' F'
L' U' R U L' U2 F'
U' R F' D F2 U' F2
L' U' R U' F2 R F
L2 U' R L U' D F'
L2 U' R L U' D' F'
L2 U' R L U' D2 F'
L2 U' R L U' F' D
L2 U' R L U' F' D'
L2 U' R L U' F' D2
L2 U' R L D U' F'
L2 U' R L D' U' F'
L2 U' R L D2 U' F'
L2 U' R L' U' D F'
L2 U' R L' U' D' F'
L2 U' R L' U' D2 F'
L2 U' R L' U' F' D
L2 U' R L' U' F' D'
L2 U' R L' U' F' D2
L2 U' R L' D U' F'
L2 U' R L' D' U' F'
L2 U' R L' D2 U' F'
L2 U' R L2 U' D F'
L2 U' R L2 U' D' F'
L2 U' R L2 U' D2 F'
L2 U' R L2 U' F' D
L2 U' R L2 U' F' D'
L2 U' R L2 U' F' D2
L2 U' R L2 D U' F'
L2 U' R L2 D' U' F'
L2 U' R L2 D2 U' F'
L2 U' R U B U2 F'
L2 U' R U B' U2 F'
L2 U' R U B2 U2 F'
L2 U' R U' L' F' L
L2 U' R U' L2 F' L2
L2 U' R U' D F' D
L2 U' R U' D F' D'
L2 U' R U' D F' D2
L2 U' R U' D' F' D
L2 U' R U' D' F' D'
L2 U' R U' D' F' D2
U2 R F' D2 R2 D B2
L2 U' R U' D2 F' D
L2 U' R U' D2 F' D'
L2 U' R U' D2 F' D2
L2 U' R U' F2 D F
L2 U' R U' F2 D' F
L2 U' R U' F2 D2 F
L2 U' R D L U' F'
L2 U' R D L' U' F'
L2 U' R D L2 U' F'
L2 U' R D U' F' D
L2 U' R D U' F' D'
L2 U' R D U' F' D2
L' U' R F2 U' R F
L2 U' R D' L U' F'
L2 U' R D' L' U' F'
L2 U' R D' L2 U' F'
L2 U' R D' U' F' D
L2 U' R D' U' F' D'
L2 U' R D' U' F' D2
L2 U' R D2 L U' F'
L2 U' R D2 L' U' F'
L2 U' R D2 L2 U' F'
L U' R U L U2 F'
L2 U' R D2 U' F' D
L2 U' R D2 U' F' D'
L2 U' R D2 U' F' D2
U' R F2 U L2 B' U2
U' R F2 U' D2 R2 F
U' R F2 U' D2 F R2
U' R F2 U' F D2 R2
U' R F2 D F2 U' F'
U' R F2 D2 U' R2 F
U' R F2 D2 U' F R2
D R F2 B2 U' L F
L2 U' R2 D R' U' F'
L2 U' R2 D' R' U' F'
L2 U' R2 D2 R' U' F'
D R B2 F2 U' L F
L2 U' D2 L' R U' F
L2 U' D2 R L' U' F
R U' D2 F R2 F2 L'
R U' F' R D2 L2 R2
R U' F' R D2 R2 L2
R U' F' U2 L2 R' U2
R U' F' U2 R' L2 U2
R U' F' B2 L B2 R'
L2 U' B R B' U' F'
L2 U' B2 R B2 U' F'
R U' B2 L F' B2 R'
R U' B2 L B2 F' R'
