D2 L2 B' U' R' B U
L2 U D2 B' L2 R' F'
L2 U D2 B' R' L2 F'
L2 U D2 B' R' F' L2
L2 U B' D2 L2 R' F'
L2 U B' D2 R' L2 F'
L2 U B' D2 R' F' L2
L2 U' R2 U2 B' R' F'
U' R2 D F L' B' U2
B2 R2 D F L' U2 F
L2 D' F2 U B' R' F'
L D' F2 B' L R' U
L D' F2 B' R' L U
L D' B' L R' F2 U
L D' B' L F2 R' U
L D' B' R' L F2 U
L D' B' R' F2 L U
L D' B' F2 L R' U
L D' B' F2 R' L U
L2 D2 U B' L2 R' F'
L2 D2 U B' R' L2 F'
L2 D2 U B' R' F' L2
L D2 B' R' U L2 B
L D2 B' R' U B L2
D' F2 R2 U B R' F'
B' D2 R' B U L2 B'
D2 B' R' B U L2 B'
L B' R' U B2 L B'
L B' D2 R' U L2 B
L B' D2 R' U B L2
R2 B2 D F L' U2 F
