F2 R2 U R F B
F2 R2 U R B F
F2 U R F B R2
F2 U R B R2 F
F2 U R B F R2
F2 U R' F D2 B2
F2 U F R B R2
U' L D' L2 F' R' B'
B L F2 B' U R' F
B L F2 B' U F R'
B L B' F2 U R' F
B L B' F2 U F R'
D' L' U' L' F' R' B'
U' L' D' F' R' B' L2
U' L' F' R' D B' L
U' L' F2 U R' F B'
U' L' F2 U R' B' F
U' L' F2 U F R' B'
F2 R U R B R F
F2 R U F R B R
F' R' B' U R' B U'
F' R' B2 D L B' L
F' R' B2 D B' L B'
F2 R2 U R D F B
F2 R2 U R D B F
F2 R2 U R D' F B
F2 R2 U R D' B F
F2 R2 U R D2 F B
F2 R2 U R D2 B F
F2 R2 U R F D B
F2 R2 U R F D' B
F2 R2 U R F D2 B
F2 R2 U R F B D
F2 R2 U R F B D'
F2 R2 U R F B D2
F2 R2 U R B D F
F2 R2 U R B D' F
F2 R2 U R B D2 F
F2 R2 U R B F D
F2 R2 U R B F D'
F2 R2 U R B F D2
F2 R2 U R2 F R' B
F2 R2 U D R F B
F2 R2 U D R B F
F2 R2 U D' R F B
F2 R2 U D' R B F
F2 R2 U D2 R F B
F2 R2 U D2 R B F
F2 R2 U B R F B
F2 R2 U B R B F
F2 R2 U B' R F B
F2 R2 U B' R B F
F2 R2 U B2 R F B
F2 R2 U B2 R B F
F2 R2 D U R F B
F2 R2 D U R B F
F2 R2 D' U R F B
F2 R2 D' U R B F
F2 R2 D2 U R F B
F2 R2 D2 U R B F
D R2 B U L U R
F' R2 B' R D L2 B2
F' R2 B' R D B2 L2
B U L F2 U F R
D' U L2 F' R B R2
F' U R U' B L R2
F' U R U' B R2 L
F2 U R F B R2 D
F2 U R F B R2 D'
F2 U R F B R2 D2
F2 U R F B' R2 B2
F2 U R F B2 R2 B'
F2 U R F' B R2 F2
F2 U R B R' F R'
F2 U R B R2 D F
F2 U R B R2 D' F
F2 U R B R2 D2 F
F2 U R B R2 F D
F2 U R B R2 F D'
F2 U R B R2 F D2
F2 U R B F R2 D
F2 U R B F R2 D'
F2 U R B F R2 D2
F2 U R B F' R2 F2
F2 U R B' R2 F B2
F2 U R B' R2 B2 F
F2 U R B' F R2 B2
F2 U R B2 R2 F B'
F2 U R B2 R2 B' F
F2 U R B2 F R2 B'
F2 U R' U2 F' U2 F2
F2 U R' D F D2 B2
F2 U R' D' F D2 B2
F2 U R' D2 F D2 B2
F2 U R' F U2 F2 U2
F2 U R' F D2 B2 D
F2 U R' F D2 B2 D'
F2 U R' F D2 B2 D2
F2 U R' F B D2 B2
F2 U R' F B' D2 B2
F2 U R' F B2 D2 B2
F2 U R' B F D2 B2
F2 U R' B' F D2 B2
F2 U R' B2 F D2 B2
U' D R2 B U2 R B
D' U F R' F2 L2 B'
F2 U D R F B R2
F2 U D R B R2 F
F2 U D R B F R2
F2 U D R' F D2 B2
F2 U D F R B R2
D' U F' L2 R B R2
D' U F' R L2 B R2
D' U F' R B L2 R2
D' U F' R B R2 L2
F2 U D' R F B R2
F2 U D' R B R2 F
F2 U D' R B F R2
F2 U D' R' F D2 B2
F2 U D' F R B R2
F2 U D2 R F B R2
F2 U D2 R B R2 F
F2 U D2 R B F R2
F2 U D2 R' F D2 B2
F2 U D2 F R B R2
F2 U F R B R2 D
F2 U F R B R2 D'
F2 U F R B R2 D2
F2 U F R B' R2 B2
F2 U F R B2 R2 B'
F2 U F R' U2 F' U2
F2 U F D R B R2
F2 U F D' R B R2
F2 U F D2 R B R2
F2 U F B' R B R'
F2 U F' R F2 B R2
F2 U F' R B R2 F2
F2 U F' R B F2 R2
F2 U B' R F B R'
F2 U B' R B R' F
F2 U B' R B F R'
F2 U B' F R B R'
U' D' L2 D2 F' R' B
D' U' L2 D2 F' R' B
U' D' L2 F' D2 R' B
D' U' L2 F' D2 R' B
U D' L2 F' R B R2
F2 U' L' U2 R' F' B'
F2 U' L' U2 R' B' F'
F' U' L' F' U R' B'
U' D' F' L' R' B' L'
D U' R2 B U2 R B
D' U' F' L' R' B' L'
U' D' F' L2 D2 R' B
D' U' F' L2 D2 R' B
D' U' F' R' L' B' L'
U' D' F' R' L' B' L'
F2 U' R' F2 L' F' B'
F2 U' R' F2 L' B' F'
U D' F R' F2 L2 B'
U D' F' L2 R B R2
U D' F' R L2 B R2
U D' F' R B L2 R2
U D' F' R B R2 L2
F' U' F' L' U R' B'
F2 U' F' R' F2 L' B'
F2 U' B U2 F R B
F2 U2 R2 U' R F B
F2 U2 R2 U' R B F
D' F U R' F2 L2 B'
B2 D L R2 B U2 B2
B2 D R2 L B U2 B2
F2 D R2 U R F B
F2 D R2 U R B F
F2 D U R F B R2
F2 D U R B R2 F
F2 D U R B F R2
F2 D U R' F D2 B2
F2 D U F R B R2
U' F' L' R' D B' L
U2 F' L' F' U R' F
U2 F' L' F' U F R'
F D F R2 U R B
U' F' R' L' D B' L
U' F' R' D L' B' L
D F' R' B2 D L B'
U' F' U' F' L' U R'
U2 F' U' L' F' U R'
F2 D' R2 U R F B
F2 D' R2 U R B F
F2 D' U R F B R2
F2 D' U R B R2 F
F2 D' U R B F R2
F2 D' U R' F D2 B2
F2 D' U F R B R2
B2 D' F' B2 L2 R' B
B2 D' F' B2 R' L2 B
B2 D' F' B2 R' B L2
U F2 R U F B R2
U F2 R U B R2 F
U F2 R U B F R2
L' F2 R2 U R F B
L' F2 R2 U R B F
L2 F2 R2 U R F B
L2 F2 R2 U R B F
L' F2 U R F B R2
L' F2 U R B R2 F
L' F2 U R B F R2
L' F2 U R' F D2 B2
L' F2 U F R B R2
