B L U' R' B' L2
B L R U' R2 B' L2
B L R U' B' L2 R2
B L R U' B' R2 L2
B L R' B' L2 D F2
B L R2 U' R B' L2
B L R2 U' B' L2 R
B L R2 U' B' R L2
B' L U R' U B' L2
B L U' R B' L2 R2
B L U' R B' R2 L2
B L U' R' B L2 B2
B L U' R' B' L2 D
B L U' R' B' L2 D'
B L U' R' B' L2 D2
B L U' R' B2 L2 B
B L U' R2 B' L2 R
B L U' R2 B' R L2
B L F U' R' B' L2
U' L F B L2 R' B2
U' L F B R' L2 B2
U' L F B R' B2 L2
B L F' U' R' B' L2
U' L F' B' L2 F2 R
B L F2 U' R' B' L2
U' L B R' F L2 B2
U' L B R' F B2 L2
U' L B R' B2 F L2
U L B L2 R' F' B2
U L B L2 R' B2 F'
U L B R' L2 F' B2
U L B R' L2 B2 F'
U L B R' F' L2 B2
U L B R' F' B2 L2
U L B R' B2 L2 F'
U L B R' B2 F' L2
U' L B F L2 R' B2
U' L B F R' L2 B2
U' L B F R' B2 L2
U' L B' F' L2 F2 R
B L' R' U L2 U' B'
B L' U L2 U' R' B'
U' L' U2 F B' L U2
U' L' U2 B' F L U2
B L' D R F2 R2 B
B L' D F2 R2 B R
U' L' F B' L U2 L'
U L' B R' F' D2 B2
U' L' B' F L U2 L'
B R L U' R2 B' L2
B R L U' B' L2 R2
B R L U' B' R2 L2
L U B L2 R' F' B2
L U B L2 R' B2 F'
L U B R' L2 F' B2
L U B R' L2 B2 F'
L U B R' F' L2 B2
L U B R' F' B2 L2
L U B R' B2 L2 F'
L U B R' B2 F' L2
B R' L B' L2 D F2
B R' L' U L2 U' B'
B R' U L U' B' L2
B' R' U' L U2 B' L2
B R2 L U' R B' L2
B R2 L U' B' L2 R
B R2 L U' B' R L2
D2 U L' R' F' B R
D2 U L' R' B F' R
B U L U' R' B' L2
D2 U R' L' F' B R
D2 U R' L' B F' R
D2 U R' B L' F' R
B U' L U' R' B' L2
U D2 L' R' F' B R
U D2 L' R' B F' R
U D2 R' L' F' B R
U D2 R' L' B F' R
U D2 R' B L' F' R
B U2 L U' R' B' L2
B D L' D R' F2 B
B D L' D R' B F2
B D L' D F2 R' B
B D2 L U' L2 R' B
B D2 L U' R' L2 B
B D2 L U' R' B L2
B D2 L' R' D F2 B
B D2 L' R' D B F2
B D2 L' R' B D F2
B D2 R' L' D F2 B
B D2 R' L' D B F2
B D2 R' L' B D F2
B D2 R' B D L' F
U' B L R' F B' L2
U' B L R' B' F L2
R' B L U' R' B' L2
U' B L F R' B' L2
R2 B L U' R' B' L2
U B L R' F' B' L2
U B L R' B' L2 F'
U B L R' B' F' L2
L B L U' L R' B2
L B L U' R' L B2
R B L U' R' B' L2
U B L' R' F' D2 B2
U' B R' L F B' L2
U' B R' L B' F L2
U B R' L F' B' L2
U B R' L B' L2 F'
U B R' L B' F' L2
U B R' L' F' D2 B2
U B D2 L' R' F' B
U B D2 L' R' B F'
U B D2 R' L' F' B
U B D2 R' L' B F'
U B D2 R' B L' F'
U' B' L U2 F B' L2
U' B' L U2 B' F L2
D' B' L R' B U L2
D' B' R' L B U L2
L B' L2 R D' F2 R
L B' L2 F2 R D' F2
L B' R L2 D' F2 R
U' B2 L F B' L2 R'
U' B2 L F B' R' L2
U' B2 L B' R' F L2
U' B2 L B' F L2 R'
U' B2 L B' F R' L2
U B2 L B' L2 R' F'
U B2 L B' R' L2 F'
U B2 L B' R' F' L2
