B' R F' B R2 U
B2 R F' B R' U
B' R B F' R2 U
B2 R B F' R' U
B' R' U2 F' B U'
B' R' U2 B F' U'
R' U2 F' L' B U'
R' U2 F' B L' U'
R' U2 B F' L' U'
R F' B U2 L U'
R F' B' R' B2 U
R B F' U2 L U'
R2 B' R' F' B U
R2 B' R' B F' U
R B' F' R' B2 U
U' L U2 D' F L' R
U' L U2 D' F R L'
U' L D' U2 F L' R
U' L D' U2 F R L'
U2 L F U2 R F' U
U' L' D B' U2 L R'
U' L' D B' U2 R' L
R2 U D' R' F' L' R
R2 U D' R' F' R L'
B' R D' F' B U F'
B' R D' B F' U F'
B2 R D2 F' B R U
B2 R D2 B F' R U
B' R F B R2 F2 U
B2 R F B R' F2 U
B' R F' R2 U2 F' U'
B' R F' D' B U F2
B' R F' B R2 U D
B' R F' B R2 U D'
B' R F' B R2 U D2
B' R F' B R2 D U
B' R F' B R2 D' U
B' R F' B R2 D2 U
B' R F' B U D' F2
B' R F' B D' U F2
B' R F' B' R2 B2 U
F' R F' B U2 L U'
B' R F' B2 R2 B' U
F' R F' B' R' B2 U
B2 R F' B R' U D
B2 R F' B R' U D'
B2 R F' B R' U D2
B2 R F' B R' D U
B2 R F' B R' D' U
B2 R F' B R' D2 U
B2 R F' B D R' U
B2 R F' B D' R' U
B2 R F' B D2 R' U
F2 R F' B U2 L U'
F2 R F' B' R' B2 U
B R F' B2 R' B' U
F R F' B U2 L U'
F R F' B' R' B2 U
B' R F2 B R2 F U
B2 R F2 B R' F U
B' R B R2 U2 B U'
D2 R B U2 L B' U'
B' R B D' F' U F'
B' R B F R2 F2 U
B2 R B D F' R' U
B' R B F' R2 U D
B' R B F' R2 U D'
B' R B F' R2 U D2
B' R B F' R2 D U
B' R B F' R2 D' U
B' R B F' R2 D2 U
B' R B F' U D' F2
B' R B F' D' U F2
B2 R B D' F' R' U
B' R B F2 R2 F U
F' R B F' U2 L U'
B2 R B D2 F' R' U
B2 R B F R' F2 U
B2 R B F' R' U D
B2 R B F' R' U D'
B2 R B F' R' U D2
B2 R B F' R' D U
B2 R B F' R' D' U
B2 R B F' R' D2 U
B2 R B F' D R' U
B2 R B F' D' R' U
B2 R B F' D2 R' U
B2 R B F2 R' F U
F2 R B F' U2 L U'
B R B D2 F' R U
F R B F' U2 L U'
B' R B' F' R2 B2 U
F' R B' F' R' B2 U
F2 R B' F' R' B2 U
F R B' F' R' B2 U
B' R B2 F' R2 B' U
B R B2 F' R' B' U
B' R' U2 D F' B U'
B' R' U2 D B F' U'
B' R' U2 D' F' B U'
B' R' U2 D' B F' U'
B' R' U2 D2 F' B U'
B' R' U2 D2 B F' U'
B R' U2 L F' B U'
B R' U2 L B F' U'
B' R' U2 F' D B U'
B' R' U2 F' D' B U'
F' R' U2 F' L' B U'
B' R' U2 F' D2 B U'
B' R' U2 F' B U' D
B' R' U2 F' B U' D'
B' R' U2 F' B U' D2
B' R' U2 F' B D U'
B' R' U2 F' B D' U'
B' R' U2 F' B D2 U'
F' R' U2 F' B L' U'
B' R' U2 B D F' U'
B' R' U2 B D' F' U'
B' R' U2 B D2 F' U'
B' R' U2 B F' U' D
B' R' U2 B F' U' D'
B' R' U2 B F' U' D2
B' R' U2 B F' D U'
B' R' U2 B F' D' U'
B' R' U2 B F' D2 U'
F' R' U2 B F' L' U'
F2 R' U2 F' L' B U'
F2 R' U2 F' B L' U'
F2 R' U2 B F' L' U'
B R' U2 F' L B U'
F R' U2 F' L' B U'
F R' U2 F' B L' U'
B' R' D U2 F' B U'
B' R' D U2 B F' U'
F R' U2 B F' L' U'
B' R' D' U2 F' B U'
B' R' D' U2 B F' U'
R' U2 L F' L' B U'
R' U2 L F' B L' U'
R' U2 L B F' L' U'
B' R' D2 U2 F' B U'
B' R' D2 U2 B F' U'
R' U2 L' F' L' B U'
R' U2 L' F' B L' U'
R' U2 L' B F' L' U'
B' R' F U2 F2 B U'
B' R' F U2 B F2 U'
R' U2 L2 F' L' B U'
R' U2 L2 F' B L' U'
R' U2 L2 B F' L' U'
B' R' F2 U2 F B U'
B' R' F2 U2 B F U'
B' R' B' U2 F' B2 U'
B' R' B' U2 B2 F' U'
R' U2 D F' L' B U'
R' U2 D F' B L' U'
R' U2 D B F' L' U'
R' U2 D' F' L' B U'
R' U2 D' F' B L' U'
B' R' B2 U2 F' B' U'
B' R' B2 U2 B' F' U'
