U' L F' U F
U' L D F' U F
U' L D' F' U F
U' L D2 F' U F
U' L F' R U F
U' L F' R' U F
U' L F' R2 U F
U' L F' U D F
U' L F' U D' F
U' L F' U D2 F
U' L F' U F D
U' L F' U F D'
U' L F' U F D2
U' L F' D U F
U' L F' D' U F
U' L F' D2 U F
F L F2 R U R'
R U2 L F U R'
B2 R2 B R U' R
B R2 B R' U' R'
U' D L F' U F
U' D' L F' U F
D2 U' L F' U F
D' U' L F' U F
D U' L F' U F
F U' L F2 U F2
F2 U' F L U F'
U' D2 L F' U F
F U' F2 L U F2
F U2 L F2 U R
U' F L F2 U F
U2 F L F2 U R
U2 F' L U' L' U2
L F2 R F U R'
F D2 B2 R' U' R
R' B2 R' B U' R2
F' L R U2 L' U' R'
U' L R F U F' L'
F L R F2 R U R2
F' L R' U2 L' U' R
F' L R2 U2 L' U' R2
R2 L U2 L' B U' R2
F L R2 F2 R U R
R2 L U2 B L' U' R2
U2 L U' L' U F' U
F' L U2 L' U L U2
U' L D F' R U F
U' L D F' R' U F
U' L D F' R2 U F
U' L D F' U D F
U' L D F' U D' F
U' L D F' U D2 F
U' L D F' U F D
U' L D F' U F D'
U' L D F' U F D2
U' L D F' D U F
U' L D F' D' U F
U' L D F' D2 U F
U' L D' F' R U F
U' L D' F' R' U F
U' L D' F' R2 U F
U' L D' F' U D F
U' L D' F' U D' F
U' L D' F' U D2 F
U' L D' F' U F D
U' L D' F' U F D'
U' L D' F' U F D2
U' L D' F' D U F
U' L D' F' D' U F
U' L D' F' D2 U F
U' L D2 F' R U F
U' L D2 F' R' U F
U' L D2 F' R2 U F
U' L D2 F' U D F
U' L D2 F' U D' F
U' L D2 F' U D2 F
U' L D2 F' U F D
U' L D2 F' U F D'
U' L D2 F' U F D2
U' L D2 F' D U F
U' L D2 F' D' U F
U' L D2 F' D2 U F
U' L F U D' L2 F'
U' L F U D' F' L2
U' L F D' U L2 F'
U' L F D' U F' L2
U' L F' R U D F
U' L F' R U D' F
U' L F' R U D2 F
U' L F' R U F D
U' L F' R U F D'
U' L F' R U F D2
U' L F' R D U F
U' L F' R D' U F
U' L F' R D2 U F
U' L F' R' U D F
U' L F' R' U D' F
U' L F' R' U D2 F
U' L F' R' U F D
U' L F' R' U F D'
U' L F' R' U F D2
U' L F' R' D U F
U' L F' R' D' U F
U' L F' R' D2 U F
U' L F' R2 U D F
U' L F' R2 U D' F
U' L F' R2 U D2 F
U' L F' R2 U F D
U' L F' R2 U F D'
U' L F' R2 U F D2
U' L F' R2 D U F
U' L F' R2 D' U F
U' L F' R2 D2 U F
U' L F' U R F R'
U' L F' U R2 F R2
U' L F' U D F D
U' L F' U D F D'
U' L F' U D F D2
U2 L F' U F' R F
U' L F' U D' F D
U' L F' U D' F D'
U' L F' U D' F D2
U' L F' U D2 F D
U' L F' U D2 F D'
U' L F' U D2 F D2
U' L F' U F2 D F'
U' L F' U F2 D' F'
U' L F' U F2 D2 F'
U' L F' U' B U2 F
U' L F' U' B' U2 F
U' L F' U' B2 U2 F
U2 L F' U2 F' U' R
U' L F' D R U F
U' L F' D R' U F
U' L F' D R2 U F
U' L F' D U F D
U' L F' D U F D'
U' L F' D U F D2
U' L F' D' R U F
U' L F' D' R' U F
U' L F' D' R2 U F
U' L F' D' U F D
U' L F' D' U F D'
U' L F' D' U F D2
U' L F' D2 R U F
U' L F' D2 R' U F
U' L F' D2 R2 U F
U' L F' D2 U F D
U' L F' D2 U F D'
U' L F' D2 U F D2
U2 L F' D2 B U R'
U L F' U2 F U' F'
D2 L F2 R F U R'
D' L F2 R F U R'
F' L F2 R F2 U R'
U' L F2 R F U F
D L F2 R F U R'
F L F2 R U R' D
F L F2 R U R' D'
F L F2 R U R' D2
F L F2 R U D R'
F L F2 R U D' R'
F L F2 R U D2 R'
U' L F2 R' F U F
F L F2 R D U R'
F L F2 R D' U R'
F L F2 R D2 U R'
U' L F2 R2 F U F
U' L F2 D R2 F U
U' L F2 D F R2 U
F L F2 D R U R'
F L F2 D' R U R'
F L F2 D2 R U R'
F L F2 B R U R'
F L F2 B' R U R'
F L F2 B2 R U R'
F L B F2 R U R'
F L B' F2 R U R'
F L B2 F2 R U R'
F L' U' L2 F2 R U
U L' U2 L2 F' U F
U' L' D' F' U F B2
U' L' D' F' U B2 F
U2 L' D' F' U B2 R'
U' L' F L2 F2 U F
U2 L' F L2 F2 U R
U' L' F' L2 U' B' U2
U2 L' F' L2 U' L' U2
U' L' F' U D' F B2
U' L' F' U D' B2 F
U' L' F' U F D' B2
U2 L' F' U D' B2 R'
U' L' F' D' U F B2
U' L' F' D' U B2 F
U2 L' F' D' U B2 R'
U2 L' F' B2 L2 U R'
L R2 U2 L' B U' R2
L R2 U2 B L' U' R2
F' L' B2 L2 R' U R
F' L' B2 R' L2 U R
F' L' B2 R' L2 U R
U2 L' B2 L2 F' U R'
U2 L' B2 F' L2 U R'
F L2 U' L' F2 R U
U L2 U2 L' F' U F
U' L2 D L' F' U F
U' L2 D' L' F' U F
U2 L2 D' L' F' B2 U
U2 L2 D' L' B2 F' U
L' U L U2 L F' U
L' U L U2 F' L U
F' L2 D2 L' R2 U R2
U' L2 D2 L' F' U F
U2 L2 D' B2 L' F' U
U2 L2 D2 L' F' U R2
F' L2 D2 R2 L' U R2
L U L' R2 B U' B'
L2 U L2 U2 L F' U
L2 U L2 U2 F' L U
L U R2 L' B U' B'
L' U D2 L R2 B U'
F' R L U2 L' U' R'
L' U D2 R2 L B U'
U' R L F U F' L'
F R L F2 R U R2
D2 R U2 L F U R'
B R U' D' R' B L
D' R U2 L F U R'
D R U2 L F U R'
F R U2 L F2 U R'
U R U2 L F U F'
F2 R U2 F L U R'
F R U2 F2 L U R'
B R D' U' R' B L
U' R F L U F' L'
L2 U' L' F2 R F U
L' U' L2 F2 R F U
R' U' R U' L F' U
R' U' R U' F' L U
R U' R' U' L F U
R U' R' B D L B'
R2 U' R2 U' L F' U
R2 U' R2 U' F' L U
L2 U' D L' F' U F'
F' R' L U2 L' U' R
L2 U' D2 L' F' R2 U
L' U' F L2 F2 R U
L' U' F' L2 U2 L' U'
U2 R' U L R F' U
U2 R' U R L F' U
U2 R' U R F' L U
B2 R' U' R U' F' U
R U' B D L B' R'
B2 R' D B' U' L R
B2 R' D B' U' R L
R2 U2 L U2 B U' R2
R U2 L D F U R'
R U2 L D' F U R'
R U2 L D2 F U R'
R U2 L F U R' D
R U2 L F U R' D'
R U2 L F U R' D2
R U2 L F U D R'
R U2 L F U D' R'
R U2 L F U D2 R'
R U2 L F D U R'
R U2 L F D' U R'
R U2 L F D2 U R'
F R' D2 B2 R' U' R2
B R' B R' B U' R2
B' R' B' R' B U' R2
D2 R' B2 R' B U' R2
D' R' B2 R' B U' R2
R U2 D L F U R'
D R' B2 R' B U' R2
F' R2 L U2 L' U' R2
R U2 D' L F U R'
R U2 D2 L F U R'
F R2 L F2 R U R
R U2 F L F U R'
U2 R2 U L R2 F' U
R U2 F' L F U R'
U2 R2 U R2 L F' U
U2 R2 U R2 F' L U
R U2 F2 L F U R'
F2 R2 U2 F L U R2
F R2 U2 L F2 U R2
F R2 U2 F2 L U R2
B2 R2 D' B R F2 U'
B R2 F B R' U' R'
B R2 F' B R' U' R'
B2 R2 B R U' R D
B2 R2 B R U' R D'
B2 R2 B R U' R D2
B2 R2 B R U' D R
B2 R2 B R U' D' R
B2 R2 B R U' D2 R
B2 R2 B R D U' R
B2 R2 B R D' U' R
B2 R2 B R D2 U' R
B' R2 B U2 L U R2
B R2 F2 B R' U' R'
B2 R2 B D' R F2 U'
B R2 B R' U' R' D
B R2 B R' U' R' D'
B R2 B R' U' R' D2
B R2 B R' U' D R'
B R2 B R' U' D' R'
B R2 B R' U' D2 R'
B R2 B R' D U' R'
B R2 B R' D' U' R'
B R2 B R' D2 U' R'
B R2 B R' F U' R'
B R2 B R' F' U' R'
B R2 B R' F2 U' R'
B R2 B D' R' F2 U'
B R2 B D' F2 R' U'
B2 R2 B' R B2 U' R
B R2 B F R' U' R'
B R2 B F' R' U' R'
B R2 B F2 R' U' R'
B2 R2 B2 R B' U' R
L2 D U' L' F' U F'
U' D L D F' U F
U' D L D' F' U F
U' D L D2 F' U F
U' D L F' R U F
U' D L F' R' U F
U' D L F' R2 U F
U' D L F' U D F
U' D L F' U D' F
U' D L F' U D2 F
U' D L F' U F D
U' D L F' U F D'
U' D L F' U F D2
U' D L F' D U F
U' D L F' D' U F
U' D L F' D2 U F
R D U2 L F U R'
L D F2 R F U R'
U' D F L F2 U F
U2 D F L F2 U R
U2 D F' L U' L' U2
D' U' L D F' U F
U' D' L D F' U F
D' U' L D' F' U F
D2 U' L D F' U F
U' D' L D' F' U F
D' U' L D2 F' U F
D2 U' L D' F' U F
U' D' L D2 F' U F
D2 U' L D2 F' U F
D' U' L F' R U F
D' U' L F' R' U F
U' D' L F' R U F
D' U' L F' R2 U F
U' D' L F' R' U F
D' U' L F' U D F
D' U' L F' U D' F
D' U' L F' U D2 F
D' U' L F' U F D
D' U' L F' U F D'
D' U' L F' U F D2
U' D' L F' R2 U F
U' D' L F' U D F
U' D' L F' U D' F
U' D' L F' U D2 F
U' D' L F' U F D
U' D' L F' U F D'
U' D' L F' U F D2
D' U' L F' D U F
D' U' L F' D' U F
U' D' L F' D U F
D' U' L F' D2 U F
U' D' L F' D' U F
U' D' L F' D2 U F
D2 U' L F' R U F
D2 U' L F' R' U F
D2 U' L F' R2 U F
D2 U' L F' U D F
D2 U' L F' U D' F
D2 U' L F' U D2 F
D2 U' L F' U F D
D2 U' L F' U F D'
D2 U' L F' U F D2
D2 U' L F' D U F
D2 U' L F' D' U F
D2 U' L F' D2 U F
D U' L D F' U F
D U' L D' F' U F
D U' L D2 F' U F
D U' L F' R U F
D U' L F' R' U F
D U' L F' R2 U F
D U' L F' U D F
D U' L F' U D' F
D U' L F' U D2 F
D U' L F' U F D
D U' L F' U F D'
D U' L F' U F D2
D U' L F' D U F
D U' L F' D' U F
D U' L F' D2 U F
F U' L R F2 U F2
F U' L R' F2 U F2
F U' L R2 F2 U F2
B' U' L' F' U F B'
B' U' L' F' U B' F
R D' U2 L F U R'
F U' L F2 R U F2
F U' L F2 R' U F2
F U' L F2 R2 U F2
F U' L F2 U F2 D
