B' L R' U' R2 U'
B' L R' U2 D B2
B' L R' D U2 B2
B' L R' D' F2 U2
B' R' L U' R2 U'
B' R' L U2 D B2
B' R' L D U2 B2
B' R' L D' F2 U2
B' R' U2 D B2 R'
B' R' D L U2 B2
B' R' D U2 B2 R'
B' R' D' L F2 U2
B' R' D' F2 L U2
B' L R' U D2 L2 U
B' L R' U' R2 U' D
B' L R' U' R2 U' D'
B' L R' U' R2 U' D2
B' L R' U' R2 D U'
B' L R' U' R2 D' U'
B' L R' U' R2 D2 U'
B' L R' U2 D B2 D
B' L R' U2 D B2 D'
B' L R' U2 D B2 D2
B' L R' U2 B D B2
B' L R' U2 B' D B2
B' L R' U2 B2 D B2
B' L R' D U2 B2 D
B' L R' D U2 B2 D'
B' L R' D U2 B2 D2
B' L R' D F U2 B2
B' L R' D F' U2 B2
B' L R' D F2 U2 B2
B' L R' D' F2 U2 D
B' L R' D' F2 U2 D'
B' L R' D' F2 U2 D2
B' L R' D' F2 D U2
B' L R' D' F2 D' U2
B' L R' D' F2 D2 U2
B' L R' D2 U L2 U
B' L R' F U' R2 U'
B' L R' F U2 D B2
B' L R' F D U2 B2
B' L R' F D' F2 U2
B L R' D B2 D F2
B' L R' F' U' R2 U'
B' L R' F' U2 D B2
B' L R' F' D U2 B2
B' L R' F' D' F2 U2
B' L R' F2 U' R2 U'
B' L R' F2 U2 D B2
B L R' D2 F2 D' B2
B' L R' F2 D U2 B2
B' L R' F2 D' F2 U2
B' L U' R U R2 U2
B' L U' R U' D2 L2
B' L U' R D B2 U'
B' L U' R D2 U' L2
B' L U' B2 R U' L
B' L D R' U' R2 U'
B' L D R' U2 D B2
B' L D R' D U2 B2
B' L D R' D' F2 U2
B L D R' D F2 B2
B L D R' D B2 F2
B' L D' R' U' R2 U'
B' L D' R' U2 D B2
B' L D' R' D U2 B2
B' L D' R' D' F2 U2
B' L D2 R' U' R2 U'
B' L D2 R' U2 D B2
B' L D2 R' D U2 B2
B' L D2 R' D' F2 U2
B L D2 R' F2 D B2
B' L F D R' U2 B
L2 R B U' R' F L
L2 R B U' F L R'
L2 R B U' F R' L
B' L F2 R' U L' U
B' L2 R' D L' U2 B2
B' L2 R' D' L' F2 U2
B' L2 R' D' F2 U2 R
U L2 R B U' R' F
U L2 R B U' F R'
R L2 B U' R' F L
R L2 B U' F L R'
R L2 B U' F R' L
L2 U R B U' R' F
L2 U R B U' F R'
L U R B L U' R'
U R L2 B U' R' F
U R L2 B U' F R'
U' R U B' L R' U2
U' R U B' R' L U2
B R U B2 R' U2 R'
B R U' L R2 D2 F2
B R U' R2 L D2 F2
B R U' R2 D2 L F2
B R U' R2 D2 F2 L
U R B U B2 L U2
U R B U' R' D2 F2
U R B U' D2 R' F2
U R B U' D2 F2 R'
U R B D L2 U' R'
U R B D2 U' R' F2
U R B D2 U' F2 R'
B' R' L U D2 L2 U
B' R' L U' R2 U' D
B' R' L U' R2 U' D'
B' R' L U' R2 U' D2
B' R' L U' R2 D U'
B' R' L U' R2 D' U'
B' R' L U' R2 D2 U'
B' R' L U2 D B2 D
B' R' L U2 D B2 D'
B' R' L U2 D B2 D2
B' R' L U2 B D B2
B' R' L U2 B' D B2
B' R' L U2 B2 D B2
B' R' L D U2 B2 D
B' R' L D U2 B2 D'
B' R' L D U2 B2 D2
B' R' L D F U2 B2
B' R' L D F' U2 B2
B' R' L D F2 U2 B2
B' R' L D' F2 U2 D
B' R' L D' F2 U2 D'
B' R' L D' F2 U2 D2
B' R' L D' F2 D U2
B' R' L D' F2 D' U2
B' R' L D' F2 D2 U2
B' R' L D2 U L2 U
B' R' L F U' R2 U'
B' R' L F U2 D B2
B' R' L F D U2 B2
B' R' L F D' F2 U2
B' R' L F' U' R2 U'
B' R' L F' U2 D B2
B' R' L F' D U2 B2
B' R' L F' D' F2 U2
B' R' L F2 U' R2 U'
B' R' L F2 U2 D B2
B' R' L F2 D U2 B2
B' R' L F2 D' F2 U2
B R' L D B2 D F2
