L B U D2 F2 L'
L B U' R B2 U2
L B U' B2 R U2
L B D2 U F2 L'
R' L U D2 L2 F R
F2 L R' U L2 F R
R' L U' R2 B' U2 R'
R' L U' B' R2 U2 R
R' L D2 U L2 F R
D' L F2 B R' U L'
D' L B R' U D2 L2
D' L B R' U' R2 U2
D' L B R' D' F2 U
D' L B R' D2 U L2
D2 L B U' R U2 F'
F2 L B U L2 D2 F2
U' L B U D2 F2 L'
U2 L B U D2 F2 L'
U' L B U' R B2 U2
U2 L B U' R B2 U2
U' L B U' B2 R U2
F2 L B U' B2 U2 L2
U2 L B U' B2 R U2
U L B U D2 F2 L'
U L B U' R B2 U2
U' L B D2 U F2 L'
U L B U' B2 R U2
U2 L B D2 U F2 L'
D' L B F2 R' U L'
L R' U D2 L2 F R
U L B D2 U F2 L'
L R' U' R2 B' U2 R'
L R' U' B' R2 U2 R
L R' D2 U L2 F R
F2 L' F U' L2 B U
F2 L' F U' B L2 U
F2 L' F B' D' R2 B2
F2 L' F B' D' B2 R2
F2 L' B L2 U L2 F
F2 L' B' D' R2 F B2
F2 L' B' D' R2 B2 F
F2 L' B' D' F R2 B2
F2 L' B' D' F B2 R2
F2 L' B' D' B2 R2 F
F2 L' B' D' B2 F R2
F2 L' B' F D' R2 B2
F2 L' B' F D' B2 R2
L U' R D B' L U2
F2 R' L U L2 F R
L U' B' R U B2 U
L U' B' R U2 D' R2
L U' B' R D L2 U2
L U' B' R D' U2 R2
L U' B' D L2 R U2
L U' B' D R L2 U2
L U' B' D' R U2 R
L D B U D2 F2 L'
L D B U' R B2 U2
L D B U' B2 R U2
L D B D2 U F2 L'
L D' B U D2 F2 L'
L D' B U' R B2 U2
L D' B U' B2 R U2
L D' B D2 U F2 L'
L D2 B U D2 F2 L'
L D2 B U' R B2 U2
L D2 B U' B2 R U2
L D2 B D2 U F2 L'
F2 D' L B R' U L2
D' F2 L B R' U L2
L' F2 B L2 U L F'
L' F2 B L2 U F' L
L F2 B U L' D2 F2
L F2 B U D2 L' F2
L F2 B U' B2 U2 L'
L F2 B D' R2 U L'
L F2 B D2 U L' F2
L2 B L' U' R B' U2
L2 B L' U' B' R U2
L' B L2 U' R B' U2
L' B L2 U' B' R U2
L B R' U D2 L2 F2
L B R' U D2 F2 L2
L B R' U' R2 B2 U2
L B R' U' B2 R2 U2
L B R' D' R2 F2 U
L B R' D' F2 R2 U
L B R' D2 U L2 F2
L B R' D2 U F2 L2
L B R2 U' R' B2 U2
L B R2 U' B2 U2 L
L B U L D2 F2 L'
L B U L' D2 F2 L'
L B U L2 D2 F2 L'
L B U D2 L F2 L'
L B U D2 L' F2 L'
L B U D2 L2 F2 L'
L B U D2 F2 L' D
L B U D2 F2 L' D'
L B U D2 F2 L' D2
L B U D2 F2 D L'
L B U D2 F2 D' L'
L B U D2 F2 D2 L'
L B U F2 L' D2 F2
L B U F2 D2 L' F2
L B U' R U2 D2 F2
L B U' R D2 U2 F2
L B U' R B2 U2 D
L B U' R B2 U2 D'
L B U' R B2 U2 D2
L B U' R B2 D U2
L B U' R B2 D' U2
L B U' R B2 D2 U2
L B U' R' B2 R2 U2
L B U' R2 B2 U2 L
L B U' D2 R U2 F2
L B U' B' R B' U2
L B U' B2 R U2 D
L B U' B2 R U2 D'
L B U' B2 R U2 D2
L B U' B2 R D U2
L B U' B2 R D' U2
L B U' B2 R D2 U2
L B U' B2 D R U2
L B U' B2 D' R U2
L B U' B2 D2 R U2
L B D' R2 U' R' U2
L B D' F2 R2 U L'
L B D2 U L F2 L'
L B D2 U L' F2 L'
L B D2 U L2 F2 L'
L B D2 U F2 L' D
L B D2 U F2 L' D'
L B D2 U F2 L' D2
L B D2 U F2 D L'
L B D2 U F2 D' L'
L B D2 U F2 D2 L'
L B D2 U' R U2 F2
L B D2 F U F L'
L' B F2 L2 U L F'
L' B F2 L2 U F' L
L B F2 U L' D2 F2
L B F2 U D2 L' F2
L B F2 U' B2 U2 L'
L B F2 D' R2 U L'
L B F2 D2 U L' F2
L B' R U B2 U B2
L' B' D' R2 F B2 L
L' B' D' R2 B2 F L
