R' L D' F' B' L2
R' L D' B' L2 F'
R' L D' B' F' L2
R' L B' D' L2 F'
R' L B' D' F' L2
L' R' D' L2 F' B'
L' R' D' L2 B' F'
R' L' D' L2 F' B'
R' L' D' L2 B' F'
L R' D' F' B' L2
L R' D' B' L2 F'
L R' D' B' F' L2
L R' B' D' L2 F'
L R' B' D' F' L2
D' L2 D' R' F' B
D' L2 D' R' B F'
D2 R' D L2 F' B
D2 R' D L2 B F'
D2 R' D F' L2 B
D2 R' D F' B L2
D2 R' D B L2 F'
D2 R' D B F' L2
D2 R' F' D L2 B
D2 R' F' D B L2
L' D' L2 R' F' B'
L' D' L2 R' B' F'
L' D' R' L2 F' B'
L' D' R' L2 B' F'
L D' R' F' B' L2
L D' R' B' L2 F'
L D' R' B' F' L2
F2 L R U R2 F' B'
F2 L R U R2 B' F'
F' L R' D F' B' L
D' L R' D L F' B'
D' L R' D L B' F'
F' L R' D B' L F'
D2 L R' D L2 F' B
D2 L R' D L2 B F'
F' L R' D B' F' L
D' L R' D F' L B'
D2 L R' D F' L2 B
D2 L R' D F' B L2
D2 L R' D B L2 F'
D2 L R' D B F' L2
U2 L R' D' F B' L2
U2 L R' D' B' F L2
F L R' D' F' B' L
F L R' D' B' L F'
F L R' D' B' F' L
F' L R' F' D B' L
D' L R' F' D L B'
D2 L R' F' D L2 B
D2 L R' F' D B L2
F L R' F' D' B' L
U2 L R' B' D' F L2
R' L U' F2 U F B'
R' L U' F2 U B' F
F2 L R2 U R F' B'
F2 L R2 U R B' F'
F2 L R2 U B' R F'
R' L D F' D2 B' L2
R' L D F' B' D2 L2
R' L D B' D2 L2 F'
R' L D B' D2 F' L2
R' L D B' F' D2 L2
R' L D' L2 F' D2 B2
R' L D' F B' L2 F2
R' L D' F' B L2 B2
R' L D' F' B' L2 D
R' L D' F' B' L2 D'
R' L D' F' B' L2 D2
R' L D' F' B2 L2 B
R' L D' B L2 F' B2
R' L D' B L2 B2 F'
R' L D' B F' L2 B2
R' L D' B' L F' L
R' L D' B' L2 D F'
R' L D' B' L2 D' F'
R' L D' B' L2 D2 F'
R' L D' B' L2 F' D
R' L D' B' L2 F' D'
R' L D' B' L2 F' D2
R' L D' B' F L2 F2
R' L D' B' F' L2 D
R' L D' B' F' L2 D'
R' L D' B' F' L2 D2
R' L D' B2 L2 F' B
R' L D' B2 L2 B F'
R' L D' B2 F' L2 B
D' L D L R' F' B'
D' L D L R' B' F'
R' L D2 F' D B' L2
D' L D R' L F' B'
D' L D R' L B' F'
D' L D R' F' L B'
D' L D' L R' F' B
D' L D' L R' B F'
D' L D' R' L F' B
D' L D' R' L B F'
D' L D' R' F' L B
U2 L D' R' F B' L2
U2 L D' R' B' F L2
F L D' R' F' B' L
F L D' R' B' L F'
F L D' R' B' F' L
U2 L D' F R' B' L2
R' L F' U' F' U B'
B L D' B' L2 R' F'
B L D' B' R' L2 F'
B L D' B' R' F' L2
R' L F' B' U' F' U
L' R F2 U R2 F' B
L' R F2 U R2 B F'
L R F2 U R2 F' B'
L R F2 U R2 B' F'
R L F2 U R2 F' B'
R L F2 U R2 B' F'
R' L B' L D' L2 F'
R' L B' L D' F' L2
R' L B' L' D' L2 F'
R' L B' L' D' F' L2
R' L B' L2 D' L2 F'
R' L B' L2 D' F' L2
R2 L B' R D' L2 F'
R2 L B' R D' F' L2
R' L B' U' F2 U F
R' L B' D F' D2 L2
R' L B' D' L F' L
R' L B' D' L2 D F'
R' L B' D' L2 D' F'
R' L B' D' L2 D2 F'
R' L B' D' L2 F' D
R' L B' D' L2 F' D'
R' L B' D' L2 F' D2
R' L B' D' F L2 F2
R' L B' D' F' L2 D
R' L B' D' F' L2 D'
R' L B' D' F' L2 D2
R' L B' D2 F' D L2
R' L B' F' U' F' U
U' L F2 U R' F' B'
U' L F2 U R' B' F'
U2 L F2 U F' R' B'
R' L B2 D' L2 F' B
R' L B2 D' L2 B F'
R' L B2 D' F' L2 B
R' L B2 D' F' B L2
R' L B2 D' B L2 F'
R' L B2 D' B F' L2
B L B' R' D' L2 F'
B L B' R' D' F' L2
B L B' D' L2 R' F'
B L B' D' R' L2 F'
B L B' D' R' F' L2
L R' U' F2 U F B'
L R' U' F2 U B' F
D2 L' R' D L2 F' B
D2 L' R' D L2 B F'
D2 L' R' D F' L2 B
D2 L' R' D F' B L2
D2 L' R' D B L2 F'
D2 L' R' D B F' L2
R' L' D F' D2 L2 B2
R' L' D F' D2 B2 L2
L' R' D F' D2 L2 B2
L' R' D F' D2 B2 L2
U2 L' R' D' L2 F B'
U2 L' R' D' L2 B' F
L R' D F' D2 B' L2
L R' D F' B' D2 L2
D2 L' R' F' D L2 B
D2 L' R' F' D B L2
R' L' D' L F' L B'
L' R' D' L F' L B'
L R' D B' D2 L2 F'
L R' D B' D2 F' L2
L R' D B' F' D2 L2
R' L' D' L2 D F' B'
R' L' D' L2 D B' F'
R' L' D' L2 D' F' B'
R' L' D' L2 D' B' F'
R' L' D' L2 D2 F' B'
R' L' D' L2 D2 B' F'
R' L' D' L2 F' D B'
