D' L' F U2 L F
F' R' F' D R B2
F' R' F' D B2 R
D R' F' D2 B R'
L' U2 D' L F B'
L' U2 D' L B' F
D R' F2 B R F
D R' B F2 R F
D R2 F2 R F' B
D R2 F2 R B F'
L' D' U2 L F B'
L' D' U2 L B' F
U2 D' L' F B' U2
U2 D' L' B' F U2
D' U2 L' F B' U2
D' U2 L' B' F U2
D F' R' F' B R
D F' R' B F' R
D F2 R' F' B R2
D F2 R' B F' R2
R' L' U2 D' L F' B'
R' L' U2 D' L B' F'
L' R' U2 D' L F' B'
L' R' U2 D' L B' F'
R' L' U2 D' F' L B'
L' R' U2 D' F' L B'
D L' R' U2 L F' B
D L' R' U2 L B F'
D L' R' U2 F' L B
D' L' R' F U2 L F2
D' L' R' F U2 F2 L
R' L' D' U2 L F' B'
R' L' D' U2 L B' F'
R' L' D' U2 F' L B'
L' R' D' U2 L F' B'
L' R' D' U2 L B' F'
L' R' D' U2 F' L B'
D' L' U2 L2 B' L' F
D2 L' U2 D L F B'
D2 L' U2 D L B' F
B' L' U2 D' L F B'
B' L' U2 D' L B' F
B2 L' U2 D' L F B'
B2 L' U2 D' L B' F
D L' U2 D2 L F B'
D L' U2 D2 L B' F
B L' U2 D' L F B'
B L' U2 D' L B' F
D2 L' D U2 L F B'
D2 L' D U2 L B' F
D' L' D F U2 L F
D' L' D' F U2 L F
B' L' D' U2 L F B'
B' L' D' U2 L B' F
B2 L' D' U2 L F B'
B2 L' D' U2 L B' F
B L' D' U2 L F B'
B L' D' U2 L B' F
D' L' D2 F U2 L F
D L' D2 U2 L F B'
D L' D2 U2 L B' F
U2 L' D2 B' U L U
D' L' F R' U2 L F'
D' L' F R' U2 F' L
D' L' F U2 L D F
D' L' F U2 L D' F
D' L' F U2 L D2 F
D' L' F U2 L F D
D' L' F U2 L F D'
D' L' F U2 L F D2
D' L' F U2 D L F
D' L' F U2 D' L F
D' L' F U2 D2 L F
D' L' F U2 F L F
D' L' F U2 F' L F
D' L' F U2 F2 L F
D' L' F D U2 L F
D' L' F D' U2 L F
D' L' F D2 U2 L F
D' L' F B2 R' U2 F'
U2 L' F B' U L' U
U2 L' F' B' U' R U'
U2 L' B' F U L' U
U2 L' B' F' U' R U'
D' L' B2 R' F U2 F2
D L' B2 R' U2 F' B
D L' B2 R' U2 B F'
D' L' B2 F R' U2 F'
D L2 B2 L2 R' F' B
D L2 B2 L2 R' B F'
D L2 B2 R' L2 F' B
D L2 B2 R' L2 B F'
D L2 B2 R' F' L2 B
D L2 B2 R' F' B L2
D L2 B2 R' B L2 F'
D L2 B2 R' B F' L2
L' U F L' R U L2
L' U F R L' U L2
R2 U F' R U' F' R
R' U F2 U' R F B
R' U F2 U' R B F
R2 U F2 U' R F' B
R2 U F2 U' R B F'
D' R U2 L' F B U2
D' R U2 L' B F U2
D R U2 L' F' B U2
D R U2 L' B F' U2
D' R U2 B L' F U2
F2 R U2 B U L U
D R U2 B L' F' U2
D' R B L' F U2 L
D R B L' F' U2 L
D' R' L' F U2 L F2
D' R' L' F U2 F2 L
D R' L' U2 L F' B
D R' L' U2 L B F'
D R' L' U2 F' L B
D' R' U2 L' F U2 F2
D R' U2 L' U2 F' B
D R' U2 L' U2 B F'
F' R' D B2 D' F' R
D R' D F' D2 B R'
D R' D F2 B R F
D R' D B F2 R F
L' U2 L F U' L' U
D R' D' F' D2 B R'
D R' D' F2 B R F
D R' D' B F2 R F
D R' D2 F' D2 B R'
D R' D2 F2 B R F
D R' D2 B F2 R F
F' R' F' R U R U'
F' R' F' U R2 U' R'
F' R' F' D R B2 D
F' R' F' D R B2 D'
F' R' F' D R B2 D2
F' R' F' D R' B2 R2
D' R' F' D2 R' B R'
F2 R' F' R2 U' L' U
F' R' F' D B' R B'
F' R' F' D B2 R D
F' R' F' D B2 R D'
F' R' F' D B2 R D2
D' R' F' D2 B R' B
F' R' F' D B2 D R
F' R' F' D B2 D' R
F' R' F' D B2 D2 R
F' R' F' D' R D2 B2
F' R' F' D2 R D' B2
F2 R' F' U' L' U R2
F' R' F' B D R B2
F' R' F' B D B2 R
F' R' F' B' D R B2
F' R' F' B' D B2 R
F' R' F' B2 D R B2
F' R' F' B2 D B2 R
D R' F' D2 B R' D
D R' F' D2 B R' D'
D R' F' D2 B R' D2
D R' F' D2 B D R'
D R' F' D2 B D' R'
D R' F' D2 B D2 R'
F' R' F2 D F R B2
F' R' F2 D F B2 R
F' R' F2 D B2 F R
D R' F2 D B R F
D R' F2 D' B R F
D R' F2 D2 B R F
D R' F2 B R D F
D R' F2 B R D' F
D R' F2 B R D2 F
D R' F2 B R F D
D R' F2 B R F D'
D R' F2 B R F D2
D R' F2 B R' F R2
D R' F2 B R2 F R'
D R' F2 B D R F
D R' F2 B D' R F
D R' F2 B D2 R F
D R' F2 B' R F B2
D R' F2 B' R B2 F
D R' F2 B2 R F B'
D R' F2 B2 R B' F
D R' B R' F2 R F'
F' R' B F' D R B2
F' R' B F' D B2 R
D R' B U2 L' U2 F'
D R' B D F2 R F
D R' B D' F2 R F
D R' B D2 F2 R F
D R' B F2 R D F
D R' B F2 R D' F
D R' B F2 R D2 F
D R' B F2 R F D
D R' B F2 R F D'
D R' B F2 R F D2
D R' B F2 R' F R2
D R' B F2 R2 F R'
D R' B F2 D R F
D R' B F2 D' R F
D R' B F2 D2 R F
F' R' B' F' D R B2
F' R' B' F' D B2 R
R' U2 D' L' F U2 F2
L' U2 D' L D F B'
L' U2 D' L D B' F
L' U2 D' L D' F B'
L' U2 D' L D' B' F
L' U2 D' L D2 F B'
L' U2 D' L D2 B' F
L' U2 D' L F D B'
L' U2 D' L F D' B'
L' U2 D' L F D2 B'
L' U2 D' L F B' D
L' U2 D' L F B' D'
L' U2 D' L F B' D2
L' U2 D' L B' D F
L' U2 D' L B' D' F
L' U2 D' L B' D2 F
L' U2 D' L B' F D
L' U2 D' L B' F D'
L' U2 D' L B' F D2
D R' B' F2 R F B2
D R' B' F2 R B2 F
L' U2 D' F L F B'
L' U2 D' F L B' F
L' U2 D' F' L F B'
L' U2 D' F' L B' F
L' U2 D' F2 L F B'
L' U2 D' F2 L B' F
F' R' B2 F' D R B2
F' R' B2 F' D B2 R
R U2 D' L' F B U2
R U2 D' L' B F U2
D R' B2 F2 R F B'
D R' B2 F2 R B' F
R U2 D' B L' F U2
L' U2 F L D' F B2
L' U2 F L D' B2 F
L' U2 F L F D' B2
R U2 B D' L' F U2
F' R2 F' R D F' B2
F' R2 F' R D B2 F'
F' R2 F' R F' D B2
D R2 F' R F' B R
D R2 F' R B F' R
L' D R' U2 L F' B
L' D R' U2 L B F'
L' D R' U2 F' L B
D R2 F2 R D F' B
D R2 F2 R D B F'
D R2 F2 R D' F' B
D R2 F2 R D' B F'
D R2 F2 R D2 F' B
D R2 F2 R D2 B F'
D R2 F2 R F' D B
D R2 F2 R F' D' B
D R2 F2 R F' D2 B
D R2 F2 R F' B D
D R2 F2 R F' B D'
D R2 F2 R F' B D2
D R2 F2 R B D F'
D R2 F2 R B D' F'
D R2 F2 R B D2 F'
D R2 F2 R B F' D
D R2 F2 R B F' D'
D R2 F2 R B F' D2
R' D R' F2 B R F'
R' D R' B F2 R F'
D R2 F2 B R F' B
D R2 F2 B R B F'
D R2 F2 B' R F' B
D R2 F2 B' R B F'
D R2 F2 B2 R F' B
D R2 F2 B2 R B F'
D R2 B F2 R F' B
D R2 B F2 R B F'
R D R2 F2 R F B
R D R2 F2 R B F
D R2 B' F2 R F' B
D R2 B' F2 R B F'
D R2 B2 F2 R F' B
D R2 B2 F2 R B F'
R' D F' R' D2 B R'
R' D F' R' D2 B R'
R' D F2 R F D2 B2
R' D F2 R' F B R2
R' D F2 R' B R2 F
R' D F2 R' B F R2
F' U R U' R' F' R
F' U R F' L' U' R
R D F' R2 F' R B
F' U D R F' L' U'
L' D B2 R' U2 F' B
L' D B2 R' U2 B F'
R' D' L' F U2 L F2
R' D' L' F U2 F2 L
F' U F' L' U' R B
L' D' R' U2 L F' B'
L' D' R' U2 L B' F'
L' D' R' U2 F' L B'
U2 D' L' D F B' U2
U2 D' L' D B' F U2
U2 D' L' D' F B' U2
U2 D' L' D' B' F U2
U2 D' L' D2 F B' U2
U2 D' L' D2 B' F U2
U2 D' L' F D B' U2
U2 D' L' F D' B' U2
U2 D' L' F D2 B' U2
U2 D' L' F B' U2 D
U2 D' L' F B' U2 D'
U2 D' L' F B' U2 D2
U2 D' L' F B' D U2
U2 D' L' F B' D' U2
U2 D' L' F B' D2 U2
U2 D' L' B' D F U2
U2 D' L' B' D' F U2
U2 D' L' B' D2 F U2
U2 D' L' B' F U2 D
U2 D' L' B' F U2 D'
U2 D' L' B' F U2 D2
U2 D' L' B' F D U2
U2 D' L' B' F D' U2
U2 D' L' B' F D2 U2
R' D' U2 L' F U2 F2
L' D' U2 L D F B'
L' D' U2 L D B' F
L' D' U2 L D' F B'
L' D' U2 L D' B' F
L' D' U2 L D2 F B'
L' D' U2 L D2 B' F
L' D' U2 L F D B'
L' D' U2 L F D' B'
L' D' U2 L F D2 B'
L' D' U2 L F B' D
L' D' U2 L F B' D'
L' D' U2 L F B' D2
L' D' U2 L B' D F
L' D' U2 L B' D' F
L' D' U2 L B' D2 F
L' D' U2 L B' F D
L' D' U2 L B' F D'
L' D' U2 L B' F D2
L' D' U2 F L F B'
L' D' U2 F L B' F
L' D' U2 F' L F B'
L' D' U2 F' L B' F
L' D' U2 F2 L F B'
L' D' U2 F2 L B' F
L' D' F U2 L F B'
L' D' F U2 L B' F
R D' U2 L' F B U2
R D' U2 L' B F U2
R D' U2 B L' F U2
R' D' F' D2 R' B R'
L' D' F' U2 L F B'
L' D' F' U2 L B' F
R' D' F' D2 B R' B
L' D' F2 U2 L F B'
L' D' F2 U2 L B' F
F2 U' R2 U R' F' B
F2 U' R2 U R' B F'
R D' B L' F U2 L
U2 D' B L' F B' U2
U2 D' B L' B' F U2
U2 D' B' L' F B' U2
U2 D' B' L' B' F U2
U2 D' B2 L' F B' U2
U2 D' B2 L' B' F U2
D' U2 L' D F B' U2
D' U2 L' D B' F U2
D' U2 L' D' F B' U2
D' U2 L' D' B' F U2
D' U2 L' D2 F B' U2
D' U2 L' D2 B' F U2
D' U2 L' F D B' U2
D' U2 L' F D' B' U2
D' U2 L' F D2 B' U2
D' U2 L' F B' U2 D
D' U2 L' F B' U2 D'
D' U2 L' F B' U2 D2
D' U2 L' F B' D U2
D' U2 L' F B' D' U2
D' U2 L' F B' D2 U2
D' U2 L' B' D F U2
D' U2 L' B' D' F U2
D' U2 L' B' D2 F U2
D' U2 L' B' F U2 D
D' U2 L' B' F U2 D'
D' U2 L' B' F U2 D2
D' U2 L' B' F D U2
D' U2 L' B' F D' U2
D' U2 L' B' F D2 U2
D2 U2 L' B' U L U
U2 D2 L' B' U L U
F2 U' B' R' U R2 B
D' U2 B L' F B' U2
D' U2 B L' B' F U2
D' U2 B' L' F B' U2
D' U2 B' L' B' F U2
D' U2 B2 L' F B' U2
D' U2 B2 L' B' F U2
B' U2 D' L' F B' U2
B' U2 D' L' B' F U2
B2 U2 D' L' F B' U2
B2 U2 D' L' B' F U2
B U2 D' L' F B' U2
B U2 D' L' B' F U2
D F R' F B R F2
D F R' B F R F2
U2 F U L' B' R' U
D F R2 F R F' B
D F R2 F R B F'
L' F U2 L D' F B2
L' F U2 L D' B2 F
L' F U2 L F D' B2
B' D R' F' D2 B R'
B' D R' F2 B R F
B' D R' B F2 R F
B2 D R' F' D2 B R'
B2 D R' F2 B R F
B2 D R' B F2 R F
B' D R2 F2 R F' B
B' D R2 F2 R B F'
B D R' F' D2 B R'
B D R' F2 B R F
B2 D R2 F2 R F' B
B2 D R2 F2 R B F'
B D R' B F2 R F
F' D U R F' L' U'
