F R F' U B R U
R2 U' R' F' B L U
R2 U' R' B L F' U
R2 U' R' B F' L U
F' U' L' B' R' F' B
F' U' L' B' R' B F'
R' D' F' U' L' F' B
R' D' F' U' L' B F'
R' D' F' U' B L' F'
R' D2 L2 F' U' L' B
R' D2 L2 F' U' B L'
F' U' B' L' R' F' B
F' U' B' L' R' B F'
F' U' B' R' L' F' B
F' U' B' R' L' B F'
F' U' B' R' B L' F'
R' D2 F' L2 U' L B
R F B U' R F2 U2
R F B U' F2 U2 L'
R' F' U' L' D' F2 B
R' F' U' L' D' B F2
R' F' U' L' B D' F2
R' F' U' D' L' F2 B
R' F' U' D' L' B F2
R' F' U' D' B L' F2
R' F' U' B L' D' F2
R' F' U' B D' L' F2
R' F' D' U' L' F2 B
R' F' D' U' L' B F2
R' F' D' U' B L' F2
R' F' D2 L2 U' L B
R F2 B U' F U2 L'
R B F U' R F2 U2
R B F U' F2 U2 L'
R B F2 U' F U2 L'
