R' D' L2 B R' F'
R' D' B L2 R' F'
R' D' B R' L2 F'
R' D' B R' F' L2
B R D F' R2 U2 R'
B R' U2 D' L2 B R'
B R' U2 D' B L2 R'
B R' U2 D' B R' L2
B R' D R2 F' U2 R
U' R' D' L2 B R' F'
B2 R' D' L2 F B R'
B2 R' D' L2 B R' F
B2 R' D' L2 B F R'
U2 R' D' L2 B R' F'
U' R' D' B L2 R' F'
U' R' D' B R' L2 F'
U' R' D' B R' F' L2
U R' D' L2 B R' F'
B R' D' U2 L2 B R'
U2 R' D' B L2 R' F'
U2 R' D' B R' L2 F'
U2 R' D' B R' F' L2
B R' D' U2 B L2 R'
B R' D' U2 B R' L2
B R' D' B L2 R' F
B R' D' B L2 F R'
B R' D' B R' L2 F
U R' D' B L2 R' F'
U R' D' B R' L2 F'
U R' D' B R' F' L2
R' D R2 F' U2 R F'
R2 D F' D2 L2 R B
R2 D F' D2 R L2 B
R2 D F' D2 R B L2
F2 U R' D' B R' F'
F2 U R2 D F' R B
R' D' L' B L' R' F'
R' D' L' B R' L' F'
R' D' L2 F B R' F'
R' D' L2 F' B R' F'
R' D' L2 F2 B R' F'
R' D' L2 B R' D F'
R' D' L2 B R' D' F'
R' D' L2 B R' D2 F'
R' D' L2 B R' F' D
R' D' L2 B R' F' D'
R' D' L2 B R' F' D2
R' D' L2 B D R' F'
R' D' L2 B D' R' F'
R' D' L2 B D2 R' F'
R' D' L2 B F R' F'
R' D' L2 B F' R' F'
R' D' L2 B F2 R' F'
R2 D' L2 R B R' F'
R2 D' L2 D2 F' R B
R2 D' L2 F' R B R'
R2 D' R L2 B R' F'
R2 D' R B L2 R' F'
R2 D' R B R' L2 F'
R2 D' R B R' F' L2
R' D' F L2 B R' F'
R' D' F B L2 R' F'
R' D' F B R' L2 F'
R' D' F B R' F' L2
R' D' F' L2 B R' F'
R' D' F' B L2 R' F'
R' D' F' B R' L2 F'
R' D' F' B R' F' L2
R2 D' F' L2 R B R'
R' D' F2 L2 B R' F'
R2 D' F' R L2 B R'
R2 D' F' R B L2 R'
R2 D' F' R B R' L2
R' D' F2 B L2 R' F'
R' D' F2 B R' L2 F'
R' D' F2 B R' F' L2
R' D' B L R' F' L
R' D' B L2 R' D F'
R' D' B L2 R' D' F'
R' D' B L2 R' D2 F'
R' D' B L2 R' F' D
R' D' B L2 R' F' D'
R' D' B L2 R' F' D2
R' D' B L2 D R' F'
R' D' B L2 D' R' F'
R' D' B L2 D2 R' F'
R' D' B L2 F R' F'
R' D' B L2 F' R' F'
R' D' B L2 F2 R' F'
R' D' B R' L F' L
R' D' B R' L2 D F'
R' D' B R' L2 D' F'
R' D' B R' L2 D2 F'
R' D' B R' L2 F' D
R' D' B R' L2 F' D'
R' D' B R' L2 F' D2
R' D' B R' F L2 F2
R' D' B R' F' L2 D
R' D' B R' F' L2 D'
R' D' B R' F' L2 D2
R' D' B F L2 R' F'
R' D' B F R' L2 F'
R' D' B F R' F' L2
R' D' B F' L2 R' F'
R' D' B F' R' L2 F'
R' D' B F' R' F' L2
R' D' B F2 L2 R' F'
R' D' B F2 R' L2 F'
R' D' B F2 R' F' L2
B U2 R' D' L2 B R'
B U2 R' D' B L2 R'
B U2 R' D' B R' L2
D' B U2 L2 D R' B
