U L2 B' R' U
U L2 R B' R' U
U L2 R' B' R' U
U L2 R2 B' R' U
U L2 D B' R' U
U L2 D' B' R' U
U L2 D2 B' R' U
U L2 B' R' U D
U L2 B' R' U D'
U L2 B' R' U D2
U L2 B' R' D U
U L2 B' R' D' U
U L2 B' R' D2 U
U L2 B' D R' U
U L2 B' D' R' U
U L2 B' D2 R' U
U R L2 B' R' U
U R' L2 B' R' U
U R2 L2 B' R' U
B' U L2 B' R' U
B2 U L2 B' R' U
B U L2 B' R' U
U' F U2 L2 R U
U' F U2 R L2 U
U' F' L' F2 R U'
D F2 U' F' L' U'
U B' L2 R' B' U
U B' R' L2 B' U
U' L U2 L B' R' U
F L U2 L U L' F
D L F2 U2 D F' R
D L F2 D U2 F' R
U L' D L' B' R' U
L2 R' F2 B' U L' F
U L' D' L' B' R' U
U L' D2 L' B' R' U
L2 R' B' U F2 L' F
L2 R' B' F2 U L' F
F' L' B' U' F2 R U'
U L' B' L' R' B' U
U L' B' R' L' B' U
U L2 R D B' R' U
U L2 R D' B' R' U
U L2 R D2 B' R' U
U L2 R B' R' U D
U L2 R B' R' U D'
U L2 R B' R' U D2
U L2 R B' R' D U
U L2 R B' R' D' U
U L2 R B' R' D2 U
U L2 R B' D R' U
U L2 R B' D' R' U
U L2 R B' D2 R' U
U L2 R' D B' R' U
U L2 R' D' B' R' U
U2 L2 R' B' U L2 F'
U2 L2 R' B' U F' L2
U L2 R' D2 B' R' U
U L2 R' B' R' U D
U L2 R' B' R' U D'
U L2 R' B' R' U D2
U L2 R' B' R' D U
U L2 R' B' R' D' U
U L2 R' B' R' D2 U
U L2 R' B' D R' U
U L2 R' B' D' R' U
U L2 R' B' D2 R' U
U L2 R2 D B' R' U
U L2 R2 D' B' R' U
U L2 R2 D2 B' R' U
U L2 R2 B' R' U D
U L2 R2 B' R' U D'
U L2 R2 B' R' U D2
U L2 R2 B' R' D U
U L2 R2 B' R' D' U
U L2 R2 B' R' D2 U
U L2 R2 B' D R' U
U L2 R2 B' D' R' U
U L2 R2 B' D2 R' U
R' L2 F2 B' U L' F
R' L2 B' U F2 L' F
R' L2 B' F2 U L' F
U L2 D R B' R' U
U L2 D R' B' R' U
U L2 D R2 B' R' U
U L2 D B' R' U D
U L2 D B' R' U D'
U L2 D B' R' U D2
U L2 D B' R' D U
U L2 D B' R' D' U
U L2 D B' R' D2 U
U L2 D B' D R' U
U L2 D B' D' R' U
U L2 D B' D2 R' U
U L2 D' R B' R' U
U L2 D' R' B' R' U
U L2 D' R2 B' R' U
U L2 D' B' R' U D
U L2 D' B' R' U D'
U L2 D' B' R' U D2
U L2 D' B' R' D U
U L2 D' B' R' D' U
U L2 D' B' R' D2 U
U L2 D' B' D R' U
U L2 D' B' D' R' U
U L2 D' B' D2 R' U
U L2 D2 R B' R' U
U L2 D2 R' B' R' U
U L2 D2 R2 B' R' U
U L2 D2 B' R' U D
U L2 D2 B' R' U D'
U L2 D2 B' R' U D2
U L2 D2 B' R' D U
U L2 D2 B' R' D' U
U L2 D2 B' R' D2 U
U L2 D2 B' D R' U
U L2 D2 B' D' R' U
U L2 D2 B' D2 R' U
U L2 F' B' R' F U
U L2 F2 B' R' F2 U
U L2 B R B2 R' U
U L2 B R' B2 R' U
U L2 B R2 B2 R' U
U2 L2 B' R' U L2 F'
U2 L2 B' R' U F' L2
U' L2 B' U2 B L U'
U L2 B' R U D' F2
U L2 B' R D' U F2
U L2 B' R2 D R U
U L2 B' R2 D' R U
U L2 B' R2 D2 R U
U L2 B' D R' U D
U L2 B' D R' U D'
U L2 B' D R' U D2
U L2 B' D R' D U
U L2 B' D R' D' U
U L2 B' D R' D2 U
U L2 B' D' R' U D
U L2 B' D' R' U D'
U L2 B' D' R' U D2
U L2 B' D' R' D U
U L2 B' D' R' D' U
U L2 B' D' R' D2 U
U L2 B' D2 R' U D
U L2 B' D2 R' U D'
U L2 B' D2 R' U D2
U L2 B' D2 R' D U
U L2 B' D2 R' D' U
U L2 B' D2 R' D2 U
U L2 B' F' R' F U
U L2 B' F2 R' F2 U
U R L2 D B' R' U
U R L2 D' B' R' U
U R L2 D2 B' R' U
U R L2 B' R' U D
U R L2 B' R' U D'
U R L2 B' R' U D2
U R L2 B' R' D U
U R L2 B' R' D' U
U R L2 B' R' D2 U
U R L2 B' D R' U
U R L2 B' D' R' U
U R L2 B' D2 R' U
U' R U2 L2 B' R' U
L2 U B' L' U F B
L2 U B' L' U B F
U' R F U2 L2 R U
U' R F U2 R L2 U
U' R F' L' F2 R U'
U R B' L2 R' B' U
U R B' R' L2 B' U
U2 R' L2 B' U L2 F'
U2 R' L2 B' U F' L2
U R' L2 D B' R' U
U R' L2 D' B' R' U
U R' L2 D2 B' R' U
U R' L2 B' R' U D
U R' L2 B' R' U D'
U R' L2 B' R' U D2
U R' L2 B' R' D U
U R' L2 B' R' D' U
U R' L2 B' R' D2 U
U R' L2 B' D R' U
U R' L2 B' D' R' U
U R' L2 B' D2 R' U
U2 R' U' L2 B' U F'
U' R' U2 L2 B' R' U
U2 R' D F' D R2 B
U2 R' D' F' B2 D R2
U2 R' D' B2 F' D R2
