R' D B U B L
R D' F' U' F' L'
B2 L R F' U' D' L2
B2 L R F' U2 F2 U
B2 L R F' D' U' L2
B2 L R F' D2 B2 U'
F2 L R' F L2 B U
F2 L R' F B L2 U
F L R' F L' B U
F L R' F B L' U
F2 L R' B F L2 U
F L R' B F L' U
L R U2 R2 F B U
L R U2 R2 B F U
R L U2 R2 F B U
R L U2 R2 B F U
R' L D F B U B
R' L D B F U B
L' R D' F' B' U' F'
L' R D' B' F' U' F'
L R D2 L2 F' B' U'
L R D2 L2 B' F' U'
R L D2 L2 F' B' U'
R L D2 L2 B' F' U'
R' L D2 F L2 B U
R' L D2 F B L2 U
L' R D2 F' B' L2 U'
R' L D2 B F L2 U
L' R D2 B' L2 F' U'
L' R D2 B' F' L2 U'
R' L F U2 R2 F' U'
R' L F D B U B
R' L F D2 L2 B U
R' L F D2 B L2 U
R' L F B U D B2
R' L F B U2 R2 U'
R' L F B D U B2
R' L F B D2 L2 U
L R F' U' D' L2 F2
L R F' U' D' F2 L2
L' R F' D' B' U' F2
L R F' U2 R2 F2 U
L R F' U2 F2 R2 U
L' R F' D2 B' L2 U'
R L F' U' D' L2 F2
R L F' U' D' F2 L2
R L F' U2 R2 F2 U
R L F' U2 F2 R2 U
L R F' D' U' L2 F2
L R F' D' U' F2 L2
L' R F' B' U' D' F2
L' R F' B' U2 R2 U
L' R F' B' D' U' F2
L' R F' B' D2 L2 U'
L R F' D2 L2 B2 U'
L R F' D2 B2 L2 U'
R L F' D' U' L2 F2
R L F' D' U' F2 L2
R L F' D2 L2 B2 U'
R L F' D2 B2 L2 U'
F2 L F L2 R' B U
F L F L' R' B U
F2 L F R' L2 B U
F2 L F R' B L2 U
F L F R' L' B U
F L F R' B L' U
R' L B D F U B2
R' L B D2 F L2 U
R' L B F U D B2
R' L B F U2 R2 U'
R' L B F D U B2
R' L B F D2 L2 U
L' R B' U2 R2 B U
L' R B' D' F' U' F'
L' R B' D2 L2 F' U'
L' R B' D2 F' L2 U'
L' R B' F' U' D' F2
L' R B' F' U2 R2 U
L' R B' F' D' U' F2
L' R B' F' D2 L2 U'
R' L' U2 R2 F' B' U'
L' R' U2 R2 F' B' U'
R' L' U2 R2 B' F' U'
L' R' U2 R2 B' F' U'
B' L' R F' B' L U'
B2 L' R F' B' L2 U'
B' L' R B' L F' U'
B' L' R B' F' L U'
B2 L' R B' L2 F' U'
B2 L' R B' F' L2 U'
L R' D F B U B
L R' D B F U B
F2 L' R' B U D L2
F2 L' R' B U2 B2 U'
F2 L' R' B D U L2
F2 L' R' B D2 F2 U
R L' D' F' B' U' F'
R' L' D2 L2 F B U
R' L' D2 L2 B F U
L' R' D2 L2 F B U
L' R' D2 L2 B F U
R L' D' B' F' U' F'
L R' D2 F L2 B U
L R' D2 F B L2 U
R L' D2 F' B' L2 U'
L R' D2 B F L2 U
R L' D2 B' L2 F' U'
R L' D2 B' F' L2 U'
L R' F U2 R2 F' U'
L R' F D B U B
L R' F D2 L2 B U
L R' F D2 B L2 U
L R' F B U D B2
L R' F B U2 R2 U'
L R' F B D U B2
L R' F B D2 L2 U
R L' F' D' B' U' F2
R L' F' D2 B' L2 U'
R L' F' B' U' D' F2
R L' F' B' U2 R2 U
R L' F' B' D' U' F2
R L' F' B' D2 L2 U'
R' L' B U D L2 B2
R' L' B U D B2 L2
L' R' B U D L2 B2
L' R' B U D B2 L2
R' L' B U2 R2 B2 U'
R' L' B U2 B2 R2 U'
L' R' B U2 R2 B2 U'
R' L' B D U L2 B2
R' L' B D U B2 L2
L' R' B U2 B2 R2 U'
L' R' B D U L2 B2
L' R' B D U B2 L2
R' L' B D2 L2 F2 U
R' L' B D2 F2 L2 U
L' R' B D2 L2 F2 U
L' R' B D2 F2 L2 U
L R' B D F U B2
L R' B D2 F L2 U
L R' B F U D B2
L R' B F U2 R2 U'
L R' B F D U B2
L R' B F D2 L2 U
R L' B' U2 R2 B U
R L' B' D' F' U' F'
R L' B' D2 L2 F' U'
R L' B' D2 F' L2 U'
R L' B' F' U' D' F2
R L' B' F' U2 R2 U
R L' B' F' D' U' F2
R L' B' F' D2 L2 U'
