F' R U' F' B
F' R U' B F'
F' R U' B F'
F' L R U' F' B
F' L R U' B F'
F' L' R U' F' B
F' L' R U' B F'
F' L2 R U' F' B
F' L2 R U' B F'
F' R L U' F' B
F' R L U' B F'
F' R L' U' F' B
F' R L' U' B F'
F' R L2 U' F' B
F' R L2 U' B F'
F' R U' D F' B
F' R U' D B F'
F' R U' D' F' B
F' R U' D' B F'
F' R U' D2 F' B
F' R U' D2 B F'
F' R U' F' D B
F' R U' F' D' B
F' R U' F' D2 B
F' R U' F' B D
F' R U' F' B D'
F' R U' F' B D2
F' R U' B D F'
F' R U' B D' F'
F' R U' B D2 F'
F' R U' B F' D
F' R U' B F' D'
F' R U' B F' D2
F' R D U' F' B
F' R D U' B F'
F' R D U' B F'
F' R D' U' F' B
F' R D' U' B F'
F' R D2 U' F' B
F' R D2 U' B F'
F2 R F U' F2 B
F2 R F U' B F2
F R F2 U' F B
F R F2 U' B F
F' R' U F' B U2
F' R' U B F' U2
R U' F' B' R' B2
R U' B' F' R' B2
L' F' R U' F' B
L' F' R U' B F'
L2 F' R U' F' B
L2 F' R U' B F'
L F' R U' F' B
L F' R U' B F'
F' L R U' D F' B
F' L R U' D B F'
F' L R U' D' F' B
F' L R U' D' B F'
F' L R U' D2 F' B
F' L R U' D2 B F'
F' L R U' F' D B
F' L R U' F' D' B
F' L R U' F' D2 B
F' L R U' F' B D
F' L R U' F' B D'
F' L R U' F' B D2
F' L R U' B D F'
F' L R U' B D' F'
F' L R U' B D2 F'
F' L R U' B F' D
F' L R U' B F' D'
F' L R U' B F' D2
F' L R D U' F' B
F' L R D U' B F'
F' L R D' U' F' B
F' L R D' U' B F'
F' L R D2 U' F' B
F' L R D2 U' B F'
F L R F2 U' F B
F L R F2 U' B F
F' L R' U F' B U2
F' L R' U B F' U2
L' R U' F' B' R' B2
L' R U' B' F' R' B2
L R U' F' B' R' B2
L2 R U' F' B' R' B2
R L U' F' B' R' B2
L2 R U' B' F' R' B2
L R U' B' F' R' B2
R L U' B' F' R' B2
F L F2 R U' F' B
F L F2 R U' B F'
R L' U' F' B' R' B2
R L' U' B' F' R' B2
F' L' R U' D F' B
F' L' R U' D B F'
F' L' R U' D' F' B
F' L' R U' D' B F'
F' L' R U' D2 F' B
F' L' R U' D2 B F'
F' L' R U' F' D B
F' L' R U' F' D' B
F' L' R U' F' D2 B
F' L' R U' F' B D
F' L' R U' F' B D'
F' L' R U' F' B D2
F' L' R U' B D F'
F' L' R U' B D' F'
F' L' R U' B D2 F'
F' L' R U' B F' D
F' L' R U' B F' D'
F' L' R U' B F' D2
F' L' R D U' F' B
F' L' R D U' B F'
F' L' R D' U' F' B
F' L' R D' U' B F'
F' L' R D2 U' F' B
F' L' R D2 U' B F'
F L' R F2 U' F B
F L' R F2 U' B F
F' L' R' U F' B U2
F' L' R' U B F' U2
D2 L' F' R U' F2 B
D2 L' F' R U' B F2
F L' F2 R U' F' B
F L' F2 R U' B F'
R L2 U' F' B' R' B2
R L2 U' B' F' R' B2
F' L2 R U' D F' B
F' L2 R U' D B F'
F' L2 R U' D' F' B
F' L2 R U' D' B F'
F' L2 R U' D2 F' B
F' L2 R U' D2 B F'
F' L2 R U' F' D B
F' L2 R U' F' D' B
F' L2 R U' F' D2 B
F' L2 R U' F' B D
F' L2 R U' F' B D'
F' L2 R U' F' B D2
F' L2 R U' B D F'
F' L2 R U' B D' F'
F' L2 R U' B D2 F'
F' L2 R U' B F' D
F' L2 R U' B F' D'
F' L2 R U' B F' D2
F' L2 R D U' F' B
F' L2 R D U' B F'
F' L2 R D' U' F' B
F' L2 R D' U' B F'
F' L2 R D2 U' F' B
F' L2 R D2 U' B F'
F' L2 R' U F' B U2
F' L2 R' U B F' U2
F L2 R F2 U' F B
F L2 R F2 U' B F
F L2 F2 R U' F' B
F L2 F2 R U' B F'
R' U D F' B U2 R'
R' U D B F' U2 R'
R' U D' F' B U2 R
R' U D' B F' U2 R
F' R L U' D F' B
F' R L U' D B F'
F' R L U' D' F' B
F' R L U' D' B F'
F' R L U' D2 F' B
F' R L U' D2 B F'
F' R L U' F' D B
F' R L U' F' D' B
F' R L U' F' D2 B
F' R L U' F' B D
F' R L U' F' B D'
F' R L U' F' B D2
F' R L U' B D F'
F' R L U' B D' F'
F' R L U' B D2 F'
F' R L U' B F' D
F' R L U' B F' D'
F' R L U' B F' D2
F' R L D U' F' B
F' R L D U' B F'
F' R L D' U' F' B
F' R L D' U' B F'
F' R L D2 U' F' B
F' R L D2 U' B F'
F' R L' U' D F' B
F' R L' U' D B F'
F' R L' U' D' F' B
F' R L' U' D' B F'
F' R L' U' D2 F' B
F' R L' U' D2 B F'
F' R L' U' F' D B
F' R L' U' F' D' B
F' R L' U' F' D2 B
F' R L' U' F' B D
F' R L' U' F' B D'
F' R L' U' F' B D2
F' R L' U' B D F'
F' R L' U' B D' F'
F' R L' U' B D2 F'
F' R L' U' B F' D
F' R L' U' B F' D'
F' R L' U' B F' D2
F' R L' D U' F' B
F' R L' D U' B F'
F' R L' D' U' F' B
F' R L' D' U' B F'
F R L F2 U' F B
F R L F2 U' B F
F' R L' D2 U' F' B
F' R L' D2 U' B F'
F' R L2 U' D F' B
F' R L2 U' D B F'
F' R L2 U' D' F' B
F' R L2 U' D' B F'
F' R L2 U' D2 F' B
F' R L2 U' D2 B F'
F' R L2 U' F' D B
F' R L2 U' F' D' B
F' R L2 U' F' D2 B
F' R L2 U' F' B D
F' R L2 U' F' B D'
F' R L2 U' F' B D2
F' R L2 U' B D F'
F' R L2 U' B D' F'
F' R L2 U' B D2 F'
F' R L2 U' B F' D
F' R L2 U' B F' D'
F' R L2 U' B F' D2
F' R L2 D U' F' B
F' R L2 D U' B F'
F' R L2 D' U' F' B
F' R L2 D' U' B F'
F R L' F2 U' F B
F R L' F2 U' B F
F' R L2 D2 U' F' B
F' R L2 D2 U' B F'
R U F U2 B R F2
R' U F' D B U2 R'
F R L2 F2 U' F B
F R L2 F2 U' B F
F' R U F U2 F2 B
F' R U F U2 B F2
F' R U F2 U2 F B
F' R U F2 U2 B F
F' R U B' U2 F' B2
F' R U B' U2 B2 F'
F' R U B2 U2 F' B'
F' R U B2 U2 B' F'
F' R U' L B L' F'
F' R U' L' F' L B
F' R U' L2 F' L2 B
F' R U' L2 F' B L2
F' R U' L2 B L2 F'
F' R U' L2 B F' L2
F' R U' D F' D B
F' R U' D F' D' B
F' R U' D F' D2 B
F' R U' D F' B D
F' R U' D F' B D'
F' R U' D F' B D2
F' R U' D B D F'
F' R U' D B D' F'
F' R U' D B D2 F'
F' R U' D B F' D
F' R U' D B F' D'
F' R U' D B F' D2
F' R U' D' F' D B
F' R U' D' F' D' B
F' R U' D' F' D2 B
F' R U' D' F' B D
F' R U' D' F' B D'
F' R U' D' F' B D2
F' R U' D' B D F'
F' R U' D' B D' F'
F' R U' D' B D2 F'
F' R U' D' B F' D
F' R U' D' B F' D'
F' R U' D' B F' D2
F' R U' D2 F' D B
F' R U' D2 F' D' B
F' R U' D2 F' D2 B
F' R U' D2 F' B D
F' R U' D2 F' B D'
F' R U' D2 F' B D2
F' R U' D2 B D F'
F' R U' D2 B D' F'
F' R U' D2 B D2 F'
F' R U' D2 B F' D
F' R U' D2 B F' D'
F' R U' D2 B F' D2
F' R U' F' L B L'
F' R U' F' L2 B L2
F' R U' F' D B D
F' R U' F' D B D'
F' R U' F' D B D2
F' R U' F' D' B D
F' R U' F' D' B D'
F' R U' F' D' B D2
F' R U' F' D2 B D
F' R U' F' D2 B D'
F' R U' F' D2 B D2
F' R U' F' B2 D B'
F' R U' F' B2 D' B'
F' R U' F' B2 D2 B'
F' R U' F2 D F B
F' R U' F2 D B F
F' R U' F2 D' F B
F' R U' F2 D' B F
F' R U' F2 D2 F B
F' R U' F2 D2 B F
