B2 L' U' D2 B R'
B2 L' D2 U' B R'
B2 L' F' U' B R
F' D R F' B' L2
F' D R B' L2 F'
F' D R B' L2 F'
F' D R B' F' L2
F' D B' L2 R F'
F' D B' R L2 F'
F' D B' R F' L2
B2 D' L' F U' B
B2 D2 L' U' B R'
B2 L F' L2 U' B R
B2 L' R2 U F' U2 R
B2 L' U F L' U2 B
B2 L' U F' U2 B R
B2 L' U' D2 B R' D
B2 L' U' D2 B R' D'
B2 L' U' D2 B R' D2
B2 L' U' D2 B D R'
B2 L' U' D2 B D' R'
B2 L' U' D2 B D2 R'
B2 L' U' F' B R F
B2 L' U' B F' R F
B2 L' D2 U' B R' D
B2 L' D2 U' B R' D'
B2 L' D2 U' B R' D2
B2 L' D2 U' B D R'
B2 L' D2 U' B D' R'
B2 L' D2 U' B D2 R'
B2 L' D2 F U' B R'
B2 L' D2 F' U' B R'
B2 L' D2 F2 U' B R'
B2 L' F U L' U2 B
B2 L' F' U' D B R
B2 L' F' U' D' B R
B2 L' F' U' D2 B R
B2 L' F' U' B R D
B2 L' F' U' B R D'
B2 L' F' U' B R D2
B2 L' F' U' B D R
B2 L' F' U' B D' R
B2 L' F' U' B D2 R
B2 L' F' U' B' R B2
B2 L' F' U' B2 R B'
B2 L' F' D U' B R
B2 L' F' D' U' B R
B2 L' F' D2 U' B R
B L' F' B U' B R
B L' B U' D2 B R'
B L' B D2 U' B R'
B L' B F' U' B R
F' L2 D L2 R F' B'
F' L2 D L2 R B' F'
F' L2 D L2 B' R F'
F' L2 D R L2 F' B'
F' L2 D R L2 B' F'
B2 L2 D2 L U' B R'
B2 L2 F' L U' B R
F2 R U2 B2 U' B R'
F2 R' D B' L2 F R
B2 R2 L' U F' U2 R
L' D R F' R U' L2
L' D F' R F' U' L2
F' U D R F' B' L2
F' U D R B' L2 F'
F' U D R B' F' L2
F' U D B' L2 R F'
F' U D B' R L2 F'
F' U D B' R F' L2
B' U D' B' L' F U'
B' U B' L' F' U' R
B' U B' D' L' F U'
F' U' D R F' B' L2
F' U' D R B' L2 F'
F' U' D R B' F' L2
F' U' D B' L2 R F'
F' U' D B' R L2 F'
F' U' D B' R F' L2
B2 U' F' D B R F'
B2 U' F' B D R F'
B2 U' B F' D R F'
F' U2 D R F' B' L2
F' U2 D R B' L2 F'
F' U2 D R B' F' L2
F' U2 D B' L2 R F'
F' U2 D B' R L2 F'
F' U2 D B' R F' L2
L2 F L' U' L2 B2 U'
L2 F L' U' B2 L2 U'
L2 F L' U2 D L2 F2
L2 F L' U2 D F2 L2
L2 F L' D U2 L2 F2
L2 F L' D U2 F2 L2
L2 F L' D' R2 B2 U2
L2 F L' D' B2 R2 U2
B2 D L' U' D B R'
B2 D L' D U' B R'
F' D L2 R F' D2 B2
F' D R L2 F' D2 B2
F' D R F B' L2 F2
F' D R F' B L2 B2
F' D R F' B' L2 D
F' D R F' B' L2 D'
F' D R F' B' L2 D2
F' D R F' B2 L2 B
F' D R B L2 F' B2
F' D R B L2 B2 F'
F' D R B F' L2 B2
F' D R B' L F' L
F' D R B' L2 D F'
F' D R B' L2 D' F'
F' D R B' L2 D2 F'
F' D R B' L2 F' D
F' D R B' L2 F' D'
F' D R B' L2 F' D2
F' D R B' F L2 F2
F' D R B' F' L2 D
F' D R B' F' L2 D'
