D' L2 U2 F' U' L'
U2 D F' R2 U' L'
U2 D2 F' U' L' B2
D2 U2 F' U' L' B2
U2 D2 F' U' B2 L'
D2 U2 F' U' B2 L'
D U2 F' R2 U' L'
U2 F' R2 U' L' B
U2 F' R2 U' B L'
D2 L U2 F' U' L' B2
D2 L U2 F' U' B2 L'
D L U2 F' R2 U' L'
D2 L' U2 F' U' L' B2
D2 L' U2 F' U' B2 L'
D L' U2 F' R2 U' L'
U' L' F2 U' F B' U'
U' L' F2 U' B' F U'
D' L2 R2 B R2 U L
D' L2 U2 D F' U' L'
D' L2 U2 D' F' U' L'
D' L2 U2 D2 F' U' L'
D2 L2 U2 F' U' L' B2
D2 L2 U2 F' U' B2 L'
D' L2 U2 F' U' L' D
D' L2 U2 F' U' L' D'
D' L2 U2 F' U' L' D2
D' L2 U2 F' U' D L'
D' L2 U2 F' U' D' L'
D' L2 U2 F' U' D2 L'
D' L2 U2 F' D U' L'
D' L2 U2 F' D' U' L'
D' L2 U2 F' D2 U' L'
D' L2 U2 F' B U' L'
D' L2 U2 F' B' U' L'
D' L2 U2 F' B2 U' L'
D' L2 U2 B F' U' L'
D' L2 U2 B' F' U' L'
D' L2 U2 B2 F' U' L'
D L2 U2 F' R2 U' L'
D' L2 D U2 F' U' L'
D' L2 D' U2 F' U' L'
D' L2 D2 U2 F' U' L'
D' L2 B U2 F' U' L
L' U2 D F' R2 U' L'
L2 U2 D F' R2 U' L'
L U2 D F' R2 U' L'
L' U2 D2 F' U' L' B2
L' U2 D2 F' U' B2 L'
L2 U2 D2 F' U' L' B2
L2 U2 D2 F' U' B2 L'
L U2 D2 F' U' L' B2
L U2 D2 F' U' B2 L'
D' R2 L2 B R2 U L
L' U2 F' R2 U' L' B
L' U2 F' R2 U' B L'
L2 U2 F' R2 U' L' B
L2 U2 F' R2 U' B L'
L U2 F' R2 U' L' B
L U2 F' R2 U' B L'
U2 R2 D R2 F' U' L'
U' R2 F2 U B U L
D' R2 B L2 R2 U L'
D' R2 B R2 L2 U L'
L' D U2 F' R2 U' L'
L2 D U2 F' R2 U' L'
L D U2 F' R2 U' L'
U2 D R2 U2 B U L
U2 D F' R2 U' L' D
U2 D F' R2 U' L' D'
U2 D F' R2 U' L' D2
U2 D F' R2 U' D L'
U2 D F' R2 U' D' L'
U2 D F' R2 U' D2 L'
U2 D F' R2 D U' L'
U2 D F' R2 D' U' L'
U2 D F' R2 D2 U' L'
U2 D F' R2 B U' L'
U2 D F' R2 B' U' L'
U2 D F' R2 B2 U' L'
U2 D F' U' L' D B2
U2 D F' U' D L' B2
U2 D F' U' D B2 L'
U2 D F' D U' L' B2
U2 D F' D U' B2 L'
U2 D F' B R2 U' L'
U2 D F' B' R2 U' L'
U2 D F' B2 R2 U' L'
U2 D F2 R2 F U' L'
L' D' L2 U2 F' U' L'
L2 D' L2 U2 F' U' L'
U2 D B F' R2 U' L'
R2 D' L2 B U L F2
R2 D' L2 B U F2 L
L D' L2 U2 F' U' L'
D2 U B2 U F' U' L'
U2 D B' F' R2 U' L'
U2 D B2 F' R2 U' L'
R2 D' B L2 U L' F2
U2 D' F' U' D' L' B2
U2 D' F' U' D' B2 L'
U2 D' F' U2 L2 U L
U2 D' F' D' U' L' B2
U2 D' F' D' U' B2 L'
U2 D' F' D2 R2 U' L'
B' U' F2 R' U' F U'
B U' F2 U' F U' L
L' D2 U2 F' U' L' B2
L' D2 U2 F' U' B2 L'
L2 D2 U2 F' U' L' B2
L2 D2 U2 F' U' B2 L'
D U2 R2 U2 B U L
D2 U2 F' R U' L' B2
D2 U2 F' R U' B2 L'
D2 U2 F' R' U' L' B2
D2 U2 F' R' U' B2 L'
D' U2 F' U' D' L' B2
D' U2 F' U' D' B2 L'
D2 U2 F' R2 U' L' B2
D2 U2 F' R2 U' B2 L'
L D2 U2 F' U' L' B2
D' U2 F' U2 L2 U L
L D2 U2 F' U' B2 L'
D2 U2 F' U' L B2 L2
D2 U2 F' U' L' B2 D
D2 U2 F' U' L' B2 D'
D2 U2 F' U' L' B2 D2
D2 U2 F' U' B L' B
D2 U2 F' U' B2 L' D
D2 U2 F' U' B2 L' D'
D2 U2 F' U' B2 L' D2
D2 U2 F' U' B2 D L'
D2 U2 F' U' B2 D' L'
D2 U2 F' U' B2 D2 L'
D' U2 F' D' U' L' B2
D' U2 F' D' U' B2 L'
D' U2 F' D2 R2 U' L'
D2 U2 F' D' R2 U' L'
U2 D2 F' R U' L' B2
D2 U2 F' B U' L' B
U2 D2 F' R U' B2 L'
D2 U2 F' B U' B L'
D2 U2 F' B' U' B' L'
U2 D2 F' R' U' L' B2
U2 D2 F' R' U' B2 L'
U2 D2 F' R2 U' L' B2
U2 D2 F' R2 U' B2 L'
U2 D2 F' U' L B2 L2
U2 D2 F' U' L' B2 D
U2 D2 F' U' L' B2 D'
U2 D2 F' U' L' B2 D2
U2 D2 F' U' B L' B
U2 D2 F' U' B2 L' D
U2 D2 F' U' B2 L' D'
U2 D2 F' U' B2 L' D2
U2 D2 F' U' B2 D L'
U2 D2 F' U' B2 D' L'
U2 D2 F' U' B2 D2 L'
U2 D2 F' D' R2 U' L'
U2 D2 F' B U' L' B
U2 D2 F' B U' B L'
D U2 F' R2 U' L' D
D U2 F' R2 U' L' D'
D U2 F' R2 U' L' D2
D U2 F' R2 U' D L'
D U2 F' R2 U' D' L'
D U2 F' R2 U' D2 L'
U2 D2 F' B' U' B' L'
D U2 F' R2 D U' L'
D U2 F' R2 D' U' L'
D U2 F' R2 D2 U' L'
D U2 F' R2 B U' L'
D U2 F' R2 B' U' L'
D U2 F' R2 B2 U' L'
D U2 F' U' L' D B2
D U2 F' U' D L' B2
D U2 F' U' D B2 L'
D U2 F' D U' L' B2
D U2 F' D U' B2 L'
D U2 F' B R2 U' L'
D U2 F' B' R2 U' L'
D U2 F' B2 R2 U' L'
D U2 F2 R2 F U' L'
D2 U2 B F' U' L' B
D2 U2 B F' U' B L'
U2 D2 B F' U' L' B
U2 D2 B F' U' B L'
D2 U2 B' F' U' B' L'
D U2 B F' R2 U' L'
U2 D2 B' F' U' B' L'
D U2 B' F' R2 U' L'
B U2 D F' R2 U' L
U D2 B2 U F' U' L'
D U2 B2 F' R2 U' L'
B' U2 D2 F' U' B2 L
B U2 D2 F' U' L B2
B' U2 F' U F' R' U2
B U2 F' R2 U' L B
B U2 F' U F' U2 L
F U2 F2 U F' R U2
B D U2 F' R2 U' L
U2 F' R2 U' L B L2
U2 F' R2 U' L' D B
U2 F' R2 U' L' D' B
U2 F' R2 U' L' D2 B
U2 F' R2 U' L' B D
U2 F' R2 U' L' B D'
U2 F' R2 U' L' B D2
U2 F' R2 U' D L' B
U2 F' R2 U' D B L'
U2 F' R2 U' D' L' B
U2 F' R2 U' D' B L'
U2 F' R2 U' D2 L' B
U2 F' R2 U' D2 B L'
U2 F' R2 U' B L' D
U2 F' R2 U' B L' D'
U2 F' R2 U' B L' D2
U2 F' R2 U' B D L'
U2 F' R2 U' B D' L'
U2 F' R2 U' B D2 L'
U2 F' R2 U' B' L' B2
U2 F' R2 D U' L' B
U2 F' R2 D U' B L'
U2 F' R2 D' U' L' B
U2 F' R2 D' U' B L'
U2 F' R2 D2 U' L' B
U2 F' R2 D2 U' B L'
U2 F' R2 B' U' L' B2
U2 F' R2 B' U' B2 L'
U2 F' R2 B2 U' B' L'
U2 F' U R U2 L' B'
U2 F' U R2 U2 L' B
U2 F' U R2 U2 B L'
U2 F' U F2 R F U2
U2 F' U' L' R2 B R2
U2 F' U' L' U2 F' U2
U2 F' U' R2 L' B R2
U2 F' U' R2 B L' R2
U2 F' U' R2 B R2 L'
U F' U F' U2 L' F2
U2 F' D R2 U' L' B
U2 F' D R2 U' B L'
U2 F' D' R2 U' L' B
U2 F' D' R2 U' B L'
U2 F' D2 R2 U' L' B
U2 F' D2 R2 U' B L'
U2 F' B R2 U' L' B
U2 F' B R2 U' B L'
R2 F' B R2 U L B
U2 F' B' R2 U' L' B
U2 F' B' R2 U' B L'
U2 F' B2 R2 U' L' B
U2 F' B2 R2 U' B L'
D' F2 L2 B' U' R' U2
B D' F2 L2 B' U L'
U' F2 U' F U R U2
U2 F2 U' F U' L' F'
D' F2 B L2 B' U L'
D' F2 B2 L2 B' U L
B' D2 U2 F' U' B2 L
B D2 U2 F' U' L B2
R2 B R2 U L D2 B2
R2 B R2 U D2 L B2
R2 B R2 U' F2 U2 L
R2 B R2 D' L2 U L'
R2 B R2 D2 U L B2
F D2 B2 L2 U B' L
D2 B U2 F' U' L B
F D2 B2 U L2 B' L
D B U2 F' R2 U' L
U2 B D F' R2 U' L'
R2 B D' L2 U L' F2
U2 B D2 F' U' L' B2
U2 B D2 F' U' B2 L'
D' B F2 L2 B' U L'
U2 B F' R2 U' L' B
U2 B F' R2 U' B L'
F' B U F' U2 F L
R2 B F' R2 U L B
U2 B' D F' R2 U' L'
B' F' U F' R' U2 F
F' B' U F' R' U2 F
B' F' U' F' R' U2 R
U2 B' D2 F' U' L' B2
U2 B' D2 F' U' B2 L'
F' B' U' F' R' U2 R
B F' U F' U2 F L
U2 B' F' R2 U' L' B
U2 B' F' R2 U' B L'
U2 B2 D F' R2 U' L'
U2 B2 D2 F' U' L' B2
U2 B2 D2 F' U' B2 L'
D' B2 F2 L2 B' U L
U2 B2 F' R2 U' L' B
U2 B2 F' R2 U' B L'
