F L U L2 R B'
F L U L2 B' R
F L U R L2 B'
D' L' F U R B'
D' L' F U B' R
F L2 U L R B'
F L2 U L B' R
F L2 U R L B'
L' F U R B' L'
L' F U B' L' R
L' F U B' R L'
F L U L2 R D B'
F L U L2 R D' B'
F L U L2 R D2 B'
F L U L2 R B' D
F L U L2 R B' D'
F L U L2 R B' D2
F L U L2 R' B' R2
F L U L2 D R B'
F L U L2 D B' R
F L U L2 D' R B'
F L U L2 D' B' R
F L U L2 D2 R B'
F L U L2 D2 B' R
F L U L2 B R B2
F L U L2 B' R D
F L U L2 B' R D'
F L U L2 B' R D2
F L U L2 B' D R
F L U L2 B' D' R
F L U L2 B' D2 R
F L U R L2 D B'
F L U R L2 D' B'
F L U R L2 D2 B'
F L U R L2 B' D
F L U R L2 B' D'
F L U R L2 B' D2
F L U R B L2 B'
F L U R B' L2 B'
F L U R B2 L2 B'
F L U R' L2 B' R2
F L U B L2 R B'
F L U B L2 B' R
F L U B R L2 B'
F L U B' L2 R B'
F L U B' L2 B' R
F L U B' R L2 B'
F' L U' L2 R U2 B'
F L U B2 L2 R B'
F L U B2 L2 B' R
F L U B2 R L2 B'
F' L U' R L2 U2 B'
F' L U' R F L2 U2
U L F U' L' F' B'
U L F U' L' B' F'
F L B U L2 R B'
F L B U L2 B' R
F L B U R L2 B'
F L B' U L2 R B'
F L B' U L2 B' R
F L B' U R L2 B'
F L B2 U L2 R B'
F L B2 U L2 B' R
F L B2 U R L2 B'
F' L' R U R' U B'
F L' R U' R' U B'
F L' R2 D' R' F2 B'
F L' R2 D' R' B' F2
F L' R2 D' F2 R' B'
D' L' D F U R B'
D' L' D F U B' R
D' L' D' F U R B'
D' L' D' F U B' R
D' L' D2 F U R B'
D' L' D2 F U B' R
D2 L' F U R B' L
D' L' F U R D B'
D' L' F U R D' B'
D' L' F U R D2 B'
D' L' F U R B' D
D' L' F U R B' D'
D' L' F U R B' D2
D' L' F U R' B' R2
D' L' F U D R B'
D' L' F U D B' R
D' L' F U D' R B'
D' L' F U D' B' R
D' L' F U D2 R B'
D' L' F U D2 B' R
D2 L' F U B' L R
D2 L' F U B' R L
D' L' F U B R B2
D' L' F U B' R D
D' L' F U B' R D'
D' L' F U B' R D2
D' L' F U B' D R
D' L' F U B' D' R
D' L' F U B' D2 R
B' L' F U R B' L'
B' L' F U B' L' R
B' L' F U B' R L'
D' L' F D U R B'
D' L' F D U B' R
B2 L' F U R B' L'
D' L' F D' U R B'
D' L' F D' U B' R
B2 L' F U B' L' R
B2 L' F U B' R L'
B L' F U R B' L'
D' L' F D2 U R B'
D' L' F D2 U B' R
B L' F U B' L' R
B L' F U B' R L'
D' L' F B U R B2
D' L' F B U B2 R
D' L' F B2 U B R
F2 L' F' U R B' L'
F2 L' F' U B' L' R
F2 L' F' U B' R L'
D' L' B F U R B2
D' L' B F U B2 R
F L' B' R U' R' U
F L' B' R2 D' R' F2
F L' B' R2 D' F2 R'
D' L' B2 F U B R
F L2 U L R D B'
F L2 U L R D' B'
F L2 U L R D2 B'
F L2 U L R B' D
F L2 U L R B' D'
F L2 U L R B' D2
F L2 U L R' B' R2
F L2 U L D R B'
F L2 U L D B' R
F L2 U L D' R B'
F L2 U L D' B' R
F L2 U L D2 R B'
F L2 U L D2 B' R
F L2 U L B R B2
F L2 U L B' R D
F L2 U L B' R D'
F L2 U L B' R D2
F L2 U L B' D R
F L2 U L B' D' R
F L2 U L B' D2 R
F L2 U R L D B'
F L2 U R L D' B'
F L2 U R L D2 B'
F L2 U R L B' D
F L2 U R L B' D'
F L2 U R L B' D2
F L2 U R' L B' R2
F' L2 U' L R U2 B'
F' L2 U' R L U2 B'
F' R L' U R' U B'
F R L' U' R' U B'
F R U' R' U L' B'
F R B' D L' F B'
F R B' D L' B' F
F R B2 L' D F2 B'
