F' L' U' L B2 U'
F' L' U' L B2 U'
U' R2 D L2 B R'
U' R2 D B L2 R'
U' R2 D B R' L2
B2 R2 F U' B R
B2 U' R2 D B R'
R2 F B2 U' R B'
R2 F B2 U' B' R
F D R2 U' L2 R'
F D R2 U' R' L2
B2 F U F2 L' U2
B2 F U' R D2 B2
B2 F U' D2 R B2
B2 F U' D2 B2 R
B2 F D R2 U' R'
B2 F D2 U' R B2
B2 F D2 U' B2 R
B2 F2 U F L' U2
F2 B2 U F L' U2
F B2 U F2 L' U2
F B2 U' R D2 B2
F B2 U' D2 R B2
F B2 U' D2 B2 R
R2 B2 F U' R B'
R2 B2 F U' B' R
F B2 D R2 U' R'
F B2 D2 U' R B2
F B2 D2 U' B2 R
U' L R2 D L2 B R'
U' L R2 D B L2 R'
U' L R2 D B R' L2
U L F' U' F2 B2 U'
U L F' U' B2 F2 U'
U L F' U2 D L2 R2
U L F' U2 D R2 L2
U L F' D U2 L2 R2
U L F' D U2 R2 L2
U L F' D' L2 R2 U2
U L F' D' R2 L2 U2
F' L' R U' L B2 U'
F' L' R' U' L B2 U'
F' L' R2 U' L B2 U'
U' L' R2 D L2 B R'
U' L' R2 D B L2 R'
U' L' R2 D B R' L2
F' L' U' L U' D L2
F' L' U' L D U' L2
F' L' U' L B2 U' D
F' L' U' L B2 U' D'
F' L' U' L B2 U' D2
F' L' U' L B2 D U'
F' L' U' L B2 D' U'
F' L' U' L B2 D2 U'
F' L' U' L' B2 L2 U'
F' L' U' L2 B2 L' U'
F' L' U' D L U' L
F' L' U' B2 U2 R' U
F' L' U2 L' D L2 F2
F' L' U2 L' D F2 L2
F' L' D U' L U' L
F' L' D' R2 U' L U'
U' L2 R2 D L2 B R'
U' L2 R2 D B L2 R'
U' L2 R2 D B R' L2
F' L2 U' B2 L2 U' R'
F' L2 U2 D L2 F2 R
F' L2 D L U2 L F2
F' L2 D L U2 F2 L
F' L2 D U2 L2 F2 R
F' L2 D' L R2 B2 U2
F' L2 D' L B2 R2 U2
U L2 D F' U2 L2 R
U L2 D F' U2 R L2
F' L2 D' R2 L B2 U2
F' L2 D' R2 B2 U2 R'
F' L2 D' B2 R2 U2 R
U L2 D' R2 U2 B R'
F' R L' U' L B2 U'
F R D L2 D F2 B2
F R D L2 D B2 F2
F R D R2 U' L2 R2
F R D R2 U' R2 L2
B2 R F R' U' R2 B
B2 R F R2 U' R' B
F2 R B2 U F L' U2
F R B2 D R2 U' R2
F' R' L' U' L B2 U'
B2 R' U2 B' U R' B
B2 R' F R' U' B R2
B2 R' F U' R' B R2
F R' F' B2 U' R2 B
L2 U2 D F2 L2 B' R'
F2 R' B2 U F L' U2
U' R2 L D L2 B R'
U' R2 L D B L2 R'
U' R2 L D B R' L2
F R' B2 U F2 U2 R2
F R' B2 U' R2 D2 B2
F R' B2 F' U' R2 B
F' R2 L' U' L B2 U'
U' R2 L' D L2 B R'
U' R2 L' D B L2 R'
U' R2 L' D B R' L2
U' R2 L2 D L2 B R'
U' R2 L2 D B L2 R'
U' R2 L2 D B R' L2
B2 R2 U2 B' U R' B2
U' R2 D L' B L' R'
U' R2 D L' B R' L'
U' R2 D L2 B R' D
U' R2 D L2 B R' D'
U' R2 D L2 B R' D2
U' R2 D L2 B D R'
U' R2 D L2 B D' R'
U' R2 D L2 B D2 R'
U' R2 D B L2 R' D
U' R2 D B L2 R' D'
U' R2 D B L2 R' D2
U' R2 D B L2 D R'
U' R2 D B L2 D' R'
U' R2 D B L2 D2 R'
U' R2 D B R' L2 D
U' R2 D B R' L2 D'
U' R2 D B R' L2 D2
